Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Manectric,Thunder Fang,Wild Charge,35,1.0633356430620922,1.0848033183280978,1.062082202022966,1.102223566840932,1.0600864354747392,1.0991334868561962,1.0795106994074573,1.118278262219577,1.0730577898886933,1.1044536282200426,1.0428003565872779,1.0726971558013627,1.0749802167063014,1.1058155726726768,1.0995784117972527,1.1174944068897497,1.0558508373545274,1.0954406755606017,1.0575020570619413,1.103905547369831,1.0659129763414767,1.1140020956267578,1.0962569200722478,1.1345541050529377,1.0642633432533235,1.1132698280679412,1.0566541224769073,1.0967613182803055,1.0943672590199245,1.1524394184168012,1.0450473584924296,1.0866971525644697,1.0455601084590784,1.0831560132777256,1.0729181868596946,1.1121756516155397,1.0632491289198607,1.1131010452961672,1.0408624828294322,1.1024267735982574,1.0935987032086996,1.1358410357154358
Weavile,Ice Shard or Snarl,Avalanche,30,1.426805869164801,1.4645179254688403,1.3065916934680435,1.3487217236641544,1.394212841130402,1.4408690700133988,1.3235593965896446,1.360320335342976,1.4812625327605797,1.488414410581158,1.473160086735309,1.481060748319355,1.4908874161893797,1.47226351551685,1.6962159301402486,1.557236161562703,1.5476440533636104,1.552455293783707,1.4191048431849058,1.4621787634665797,1.3116969061931285,1.3569734737770915,1.3003274644267904,1.3562166845328125,1.4050734902337911,1.4681282407828562,1.4114380202987797,1.473178241532672,1.4555304254173398,1.5225740441572428,1.3836482335628006,1.4464834220584895,1.412108021351361,1.4881874445241539,1.516855900294796,1.5168631972213305,1.4230662020905924,1.4894947735191637,1.4139251571367124,1.476197083431616,1.3139995491288525,1.3671271993387222
Shadow Glaceon,Frost Breath,Avalanche,50,1.0129142109129083,1.039681993557297,1.017865229380604,1.0505857120558986,1.0285771684827636,1.06323437362506,1.0397547028229874,1.073485652185163,0.9937692659366923,1.0519371177932384,1.0665418742970545,1.0490188908238074,1.0685432339090766,1.0529128982985345,1.0340397892660396,1.0772210060381535,1.0229066136815215,1.0869642350269657,1.0230486614745784,1.0517518513557473,1.0123090497987095,1.0616665747532124,1.0459331267713183,1.1072849821583284,1.0074334949122146,1.0875904820075635,1.025841030904322,1.0669289542707265,1.0658696822832525,1.109951534733441,1.016365593734259,1.075368645616253,1.0252544289483603,1.0699755602300498,1.0206357082396895,1.0723782142961384,1.0084494773519164,1.0636759581881534,1.0302757003510428,1.0619527965478488,1.045902976823076,1.0835185125546145
Shadow Golem,Rock Throw,Stone Edge,30,1.3970247706407337,1.408629957448715,1.3619737118477824,1.4000878712608948,1.4071864638659537,1.4452439735081746,1.542219318446451,1.5176585504696354,1.5943617854346124,1.4700820655347386,1.4607487146847147,1.4018999539441044,1.5149402207140796,1.4554472046768319,1.4925244773749669,1.4246674204334961,1.3981443372126028,1.4516889015043997,1.3940469584186455,1.4529650395147247,1.4043787569624442,1.4333756135223075,1.4455425189797206,1.48458861363603,1.3730652770016505,1.4440863429024418,1.3808073896681492,1.4372448397764854,1.4625632740980075,1.532504038772213,1.364833232920819,1.4323795790575709,1.3865496151648165,1.4401833590700728,1.3732304953153733,1.4472578150083186,1.3990156794425088,1.4709407665505227,1.3813739229371038,1.4498896921091702,1.4013719364915784,1.4618208753341277
Shadow Electivire,Thunder Shock,Wild Charge,45,0.9785739318571339,1.0070828125775133,0.9620477086990622,0.9963598944774069,0.9585504873825127,0.9848148510955522,0.9670543638574791,1.0168628871581233,0.9973723638766799,1.0160011949973067,0.9634418974238348,0.9914233248403362,1.010759658030177,1.0098047434919608,1.0927584257499579,1.0212899035338834,0.9524127164348566,0.9918677263695713,0.9639200903193708,1.0148012782487226,0.9745215904704131,1.0199194838140406,1.0011160222617073,1.0710142586528437,0.9804545868042469,1.036621658501085,0.9937165013114381,1.022488311095906,1.004921917070544,1.0753257942918686,0.9840689784590465,1.0393584134164289,0.9749279573945503,1.030835451041426,0.9685210589299788,1.0171769650623157,0.9817421602787456,1.0491202090592335,0.9697936756809258,1.003774056139085,0.9977993193992678,1.0557255268214658
Shadow Aggron,Iron Tail or Smack Down,Meteor Beam,50,1.0857170747631995,1.129322940087343,1.1251086347002839,1.1701619259222147,1.1098623773242193,1.1636562571081805,1.1314785106217817,1.1739345874194633,1.129888059532593,1.1682886642736545,1.2293781268098682,1.1439810083671504,1.2652699422757228,1.1776877163637998,1.252619139262431,1.1842298347326132,1.0963277036616519,1.1467321884757309,1.1070820337166802,1.1730706672534874,1.1092152429272597,1.1780620967297193,1.1721611183717824,1.235921232323529,1.0949589988173984,1.1545829055608259,1.1653210172197515,1.1977420458433117,1.1773613354873451,1.2335379644588045,1.116139418660925,1.1832116860413435,1.1243145313278942,1.1682574808798316,1.1197863459910686,1.171412101222965,1.1345993031358885,1.1804442508710802,1.1264447558657436,1.1959872903109434,1.1338979957703992,1.1798868528120403
Mamoswine,Powder Snow,Avalanche,45,1.178088088680782,1.247013488709267,1.1682040925654362,1.2418001275674884,1.184956309075725,1.2556072648302588,1.1866056873754753,1.257618961368282,1.2113221468307676,1.2715835072265653,1.2042845819488561,1.2439381151081128,1.213385570771027,1.2660653635934231,1.1722918521013255,1.2662170126777166,1.163525404484814,1.2472147317627023,1.1769743010773264,1.262155800914675,1.187536535598081,1.2445375834114598,1.2119414382002673,1.2895049853889191,1.195350166993723,1.2958582957543308,1.178275744098529,1.2697114836355343,1.2461281637049002,1.3356488960689283,1.1999822220466374,1.2853657813904336,1.188757705822988,1.280680422649952,1.184619538250489,1.2734523218820233,1.2116898954703832,1.2913501742160278,1.196514548153904,1.2859957541868436,1.2242654557555848,1.2726589589170505
Calyrex (Ice Rider),Confusion,Glaciate,30,1.319768344340551,1.3601816631007229,1.5314939463253048,1.5892538843529418,1.746124433213404,1.7650983979717716,1.5344295805625274,1.6217403679457654,1.3772909773176838,1.3946818093345585,1.3628433684451884,1.3684471651904402,1.7766665507955235,1.790243922388145,1.3859546777646803,1.4547348986023239,1.3245671302866875,1.4182160090831677,1.341673204615473,1.3927935857938345,1.581348921855181,1.6178679755142558,1.4056006696133572,1.449022746295834,1.2638630781426659,1.3787313675291426,1.3096932375413388,1.3714220549663587,1.141917070543888,1.201690899299946,1.3333465021876758,1.3880729686219122,1.3501209829407974,1.4098585897887965,1.3537258106885381,1.4153921368319664,1.3336498257839722,1.4103310104529616,1.3539148894839812,1.4138974067239252,1.5282170193123141,1.5808508582654341
Calyrex (Ice Rider),Confusion,Avalanche,30,1.355980943937602,1.434176731056357,1.5213983863290816,1.604382771837261,1.64944653735105,1.7451216090347155,1.5591753564312882,1.6517025901104871,1.3884737077959994,1.4580823009129962,1.3729578756569882,1.4333602816327902,1.6792509544033418,1.7522640880566158,1.378208520772691,1.4695686689600422,1.3562766108430315,1.443081180811808,1.3750167435274305,1.4535104001224668,1.548282137539293,1.6471405724369932,1.4082291957297464,1.4863948075595823,1.376483125186812,1.4864520656538747,1.3742844109932717,1.4893488425133996,1.238912224017232,1.3100700053850296,1.3807642544617724,1.470760205039062,1.3762995026932383,1.4669455151198278,1.381213332944164,1.482698987186597,1.3761149825783972,1.456245644599303,1.3857584881575113,1.4731584132313968,1.559692119416444,1.6662587356284821
Tyrantrum,Rock Throw,Meteor Beam,35,1.2668120782277925,1.3041480701496095,1.282852964017104,1.3294285862940103,1.196234760476109,1.2612390191582588,1.254110280228737,1.2802119181307734,1.2580741532040867,1.2993128765486306,1.2620303731713536,1.2748607945729156,1.3801868524421887,1.3310056865467468,1.2453871875676585,1.3045087685534893,1.25681592392847,1.3042932160090832,1.269819552612947,1.3098222315773358,1.2623173220095958,1.2922627254177466,1.3108562533957915,1.376261031733212,1.252868783220055,1.3010955308061183,1.2763599042080056,1.3290797126240164,1.3012708669897683,1.3860420032310177,1.2272022439727799,1.275232347973807,1.2687523558235958,1.3227508724146735,1.255822947374566,1.327296342780421,1.2761411149825783,1.340644599303136,1.2434959970029555,1.3091950992771018,1.2826317992979293,1.3279228795637286
