Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Glalie,Frost Breath,Avalanche,45,1.1542248032863227,1.2028747321541449,1.1729406618478786,1.2323790180386596,1.1814431038404514,1.2323596751779433,1.2954704604035103,1.3159333116232146,1.2228879343804175,1.2689264367221258,1.151214687603261,1.2157988602260537,1.1794974175095423,1.1976054887558385,1.2282654703311937,1.229381922874804,1.1975239962472035,1.2574695085279897,1.1682869713312518,1.232646182231053,1.175864444401921,1.22495646682868,1.185032813103182,1.2486075111674846,1.2085933714151456,1.2572725003304013,1.1750640034308437,1.2300874605258028,1.1724255901471092,1.2384194320903181,1.2306731287022077,1.2895638126009692,1.181690683364774,1.2447234046756017,1.194350887005581,1.2439478131877484,1.1580076471790082,1.2257304223461079,1.1937195121951218,1.2499303135888502,1.1781437748886516,1.243384995351806,1.2101703648835787,1.2617092310499929
Mega Glalie,Ice Shard,Avalanche,45,1.1769678969039499,1.2300873909613326,1.1822904723272973,1.244324499316878,1.1705631256236522,1.227458455019849,1.3138814925493854,1.3412319853903671,1.2374013506869872,1.271484203172303,1.1718306543968207,1.2460766518348187,1.2046107288493735,1.216735486957089,1.2363771319438337,1.2506047451277889,1.2138582838172676,1.2712417907575357,1.1835154697700823,1.2543074084587,1.1864272182781912,1.252875102853097,1.1912535156896267,1.2538465780620967,1.2122791817794683,1.2648497041072557,1.188371518798165,1.2519201029253142,1.1771239594024405,1.2459687535636903,1.2439095315024231,1.3277652127086699,1.1830141532262046,1.2463629270412546,1.2111547487324148,1.266563719708668,1.1983450570619656,1.2630760923499023,1.2010017421602788,1.2613501742160278,1.1860526425330578,1.2587309736232326,1.2171696026966388,1.268107307333097
Mega Glalie,Ice Fang,Avalanche,45,1.1751419843077135,1.2336015925926518,1.1856492356549204,1.2493520458009677,1.1709815224664162,1.23020293907179,1.3094160190878772,1.374701751921452,1.2164721711905193,1.2688087044272518,1.1779912276334075,1.2464025601911997,1.2037212373025081,1.227535890983916,1.2355019640158755,1.2531545918711622,1.2193431403209123,1.275662152084486,1.1816136815214306,1.26836148169174,1.1801507874241757,1.2459576340917353,1.1907682126509678,1.2561186786521812,1.2046432399888398,1.285804490521153,1.157545907029331,1.246604894150671,1.1651271524689246,1.2410080967042993,1.2237156704361873,1.2988906838987613,1.1736313445071063,1.22791336210728,1.1918096372943594,1.249942244324745,1.1786287615656286,1.262025334928928,1.180156794425087,1.256890243902439,1.1924074870613701,1.238195668160564,1.206413105321353,1.2704904833982802
Zekrom,Charge Beam,Wild Charge,40,1.1268313135208747,1.1581822808064741,1.1092686837231978,1.1538537136206235,1.0945825910386702,1.1529389887746784,1.1470222017891694,1.2121334022948873,1.1154190493440628,1.1725593189639558,1.104476260744791,1.153471150320703,1.074715313288806,1.1149974204745141,1.1094205284133083,1.1545039454124228,1.119894031610094,1.1754703023887993,1.0947807266534204,1.1553292648311098,1.1124016915746568,1.160833540634149,1.1098108421110682,1.152274857993713,1.154084494632814,1.2056271017195554,1.10458875359004,1.1816917698735525,1.1156346219637359,1.1800091230470977,1.1631340872374798,1.2172320947765212,1.0905786723819495,1.179330166223864,1.1223325997349318,1.1790547523801418,1.1183926330229708,1.1675666209392603,1.1175609756097562,1.1790766550522649,1.1194516518433213,1.1532377794119688,1.1275106545146156,1.1945186950500788
Shadow Manectric,Thunder Fang,Wild Charge,30,1.4435303323929056,1.3027414293327018,1.3639951362486293,1.3296848774716201,1.2586887907833153,1.2843886508196096,1.4783569271242394,1.4773629442326646,1.3823142805392397,1.375563433125469,1.2991816079050884,1.3088162736905953,1.3034747493116323,1.2824214727212708,1.3497134233992911,1.3146106013916805,1.4212243498761097,1.3486582549496018,1.311740703945501,1.3112262276468918,1.2849365659503624,1.269522952984175,1.259791540285667,1.3198698505487232,1.2455248975755886,1.3147476468083232,1.2022508414664257,1.2491520357639474,1.2223172539628235,1.2868400045615236,1.2740549273021,1.3312977921378566,1.236110973935545,1.2796570830329188,1.2328344053597267,1.2871368991889887,1.3040702256209684,1.298962377046788,1.2352003484320557,1.2757229965156793,1.2188813808605403,1.2522790026501645,1.2885682694062457,1.3158137687460414
Xurkitree,Spark or Thunder Shock,Discharge,45,0.9648419809471381,0.9969898846682552,0.9736771617582731,1.0191062182406092,0.9626829863572745,1.0025801138637123,1.0259882893064896,1.0720605669746524,0.9968522783139699,1.0417005200921157,0.9601214913928509,1.0177891644524515,0.9491112002798933,0.9887825232700872,0.9625783919402758,1.013599864226284,0.9879988693497558,1.0180452981789314,0.9798076923076923,1.0226263128015896,0.9680150787424175,1.0179490614056907,0.9706501957756576,1.0121656648100148,0.9857119781494589,1.0556983215612565,0.973203030578695,1.0218976205018908,0.9738510662561296,1.0374957235716729,1.0209693053311792,1.0708992999461495,0.9860245533289218,1.0345781192900672,0.9832812518998577,1.0302153374755298,0.9834797583257933,1.0302165727795454,0.9860104529616724,1.0411672473867595,0.9737758599159163,1.0110307890829877,1.0016424591800586,1.0573572509742037
Shadow Latias,Zen Headbutt,Thunder,30,1.9741987828316208,2.028496078528644,2.3872733123804055,2.4784532345680916,2.7854786410072077,2.8836491510030733,1.656786434155551,1.7193669159073448,2.2995523585271815,2.402283489015965,2.0676599327361367,2.1461336857971856,1.902549282773316,2.00672257944642,2.7608705876098303,2.8991144036691616,2.0491171305540186,2.0756423055642426,1.98008444507522,2.079715441385183,1.937427046059052,2.005185709638531,2.4587326972922297,2.4986378426074007,2.0853610185171587,2.172410754930322,1.9348269633133632,2.0304747300159844,1.9759379632797356,2.0552628577945034,1.6111577813677973,1.6780398492191706,1.9478414601625695,2.0445041432507973,1.989531023916929,2.0200017022725336,1.9387058171098335,2.0437888561337965,1.9915156794425086,2.1169773519163764,1.9596231493943475,2.0222419558490934,2.4036584973108757,2.525082391334686
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam or Thunderbolt,30,1.230297026850997,1.257936958807348,1.3151649224092912,1.3958735193403489,1.374976548192841,1.4898131990921453,1.103904203036437,1.153530980552416,1.309718736253784,1.3893044738272051,1.2747633769537527,1.300455819048438,1.217988681714228,1.2694961722213767,1.4017552433396243,1.4579786483562995,1.2663763862493684,1.2791383001756116,1.2825255464093102,1.2929002270791938,1.2164411871639333,1.283941522034482,1.3088402360337505,1.4200297799591903,1.2709290885328712,1.3552768763124274,1.2398731627441553,1.325618266644141,1.248466187706694,1.3334131599954384,1.0906731287022078,1.1325148088314485,1.2345208347736767,1.3060573437762348,1.2469754264800652,1.3010225794292523,1.2385803099734392,1.3235749102478036,1.2347996515679442,1.3161672473867596,1.2337139764954004,1.313232784337667,1.3342994857921913,1.4551007482314042
Weavile,Snarl or Ice Shard,Avalanche,45,1.2177172731971713,1.269481335204587,1.1785964107673126,1.200402357878834,1.2377490249859289,1.2979184757072484,1.5184461514557488,1.477748192419763,1.170033896550832,1.2080497839418325,1.2384494909945185,1.307431163175977,1.2989146226480361,1.2806800459372967,1.3124615324844748,1.3137906426554393,1.3066106954701822,1.346387933315692,1.2371380925347715,1.3230130570536474,1.2410780918119366,1.2873954725501826,1.1665030607180278,1.2095737053989963,1.1588422737485131,1.2093569655942085,1.2554549116947589,1.3236299367113282,1.241966016649561,1.3135705325578744,1.289326871297792,1.3602477113624123,1.2342344121917252,1.2995190075951368,1.2611529248689857,1.3273105309874396,1.268658241148828,1.319364583637372,1.2672996515679442,1.3349564459930314,1.248158066351237,1.3035617654812617,1.1755713718291412,1.2200787951005334
Thundurus,Thunder Shock,Thunder,35,1.4629096501321026,1.460608456167696,1.4808099572013003,1.5053811512291377,1.442179050604434,1.492826652543006,1.4937136435326195,1.529982312638482,1.4229694413537919,1.4788922814189975,1.4674634824213182,1.5159876154824576,1.3864267543244113,1.4065094968047487,1.4457855961263595,1.4452519072730952,1.4634192547330944,1.497741706560177,1.440732330400227,1.4800738007380074,1.4127423027612467,1.447568839817065,1.4139855512049853,1.4675563889042078,1.4395806105816533,1.5146918456952378,1.4082704128708625,1.4824234233063458,1.414950393431406,1.4864294674421257,1.463672590199246,1.5673882606354335,1.3868087586050233,1.4679453624233325,1.3854917743759347,1.475906764101504,1.3926330229707249,1.4583783310469631,1.3990592334494774,1.4745993031358886,1.4213900181765204,1.4991050491876068,1.4790398591564415,1.5491610576148915
Shadow Mamoswine,Powder Snow,Avalanche,35,1.1163799242430303,1.1290444924171017,1.0806411518843182,1.1463653864312129,1.062865785930244,1.1354443557103697,1.2395669044137525,1.2590059745395648,1.1042344813310216,1.17674075607421,1.1290800783990658,1.1680962878132908,1.1344100793228795,1.135679087263074,1.1686293193524575,1.151745530611452,1.1375724698693739,1.1599028121917776,1.1458629009367016,1.1755393130854386,1.063950707055244,1.1471134158709504,1.0893839960293388,1.1456791485137594,1.0996490403677,1.1946724621506923,1.0661736994632809,1.147825182913358,1.078697685026799,1.1377580111757328,1.12958535271944,1.2070328486806676,1.0747069106855376,1.1259172930103014,1.0836058995902387,1.1475019150566006,1.072706575990193,1.1378900207232714,1.0782578397212543,1.1545993031358885,1.0906883489891912,1.1232534583951936,1.1218318250619947,1.1668974697540604
Shadow Latias,Zen Headbutt,Thunder,35,1.9234508947931885,1.9593258365832231,2.2776173013887897,2.405169373782376,2.6828883992834127,2.7500875810851424,1.5604850295960004,1.6167248795833362,2.256054803736383,2.3468393406991486,1.9291873565663744,1.972843233554076,1.875249798876078,1.9675335585394154,2.658590447991919,2.7907448946833546,1.9863870913421058,2.028485770646395,1.9585154697700822,1.992304144195288,1.8941426357182494,1.959212767178859,2.2942259968014116,2.343748965973639,1.9859028766942246,2.051645398610846,1.8817268580488375,1.981338288996608,1.8923480442467784,1.9814345991561182,1.5394614970382337,1.6045126548196014,1.90314966073739,1.9940048790605338,1.8912855805357294,1.9614313680191626,1.8933408248445756,1.9851361606491347,1.8737630662020905,1.9761933797909408,1.9197319310124739,1.994186288521042,2.325346473006774,2.4655459298143914
Shadow Luxray,Spark or Snarl,Wild Charge,45,1.035255635764843,1.0659088836008725,1.0254826656594873,1.0683083433376819,1.0328109460583532,1.0764836069792578,1.0874704944585987,1.143533683675055,1.0504385851424431,1.1043496261029315,1.0653400989493982,1.0858406398667397,1.0213675636035873,1.0546167576254133,1.0749004700960434,1.0813619903118092,1.1605493276239505,1.0927644398470013,1.0163816349701957,1.0631670451319897,1.0317935666583746,1.0891042691211081,1.0462251144322505,1.0867368885457453,1.0498685736941806,1.0998399389124658,1.049591287736033,1.0907094309217793,1.044406431748204,1.094423537461512,1.093193322563274,1.1570166935918147,1.0202767434740097,1.072800719019447,1.0488430626314702,1.0910594214705203,1.0264878433203934,1.0783543971279297,1.049677700348432,1.1172212543554008,1.048424470313996,1.1129580552510718,1.0580872328320075,1.0994278230438097
Shadow Manectric,Thunder Fang,Wild Charge,50,1.1235107450395507,1.0932031563803724,1.1103227534536682,1.1158802253049962,1.0324108125698366,1.0765350764321375,1.1307183282357123,1.1863388013034586,1.070403912334722,1.1252969182601495,1.1277922877408666,1.1023442769134668,1.07389698106569,1.0713135022840166,1.151720993192911,1.1005706994595632,1.1658236907310737,1.1219117611681781,1.028920664206642,1.0943478569401077,1.0540576742762011,1.0810865114143018,1.0518391882203717,1.0906744609275905,1.07580140677543,1.107754886268521,1.0303447738112257,1.081937387100547,1.0569050062720948,1.0904550119739993,1.0763920301561658,1.142315562735595,1.047694298215291,1.0841786091714487,1.0457911311600987,1.0836666950378755,1.0577113919617058,1.1039301246315052,1.048362369337979,1.1005226480836237,1.0336890011238917,1.0963216827850315,1.0712161712451558,1.1198136399257135
Deoxys (Attack),Poison Jab,Zap Cannon,35,2.4127362604477884,2.0903610698151525,2.3220847842047556,1.898566503706587,2.2419446155480918,1.9901029223027102,2.4300880962567075,1.8915090022497645,2.2603824358941185,1.7177064196444742,2.6573616813249985,2.5334961366280253,2.25344381477228,1.834501202790236,2.541765753533899,2.4721060670812127,3.5228114700858812,3.1088611705838485,2.6195217144479135,2.305932443939824,2.542021469986031,1.8338085305880325,2.1577345171786244,1.5683780951855733,3.696236361767427,2.2427935799350944,1.6441409245084406,1.4745610729184264,2.2565172767704413,1.4836013228418292,2.647183629509962,1.8878298330640817,2.046222678742506,1.4434315400645932,2.165533844825699,1.5352066437265177,1.5823093313096526,1.2784361227051166,1.2486498257839722,1.1291811846689896,1.9230342301341734,1.5306850189396568,2.240453876955117,1.6863976468820112
Thundurus (Therian),Volt Switch,Thunderbolt,35,1.1596273281985876,1.192165698767629,1.1767792485080193,1.2136119520330828,1.164521275977546,1.2049480407571656,1.2492130081923773,1.2839513267649583,1.1813077341061402,1.2236292597096798,1.1506466112320695,1.1980798566003232,1.144502843407978,1.1840931238350132,1.1666438332355245,1.1990066435060698,1.230454184608723,1.2485205321273063,1.1517882486517173,1.1956819472040874,1.1598097935283873,1.2204787692072179,1.1509071857938564,1.1906137980477582,1.1916768234482151,1.2380358008193952,1.1409504996816073,1.1993788093412519,1.1422739194891094,1.2052457520811952,1.2019063004846526,1.2591168551427032,1.1368803642505112,1.1969500933342552,1.1458118016122951,1.2111061123743054,1.165749686232159,1.2174046291701937,1.1620034843205576,1.2190679442508712,1.128650913682341,1.2000666009906897,1.1770098654901076,1.2263373160284692
Magnezone,Spark or Charge Beam,Wild Charge,45,1.178617779363827,1.2284503106931908,1.2030423497083484,1.2536820178016383,1.2020026598085005,1.2587087144424947,1.2903749678072993,1.3384713947899973,1.1901712940202342,1.242741998085233,1.196678903318381,1.247194698557403,1.1803098197890125,1.215733326480954,1.2007815167805271,1.240634374060677,1.3153040727465177,1.2532867040342563,1.1933508373545274,1.249240703945501,1.1844849690962322,1.244579880977439,1.2035405062593063,1.2724094192907958,1.2483149532298565,1.3045859704254101,1.2058116414768223,1.264876736539786,1.253278595050747,1.3022579541566883,1.28099084544965,1.3369736133548733,1.2099773824926665,1.2835682327726694,1.2181948615687657,1.2658949697846624,1.1860643297043285,1.2497810922039638,1.2095470383275262,1.262473867595819,1.229634665815654,1.268457493305213,1.233776689961676,1.292690519897373
Vikavolt,Spark,Discharge,35,1.3491125680716538,1.3728766364801654,1.412359015764798,1.4432180151500846,1.355057869928391,1.3994394810550905,1.4428523690635064,1.4829437218380384,1.3486751882422956,1.4052203275804072,1.3701504157594797,1.397456556868745,1.3177896332725183,1.3593308651590115,1.3810926921433229,1.4026345008373393,1.4130812624792513,1.4165934951526378,1.4307621345444224,1.4448233040022707,1.343912053426204,1.4011366463192942,1.347874041802239,1.418154745491645,1.3817089825107565,1.4757338580595898,1.3433702842142197,1.4362109968940466,1.3687307560725284,1.4453301402668493,1.4310608508346794,1.4897469036079698,1.3528824976049145,1.4168139932246244,1.3852364334958598,1.4302250647471517,1.408649776714048,1.4512565307492484,1.3595383275261324,1.4171602787456445,1.3666800793661806,1.4161590653660974,1.3712172447478879,1.436292980365635
Shadow Latias,Zen Headbutt,Thunder,50,1.7388576924369452,1.7482016921296926,2.024715719127993,2.1191522735725257,2.4277925083720877,2.5254782093279253,1.4181198611403774,1.4473731820436033,2.0620837322431234,2.1920588920226667,1.777578863032487,1.802495009528293,1.6387498097476414,1.6906051902820083,2.4724679940046905,2.5105562019347754,1.738666434121581,1.8098733431162646,1.7398382060743685,1.8131138234459268,1.7113128839051646,1.7682791480893243,2.0805051563447856,2.1828268902001873,1.7709804842949237,1.8421709569890894,1.678787248697189,1.7818295234505972,1.6949823240962483,1.7582734633367545,1.3885837372105545,1.4502638664512655,1.6486780116346829,1.7416172011575424,1.689809467067106,1.7534744598324477,1.7085096757245848,1.777742914684335,1.6896080139372822,1.7896689895470383,1.6885987429063007,1.7913446462516132,2.066836280098333,2.1660816076776914
Kyurem (Black),Dragon Tail,Avalanche,45,1.0265277415493532,1.0801833273856485,1.046953314538647,1.1097485070557154,1.0323825873859993,1.103588084987689,1.0942027597392232,1.1600908419482066,1.0439387274562062,1.1061376044712397,1.0362075130929156,1.104086981319114,1.0166967446586033,1.0813410369890117,1.037476817251441,1.109455289756241,1.0442396978517645,1.109240058697587,1.0384437978995174,1.0938901504399658,1.0396773761457356,1.1157791002506745,1.0437875696244416,1.1170021507748304,1.105713740289872,1.1526454132953494,1.059662893604855,1.1164277638435847,1.0480670543961683,1.1417493442809898,1.112170166935918,1.217716747442111,1.060622820966133,1.122509851949155,1.0634461291538488,1.1194144182483614,1.2563045445258458,1.3813592714748548,1.2878048780487805,1.4178135888501742,1.058844750315661,1.1576362198387702,1.0750593110259465,1.159962642104924
Kyurem (Black),Shadow Claw,Blizzard,45,1.2544563629293335,1.3184945262628962,1.055734659624119,1.0947371666528565,1.3894212010977938,1.503925791010777,1.3326756444393364,1.3959244573002405,1.020142572515331,1.0913796672445466,1.2555642062094596,1.3225519529605607,1.2263854819166369,1.2837833831119159,1.4465564800255188,1.5063255420213515,1.2483521374100892,1.3393724891144843,1.58767740562021,1.6964093102469486,1.2425897931456782,1.335635967010467,1.0478685269949815,1.0955385209286934,1.0540830261824696,1.1262426761039075,1.6883780166084028,1.8572041222108149,1.613114380202988,1.7797240278252937,1.3586645126548196,1.4613785675821216,1.6257543284378118,1.732560321583423,1.6085502717556508,1.6966428753814913,1.2486938501503166,1.3239543504276,1.2459233449477352,1.3678222996515679,1.532405544532475,1.701516560058831,1.044453748134789,1.1406503279550846
Kyurem (Black),Shadow Claw,Ice Beam,45,1.1472188038592206,1.2233454367387697,1.0197613986946492,1.079325009972232,1.2370350938653394,1.3586690331546292,1.1861195716721262,1.2786919440560036,1.0192020079178201,1.0767640437808885,1.1381308250460573,1.2340044631338805,1.1108701796970588,1.201906674546903,1.2263188351269503,1.3510977427619726,1.1245038369939138,1.2245964540883831,1.3085190178824864,1.4376028952597217,1.1471995254405938,1.2433647792724698,1.0159929410467103,1.083626537252523,1.0518069281487248,1.1348037416114773,1.4511429648208554,1.5311180132295417,1.35656289200593,1.5273805451020641,1.2617339795368874,1.3599353796445879,1.4283104030657092,1.5310966034232436,1.393711318896441,1.4901693761171162,1.141443623945594,1.2316847143982954,1.1795034843205574,1.2820034843205574,1.4070846803846209,1.505335016858376,1.047201915128874,1.125868195334557
Kyurem (Black),Ice Shard,Glaciate,45,0.9017831852813202,0.9279892717633259,0.902921526724618,0.9281112881811228,0.8668169796064745,0.9177169478946504,0.9738946463272652,1.0008322212218541,0.8746332186198151,0.9260097808368049,0.8990770456407494,0.9280308345517176,0.8904442911444198,0.9225529593383763,0.903602706477265,0.9277250336878308,0.9198832062354158,0.9581268493348408,0.8991378086857792,0.9291548396253193,0.8867276449989475,0.9188560822059357,0.8883803011084762,0.9231015276016103,0.8799394998458128,0.963406217418758,0.8959180756085199,0.9350738801024054,0.8734747405633482,0.9428555137415897,0.9357565966612815,1.010910070005385,0.8796136258135883,0.9461624312338888,0.889656262539061,0.9682647763335481,0.9050159072998454,0.9379834213829136,0.8890592334494773,0.9613327526132405,0.8765245383025073,0.9085068890399746,0.9329060792459717,0.9937522140993849
Kyurem (Black),Ice Shard,Ice Beam,45,1.0179278692512157,1.0787974901303103,1.010675587398182,1.0719041278295607,1.0072223264524762,1.072254810318463,1.0839010955096238,1.15060437139628,1.0231324553005408,1.080752710430305,1.007652056617524,1.081526880649644,1.004876390324704,1.0640196715997208,1.0160740539291564,1.0795850722524736,1.0268739926387451,1.0998670884553392,1.0145188759579904,1.0766001986942946,1.001253372624811,1.0681605082378154,1.0157944079854409,1.0857993713119727,1.0647439756824624,1.1086946944889058,1.0261991708794136,1.0672393403423046,1.0213935454441785,1.107823012886304,1.0670543887991384,1.1584706515885836,1.025639759405031,1.0960997145650822,1.0219349975073866,1.0890045353403937,1.0178482823034938,1.0917734450249554,1.0306533101045297,1.1026655052264809,1.019619541840685,1.1091146230800184,1.044754328899767,1.1304842570824343
Kyurem (Black),Dragon Tail,Ice Beam,45,1.1000507286847507,1.1638952588683182,1.1167300328939127,1.1829822658067102,1.0982734489016253,1.1782121504435505,1.154131201484802,1.2404651073693085,1.113430537946024,1.188253939503713,1.09677893907777,1.187922379493122,1.0770576410288848,1.1552973174911594,1.096241889871976,1.1862042453823645,1.1046994154297674,1.1961287257331183,1.1022707919386885,1.1787751915980698,1.1030922903231979,1.1854895807420731,1.1082446368499421,1.191915292560525,1.1669040661390035,1.2381092233366129,1.1324773551313208,1.186812044341057,1.1189417265366632,1.2244611700307904,1.1847926763597199,1.299569197630587,1.1239419648589122,1.1946685893194007,1.1239011222839632,1.203786340478825,1.3272452642946793,1.4839029800647967,1.3729703832752613,1.5239198606271778,1.1173564956778732,1.2344077368150852,1.1447081682822882,1.230727942202613
Kyurem (Black),Dragon Tail,Blizzard,45,1.1568060451949373,1.2123467537642445,1.1989166398492315,1.2479164298060859,1.1503090657630182,1.227026775737632,1.2737284149271968,1.3375008247716713,1.1651253654876186,1.2490309726498823,1.1920709212795524,1.2548354389125524,1.1654612409000074,1.2165002658591402,1.1974771444170216,1.2460919049011447,1.2044432148957156,1.2797667733166542,1.1747126028952597,1.233597076355379,1.1801220842342945,1.246713484758606,1.1763525064798985,1.2325594220481995,1.2259798234922685,1.3149532298565325,1.1639917347853772,1.2549740737371506,1.1735659710343256,1.282951305736116,1.2516639741518578,1.350016155088853,1.1454927949905678,1.2674989382611186,1.2121882713422418,1.2647884926376711,1.6042074078398179,1.7167406088555501,1.5990853658536586,1.7412108013937282,1.2035076521763262,1.302174244841892,1.2115015082713385,1.2697497665131559
Kyurem (Black),Shadow Claw,Avalanche,45,1.0819468292971757,1.1435605775708801,0.9482947001682273,1.0070489708849368,1.1616838148494353,1.268637337933485,1.121829950173149,1.1984560274313738,0.9511695603798483,1.0031205526949052,1.0668293190778604,1.1512373201280097,1.0470936357868146,1.1215005920060406,1.1675394490122666,1.2624460943586429,1.0682239168611225,1.148800789049532,1.2388837638376384,1.3510892705080897,1.076206969134503,1.1603742895960503,0.9475210941377599,1.0088678100700381,0.9934507114641918,1.0640097505102866,1.357470532430571,1.4377704713511545,1.272197513969666,1.4254647052115408,1.1797199784598815,1.2937425955842756,1.3305810427757312,1.4400932354887455,1.3050958744209233,1.3991950682732877,1.0718528355856514,1.1529873617232422,1.109451219512195,1.1957578397212543,1.3278295014638344,1.4062937936201803,0.9781112792932057,1.0591177954547895
Kyurem (Black),Shadow Claw,Glaciate,45,1.0569521502081156,1.1015085782685996,0.9073382137853822,0.9381683081506376,1.1555489881271594,1.2434538327309195,1.1362693076387693,1.1663676204219853,0.8689626620436256,0.9333027143115894,1.0599286622819923,1.1038606560716275,1.048058239953193,1.0812105782288048,1.2120666845244545,1.2419328124584652,1.0626608770959127,1.1122320719767134,1.3150227079193868,1.3690249787113256,1.0403853881628045,1.1264375514265486,0.8928693542160702,0.9553190315998455,0.9484720774167021,1.0005580111308536,1.384371466815683,1.4460746728352545,1.2665640323868173,1.3586954042650246,1.1635864297253633,1.2414108777598276,1.376092603383737,1.464755207458839,1.3374390525637438,1.4187468842333086,1.0595064358892035,1.105280056040396,1.0642421602787457,1.1675522648083623,1.2990661986097043,1.4206546322376545,0.9001320408360439,0.9584017691325024
Kyurem (Black),Ice Shard,Avalanche,45,0.9491816999070241,0.9954200159067232,0.9451883740155432,0.9941958719777393,0.9367755882045297,0.9933637611883799,1.0082434598267023,1.070357812556537,0.9478497684166947,1.0037130954537221,0.9454940906477882,0.9973452048469815,0.9391923812084039,0.984501103957842,0.9501910851468871,0.9973029287453813,0.9567225576751907,1.0115290240323318,0.936705222821459,0.9932124609707635,0.9411488930136435,0.993838381905509,0.9467600507362267,1.0016323829482159,0.9864021498113041,1.0242294306818016,0.9488102509454314,0.9967510948810251,0.9503022009351123,1.0332078914357397,0.9981690899299945,1.0783091007000538,0.9667453505713637,1.0197335282323776,0.9505125056235788,1.0045839767518208,0.9464259653833805,1.0027582382300575,0.9605574912891987,1.0196864111498258,0.9646043484896838,1.0276532863426344,0.9748370959604092,1.0544587935976297
Kyurem (Black),Dragon Tail,Glaciate,45,0.990020691542392,1.0396963960229992,1.0250799223803861,1.0626641564262604,0.9844993931585475,1.049701228127558,1.089822423998621,1.139059696441456,0.9812275208942478,1.0616723160918051,1.0246083441592244,1.0598177629107237,0.9972623426835366,1.0418634254912464,1.0264083967046247,1.062008101437688,1.0295743222112632,1.0809557603021482,1.0024623900085154,1.0550596082883905,1.00908934346237,1.0684571078665874,1.0187062262173936,1.0568356035956543,1.0231427774269812,1.127534912406937,1.0086420876164732,1.0477978921103588,0.9934770213251226,1.0695974455468127,1.0701669359181474,1.1671190091545502,0.9857480073877273,1.068454997086391,1.0168038617268338,1.1029388519387668,1.3192551297393538,1.396405533989084,1.3280574912891987,1.40006968641115,1.0086165031704848,1.0371023018967407,1.0429830493918606,1.1134048286152889
Manectric,Thunder Fang,Wild Charge,30,1.5885007513286273,1.5198137921212111,1.5767938937181685,1.582077731379868,1.461654427452146,1.5199294702465056,1.6574590221507066,1.6756274117920003,1.5085465883509714,1.562117370041659,1.537368561612522,1.5222907736249611,1.5104198993095568,1.4866269887548502,1.5849761475843933,1.5427779220487108,1.6787690346171427,1.593937188770478,1.4555066704513198,1.5139156968492762,1.527210624007348,1.4998564840505941,1.458159157337451,1.5173220095957647,1.5018429051821613,1.5511387832420447,1.4188098610768172,1.5036452715434898,1.475618656631315,1.5422853232979816,1.5162950996230478,1.579439956919763,1.4481525743464132,1.5149878023486651,1.4422382452001994,1.489160171686344,1.486201511923178,1.5356381891947113,1.4696689895470383,1.5184320557491289,1.4418975732264019,1.4991466748067879,1.498116002705227,1.5487638616040278
Deoxys (Attack),Zen Headbutt or Poison Jab,Zap Cannon,50,1.7243208037215971,1.376880521945357,2.047756874095514,1.4578921303192462,1.9369067522941263,1.5107297206204893,1.5159282033599604,1.2465652250722075,1.974379641369317,1.4317307941107977,1.9063420860850713,1.5032952956034058,1.744364082726667,1.2683576230413889,2.0231776365967415,1.7334704702391783,2.2211203059972577,1.7343723688325434,1.8934572807266534,1.5153881634970194,1.8591534472531046,1.3362387339979716,1.8196547730656814,1.3267082115480064,1.92068899690157,1.401870805738704,1.3325059454963677,1.2812512183394196,1.8656175162504276,1.4339605428213023,1.2204523424878837,1.0769089929994615,1.5875909885529733,1.3225118272773064,1.650219471565969,1.4014688180149069,1.3451300312308456,1.043365634394793,1.1400174216027874,1.0020034843205574,1.5636802597438637,1.3815820510330092,1.7774950887250007,1.3964123538694406
Thundurus (Therian),Volt Switch,Thunderbolt,50,1.0220485747159913,1.0585668266407209,1.0472288757296109,1.0946986266261483,1.0210808917165728,1.0733605734029112,1.094868962405311,1.1485312678922242,1.0610254353507387,1.107530985587497,1.0266701671638279,1.0690156209685815,1.0140954760459926,1.0605328647360088,1.0243186265588928,1.072244294538993,1.061851981043566,1.1110142173254107,1.0217570252625603,1.0725234175418676,1.0334966225913238,1.0850666870778238,1.0337506204158164,1.0831743230574091,1.0682535720054627,1.1070059765929015,1.0350491884235014,1.0787534600839517,1.017459231383282,1.0751511004675562,1.0628863758750673,1.138546042003231,1.0214224338018154,1.067694495748106,1.0371217003270794,1.0753012414430407,1.0295452555383673,1.083644668865474,1.0281533101045297,1.106184668989547,1.0242261103633916,1.0818637177228012,1.0706257447425203,1.1135014438611746
