Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Abomasnow,Razor Leaf,Blizzard,45,1.4406386551095556,1.4177659360295818,1.2854047594902307,1.440593197029017,1.2333773509688946,1.3093439474833943,1.7719831259541807,1.7640021607533238,1.6446997529188228,1.7823515323813892,1.7855104216672633,1.6108387459216649,1.359449176477681,1.41814776612936,1.207960781281332,1.3798144733917845,1.399139603529607,1.2278396338924904,1.3724455713054686,1.399545069677622,1.2452504827818591,1.3605897927094834,1.4043080382320365,1.2508552097529047,1.317083061216953,1.3828062876974294,1.175317067788124,1.7917792939671209,1.8527154778232877,1.6306827813571358,1.7311413310874166,1.8049927350459125,1.5482199545619197,1.2985942573025027,1.3932701233193194,1.2011816311474393
Mega Abomasnow,Powder Snow,Blizzard,45,1.5807165562060357,1.6004243246848164,1.5822858681496217,1.5333523801774134,1.3906022227793338,1.5771472512598386,1.5607032390200148,1.5800431793042604,1.5591095850974537,1.4976914003453652,1.5293896557863405,1.4985725960201695,1.4907867990034114,1.5985372272455025,1.4955520489434513,1.463511639627006,1.5130700474850454,1.4607593381517456,1.525067602593373,1.5839488845032699,1.5009018306968025,1.5206647953752723,1.6038227721862985,1.5294937959540413,1.3993265029732214,1.4861093614986072,1.4045523432472455,1.5314256385429499,1.5593213194205087,1.5420186876684616,1.5095435906306642,1.5524360109954212,1.5181531544493823,1.4396403088206795,1.5448593380189957,1.4350396084758883
Mega Abomasnow,Powder Snow,Avalanche,45,1.3728401728670991,1.395318540750706,1.3745553557878056,1.3522098564080256,1.219873773009912,1.3916791332681577,1.358280849295502,1.3666785337632905,1.3614102223444493,1.3349349113032114,1.3510825010692635,1.3370993657397012,1.3219782884208844,1.4008043218702941,1.3243748713963117,1.3107605119745578,1.3433262695284989,1.3145323959445203,1.339538844591802,1.3955106774855832,1.3383106377861207,1.340328594700843,1.38514702519525,1.3493499481326843,1.2676393596697006,1.3195627746306569,1.271317670797044,1.3667226592584547,1.3928856958034874,1.3661629839227716,1.3374498724773471,1.3813405708886912,1.3425186656738537,1.3025501024768271,1.3912018953202174,1.3068824807433235
Shadow Feraligatr,Water Gun or Ice Fang or Waterfall,Hydro Cannon,30,1.2890847045787999,1.3044949741953242,1.288870793782899,1.3377320296679704,1.135530504374805,1.323121951553958,1.324531863601463,1.297259058302074,1.3234620367943175,1.2529989353952726,1.2762937877998874,1.258746783762043,1.2566039320946314,1.296958072248733,1.2663870260012084,1.2752734224603952,1.2837888809242837,1.3144587424757956,1.319022271285788,1.315870385383093,1.3339021213133768,1.274132940584033,1.2983811418698985,1.2952975636846198,1.2237490815081846,1.2757507324244226,1.238645881388634,1.321287471278582,1.3215098755070063,1.3328876728970172,1.2783573675180953,1.3195999360925903,1.3003353208167379,1.2728474720213772,1.322448017392719,1.2913476852830958
Shadow Blastoise,Water Gun,Hydro Cannon,50,1.3452626152168408,1.3539328963531756,1.3477730447419256,1.2242130795165445,1.139346037704632,1.2453947699002006,1.2509635236086083,1.2925622271566137,1.2569958054492323,1.2507685433238356,1.3026812717698224,1.2476731554657923,1.2374023431100534,1.3259241444660115,1.2483302162638943,1.2478500261371213,1.3080595300326479,1.2579461543999573,1.2875246691070454,1.3350166330615845,1.2900902374782062,1.3154918087855776,1.3905457871597116,1.3138187411435711,1.2122539920935773,1.2882910393613425,1.2247961695206355,1.2910105015239783,1.3433669075889194,1.2928844178342858,1.2960569016454093,1.3462664595835343,1.2987519475017533,1.2682528556942332,1.3756469212014595,1.2688450334119037
Gyarados,Waterfall,Hydro Pump,50,1.4062431779091393,1.3949197434868859,1.4059050769594292,1.2016036426322496,1.1784415646041195,1.199037370575657,1.354130107247321,1.347698629627497,1.358620322167534,1.3491699006575197,1.3672053908960113,1.3493181536409489,1.3126863197130287,1.3834425290595187,1.3137317939772188,1.2863098297487392,1.3547613383458177,1.287961742766904,1.3217616092315885,1.3703242016440005,1.3242461839454698,1.3368548867763925,1.3923867224602429,1.3318553459700977,1.265855221249844,1.3232689266897255,1.2655468840903794,1.3168058588122178,1.3764537181574241,1.3162640186643644,1.3249241421316915,1.3763319047207796,1.3281726953949318,1.372931759325861,1.4190707521566235,1.3820676554254412
Frosmoth,Powder Snow,Ice Beam,50,1.5790420872738062,1.6058566198197695,1.5786041246517455,1.5095269703943661,1.399988146091038,1.519846005634125,1.9683987144197204,1.6944838921597412,1.9756416368081933,1.6063356749136604,1.6199913804502666,1.6095740521251585,1.5131023075924996,1.569040750822736,1.5134141019104774,1.4940053651528005,1.5408799445329593,1.4999661939030078,1.481928827269253,1.5506219738775286,1.5046731107624378,1.5606893822704389,1.6150944367295794,1.586278953087662,1.4500459406290662,1.485612213045364,1.4525803465560652,1.5118945104081194,1.5459051423601309,1.528245562533852,1.4909946563670027,1.5383866617451705,1.4912947833942427,1.4219095378908053,1.5440548956856304,1.422203260742778
Avalugg (Hisuian),Powder Snow,Blizzard,50,1.5686938402982562,1.6281012444492846,1.5688541485056469,1.485419466445995,1.4780483919144072,1.625930597257489,1.6515490226721745,1.7164317923273587,1.6634922630225442,1.6048564170655704,1.650701140408112,1.617634056653303,1.5594194256116947,1.679197984804778,1.5709043083710026,1.620293674816649,1.6701291831132286,1.6308796784664552,1.662396973234945,1.7074689960520049,1.704467896812167,1.5921999323228608,1.6708088096158245,1.6020653546670416,1.5257659166305233,1.6351348662809015,1.5381646382850036,1.656644443784578,1.6930975191986681,1.6544660701056317,1.5966680446200816,1.6406121121207502,1.5938674970000424,1.519070539216006,1.6649546353674152,1.5286524614093293
Avalugg (Hisuian),Powder Snow,Avalanche,50,1.4053274378811942,1.4461799538308366,1.4052441615391187,1.273866253445775,1.2964933268536774,1.4647950631446183,1.4344406091450432,1.4806479899665517,1.4411263561480798,1.4382474132281706,1.4609686900083998,1.4377455012145826,1.4047045686583146,1.4863066069202873,1.4170391204228556,1.4367178036053576,1.4758774716795682,1.4414420491503088,1.4777186767771464,1.5169351227109253,1.4966814551541476,1.4161961472107218,1.4693778664935908,1.417151347163385,1.3785039285007774,1.4418107445189192,1.3762496014194208,1.4579573692026713,1.5125690902099667,1.4706860176262022,1.423351850820879,1.4555794469692056,1.419731085844849,1.3822334618063792,1.454718194555595,1.3811562188817283
Avalugg (Hisuian),Powder Snow,Glaciate,50,1.2699339933828528,1.3154979420702388,1.2731723790307472,1.2274475999036891,1.2068580185875426,1.3459562428376994,1.3280087560219107,1.371250197139237,1.3356907490647285,1.2906961285788148,1.3359720597985352,1.3021782394566113,1.2487941724999772,1.35343386592189,1.2656733984007928,1.3098604246421406,1.333327537257136,1.3178637050856266,1.3373522785071126,1.367597133758858,1.3636615211835843,1.3118570132438863,1.342447943151203,1.3151676919938193,1.231830912885601,1.293439849450587,1.2534874013291333,1.3343533908093717,1.3548973095365446,1.3388969471946885,1.2736965235077118,1.3124338105155466,1.2760722524992392,1.2138584762178959,1.351085910959793,1.2258984598410725
