Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Articuno,Frost Breath,Ice Beam or Blizzard,35,1.6447869859109618,1.6405871506652365,1.6441450037441883,1.411219138451762,1.3573316652459717,1.5099848885213836,1.8682105872621408,1.650283487116839,1.8679204662535174,1.5757199134289355,1.6134877032712536,1.575487922494329,1.527433443905201,1.5690822971862497,1.5246739527891766,1.5310894797304277,1.5766836531870074,1.533786846298076,1.5314932494966742,1.603793550038114,1.5380772439717698,1.535881272847969,1.599071812348181,1.5405860975869834,1.4997317856269283,1.546156114167731,1.4975620943596732,1.5438511639480377,1.5985755905627237,1.5454250394009181,1.5043874015278058,1.5647550229230485,1.5110340634521717,1.5074291094488748,1.5855844001461108,1.509987438869565
Empoleon,Metal Claw or Waterfall,Hydro Cannon,35,1.4209736488076297,1.4403715913274708,1.419978878681806,1.423628349823107,1.2989986604361172,1.5400098295427738,1.2959602638822678,1.3249974877040547,1.3213584136165368,1.3188330759963607,1.3809093226640028,1.3153722392883174,1.4465490961372367,1.5015184737150444,1.4701930398700922,1.4222405460310703,1.4368716526486138,1.444901931016781,1.4847632675659332,1.495318052542501,1.4943698807909198,1.4549336357231748,1.47243974854676,1.4841359361295456,1.444893265890776,1.4571612851145297,1.488752101267656,1.483518989682654,1.4812296394134723,1.51334726069181,1.4324881782216616,1.4708254426488332,1.4835326380605072,1.4320061172769436,1.4711405467902698,1.4476436650352147
Kyurem (White),Dragon Breath,Blizzard,35,1.5466078253784525,1.5273166384333057,1.5434454724795919,1.2953559289526855,1.2396561789041738,1.3467758224641677,1.4462857716074438,1.4580280282821938,1.4441175976228138,1.4131525238501121,1.425188809608031,1.4241334162331345,1.359373292110254,1.4386602673908229,1.3647477139670487,1.4192604916282958,1.4290493913337443,1.425633003515208,1.4243546070044035,1.476851892675618,1.437472202402718,1.4577339160470635,1.531551939122626,1.4647133830002177,1.3468794435251648,1.4220358918613691,1.3403700450928797,1.411036993073783,1.4724880293752496,1.417542983930289,1.412013756318906,1.4785665519911555,1.4357736545616167,1.4049538032090014,1.501275886100835,1.401346369445279
Kyurem (White),Steel Wing,Blizzard,35,1.5599332390500602,1.57282378736008,1.561949705485498,1.4214224762924075,1.3583116876204504,1.4729330332628443,1.241143307440294,1.2337901480090991,1.2371729857913123,1.2207417749202114,1.2166966041548959,1.230345872414304,1.5039043096816136,1.5754758500294233,1.5054973571532484,1.5210154036854906,1.5168773809039375,1.5382211732593771,1.5126963045541624,1.531921200694853,1.5140820709460912,1.4560662570288998,1.5044642873652698,1.461063609730962,1.4305940798801624,1.4909485204477113,1.4247447635048887,1.5276556293979524,1.5804579339522964,1.521798207911306,1.487009098167909,1.5736349381869588,1.5093825179427944,1.6622088844030898,1.8506822870890418,1.6682403428979384
Mega Gyarados,Bite or Waterfall,Hydro Pump,50,1.0927527102278034,1.1154204106467829,1.093451741934259,1.0051702980013173,0.9864796876413797,1.043342004849638,1.0577205804780478,1.0856563279281122,1.0703274782234902,1.0512363519943004,1.1129166705491864,1.0535115204855856,1.0721313022360333,1.1277136525020217,1.074976376239674,1.0745578287721187,1.1175272092127875,1.0781110217266778,1.08790729237472,1.1425402815397312,1.0909677344308595,1.0727860545645396,1.133283500029894,1.0749067127956022,1.039440706753414,1.1068027144738388,1.040900709328507,1.1037504261463478,1.1647037310310844,1.1088183257776536,1.1043763381545444,1.1484523294371076,1.1061137552230698,1.058758073533668,1.1252499474999975,1.061470277900688
Kyurem (White),Dragon Breath,Blizzard,50,1.3078920694645586,1.3213019584177796,1.3088374832460687,1.157641427553446,1.128980182230846,1.2199734577085635,1.2579924091112122,1.2646737752423158,1.2642580394364302,1.2838196227983178,1.323925175650533,1.2831714494450748,1.2607911109130634,1.3475952257068453,1.2649411994448254,1.2949738472277437,1.3430789841893893,1.293009712992497,1.3013900252661936,1.3757681686484189,1.309421755568009,1.2629488002100582,1.3446536909003834,1.2707644157545972,1.2642169810607617,1.3173395966206087,1.25658089830428,1.3000631655071602,1.3641067690645754,1.3152152945850566,1.2471753211168648,1.3190734096312016,1.2508876824226525,1.2482367756355912,1.3250239397644394,1.2490016042540533
Kyurem (White),Steel Wing,Blizzard,50,1.3613062246443022,1.3786162139587534,1.3626420930686807,1.2075964972691353,1.1898185206231402,1.2735099144777455,1.1282969637517715,1.111720906629493,1.1289304914766114,1.1010343815330805,1.1307460967872012,1.1035458087670593,1.3261710635475876,1.4070437468791082,1.3242586202151236,1.3229385323771632,1.353046837095305,1.3304042019726483,1.3164210371878522,1.396794624887923,1.3298272979581605,1.3487260302426824,1.4297960625218427,1.3520187418832121,1.2792824651427592,1.3407843354705822,1.2764965169386717,1.308954222767322,1.3961623712493014,1.3399118050901513,1.3262403312562296,1.4220379312799554,1.3338446219684141,1.5512744783267516,1.7164203546488805,1.5562590125848916
Gyarados,Waterfall,Hydro Pump,35,1.561125684332208,1.5415503986723744,1.5742679100335752,1.3561331484460326,1.3381355046134167,1.4051123004513053,1.4886953834908003,1.5168152169675997,1.4875188064573694,1.4900107683911052,1.5121749183906181,1.4833748069439228,1.4768379678716859,1.547535461852706,1.4801619390749445,1.426637795842476,1.4908852658630414,1.4310347795873777,1.4837983605022618,1.5562263147022906,1.4929120887676977,1.5035434344853857,1.5495536267365384,1.5029867622775763,1.4061294137712317,1.474197431037927,1.4013039665969418,1.475376672025367,1.5417764373300817,1.4787460566192978,1.4712878110301324,1.5195688834463297,1.4669218265805402,1.5101523833480028,1.55192551891516,1.5108904591888659
Shadow Blastoise,Water Gun,Hydro Cannon,35,1.481830970506587,1.4814004013450102,1.48115052236297,1.456533592254941,1.3059254840188286,1.5501225039244646,1.4166278944599673,1.4140867205221856,1.4149105926622363,1.4223804140613179,1.4631865276110467,1.4302747920706116,1.4379639398534476,1.5066404719247501,1.4477082003609423,1.4408109237516002,1.4732502997160914,1.4526017547868495,1.496131835235224,1.5013863855234297,1.4949883931605104,1.4272004778080005,1.4764026056315025,1.4472888772189998,1.3730057695963949,1.4588583298034918,1.3957576387068533,1.4825474511843957,1.5109550151082272,1.510475400784297,1.4583505069394467,1.5232623767211722,1.468692609915638,1.4011070140510047,1.4583065819640715,1.398713291107772
Kyurem (Black),Shadow Claw,Glaciate,50,1.1555567100899253,1.143005161934269,1.1575272671322214,0.9896660797147411,0.9499464634530183,1.0249764297559816,1.1331805630904566,1.117563738110403,1.1341606267257507,1.0972582605025956,1.1624566755240282,1.094447802181974,0.9012683698491357,0.9637620035569978,0.9001052420501624,1.086104442058541,1.1515473488820511,1.0973342327424571,0.9610167790265265,0.9813599017044314,0.9747638247842842,1.0700854408475298,1.1538754561889142,1.0719689054979356,1.0736601026014856,1.1437094945167354,1.0705592627931517,1.1439230121283035,1.200528966487513,1.1486169178314667,1.1085542350963768,1.1517526258193218,1.1095149125786032,1.057442404717439,1.155016274240205,1.0573970787859666
Kyurem (Black),Dragon Tail,Blizzard,50,1.2829540771187884,1.2930551427262584,1.282449673263998,1.0975399891257975,1.0667307415251541,1.150525834530076,1.2434239536063874,1.2462201121717789,1.2524268242397756,1.2129254622338461,1.2618605054123275,1.2090563385521276,1.2185513032058852,1.2943804939168,1.218328446939265,1.2308981466120343,1.2688543332842936,1.2391965104595437,1.2378903975893645,1.3001296236224558,1.2412235764525152,1.1989612360385082,1.2707310548696416,1.2043085313259483,1.187232399139964,1.2534992271552132,1.1844252108247213,1.2334724753624453,1.2957413555720023,1.2494839071728276,1.2237347566761623,1.2800776780235559,1.2239701836331958,1.1743710553806832,1.2643934759997162,1.1733789549029965
Kyurem (Black),Shadow Claw,Ice Beam,50,1.2180403932721506,1.2807606671898706,1.2178707932833408,1.0365030030353763,1.0666471597393619,1.0487937655295003,1.1837911672323653,1.2214280426586064,1.188210304740604,1.1865281800878444,1.2712257656963402,1.187002795912208,1.041195775114908,1.1070192384564674,1.0397772223700301,1.201286149829874,1.2557000209723008,1.2070252512763366,1.0739017310729155,1.1224589576789847,1.0835960733554506,1.194089930467595,1.2859727417685678,1.1975409252537432,1.1789053171341055,1.2572334056491616,1.1721965955626379,1.2283770430123089,1.3071777516086438,1.2412679935244548,1.2293881200881405,1.3202615027790459,1.2269336331577494,1.2026294583470067,1.312987065750283,1.2022757403210123
Kyurem (Black),Dragon Tail,Avalanche,50,1.1055296590165997,1.1376515472064959,1.1045937867955793,0.9496233677532719,0.9664558733728277,0.9573277319854637,1.075129003267594,1.096054193352733,1.0790335224320313,1.07853947640681,1.1248688449227202,1.0791015822969612,1.0843247667440363,1.1643491572117017,1.0820962040778346,1.0909128272226727,1.1294233086778374,1.0918588345035043,1.1001906174560936,1.1540286605352634,1.1104266059942811,1.0741499985515366,1.151303308845057,1.0769508490152606,1.062829037185916,1.1251424838133426,1.0576712765694816,1.1046700001616256,1.156177477597012,1.117423061555642,1.0999453995768784,1.1670376786617491,1.0940956324962845,1.0780515919964477,1.1662608908563399,1.0819797548904768
Kyurem (Black),Shadow Claw,Avalanche,50,1.1553823143429636,1.196212200308827,1.1552849005055028,0.9830135018188171,0.9946134628831467,0.9850644355577214,1.114170082256682,1.1495200531283538,1.1158547510287897,1.124578811798128,1.1909219774262825,1.1237437440157327,0.9745567972865113,1.0402833278506114,0.9742517395082327,1.1251467278515286,1.1802993404680893,1.1310199111650894,1.0099961595085372,1.0514386833737113,1.0192966403485748,1.1203658417821893,1.2089675599679244,1.1212675872729998,1.1113120642733803,1.1781311506372645,1.102454149533196,1.164954175407287,1.221053527740013,1.176123513468104,1.1540250040704303,1.2468837643083486,1.1508789885624333,1.1295325720221783,1.2353182091639974,1.1293276927279055
Kyurem (Black),Dragon Tail,Ice Beam,50,1.1758334752911048,1.223858647026705,1.1755162558716814,1.0026781354288348,1.028322091816193,1.0200616583690807,1.143087502641934,1.1766831578183186,1.1458490612596097,1.139672270749176,1.202303954856833,1.1380643740523242,1.1596071050834662,1.24517098884277,1.1580933102491078,1.160392557650351,1.2063890393121086,1.1671050242746557,1.1710543265378335,1.2213830384610118,1.182528033992946,1.1427836630590684,1.2286419454034094,1.149168150571157,1.1358345764492275,1.198562158868395,1.1309329029371598,1.165700659770394,1.2327172519452383,1.1841127003451644,1.1651260456450188,1.2358194425641809,1.161965159283189,1.1455684708359064,1.236444428430709,1.1487793111492697
Kyurem (Black),Shadow Claw,Blizzard,50,1.3733003158706123,1.3840176863564178,1.3731822203261215,1.1622059042029143,1.122298014668716,1.2038542164056476,1.34106196627122,1.3359020143785583,1.3501232187285315,1.2959866990915756,1.3675637978626676,1.2925710122365883,1.0441378343204417,1.1063625306846763,1.0425633975226836,1.2873737357928312,1.3609639745953441,1.292404896875753,1.100257464896651,1.141541153389454,1.1139791075013035,1.2600370036162276,1.340066746424607,1.270750778626105,1.2545581409937439,1.331751924096685,1.255344581615954,1.3358236192012618,1.4112819872872135,1.342792873893382,1.3346647715756401,1.3863472045936645,1.3311082493656556,1.2479343492583732,1.3743518704450353,1.244057900514346
Kyurem (Black),Dragon Tail,Glaciate,50,1.0998802559136442,1.1042249130643946,1.1001889828446738,0.9462394556367457,0.909282278288826,0.9890455988483846,1.0687793317257022,1.0648289475142934,1.074641295994238,1.0384376223216036,1.0768345582061094,1.0382496965054973,1.0495245759190988,1.108228145891956,1.0471274686993368,1.037572659632077,1.0749963689747675,1.0441254080990645,1.0562023186662333,1.1150681598117238,1.0548126498696915,1.0253437943206676,1.0807099196318561,1.0307989539012665,1.0015592931383759,1.0737516793252733,1.0045974328805918,1.0567361944557938,1.1141639957736809,1.0757245615531987,1.0496261225144607,1.1020041151615858,1.052388815512272,1.001270038683874,1.0601377090354387,1.0044483295028246
Frosmoth,Powder Snow,Ice Beam,35,1.881929333504515,1.8511896227786522,1.882383631677781,1.6477156281520773,1.5608506523844805,1.7171647849413136,2.2898448348804665,1.9522494793914844,2.3120323419211535,2.060644450401988,1.8630317768898048,2.0679681869049564,1.6817471228815615,1.7047006368258055,1.6932009441640465,1.717057210558771,1.7387618203957194,1.7329247908247747,1.7661354580925832,1.7453117205157853,1.772929394431231,1.7837789361375584,1.805854596467352,1.7801178679358907,1.626469086432675,1.6927850727837859,1.6291426506425128,1.7295309740267795,1.72353692259754,1.7500538438494537,1.7153768710493895,1.7616955158125869,1.7326025025682286,1.6331127967069778,1.7289297709336933,1.6326131805577913
Glaceon,Ice Shard or Frost Breath,Avalanche,45,1.4337680321755408,1.4119710615960184,1.430813045860936,1.343563900282464,1.2150093401405202,1.4462763074009077,1.3987365922967463,1.389338727944992,1.4046169741085104,1.404379066287524,1.3654158456174483,1.4022288912255927,1.3149177657230706,1.3635852021551687,1.329591495708405,1.3643310305538252,1.3625508265277695,1.373928675395735,1.38949211892503,1.3791687015142642,1.4022928878488312,1.3546352984974814,1.3678840230792608,1.3625066182448446,1.3182321605056149,1.3420543364399908,1.3214102314604788,1.399304484055643,1.4019408593440785,1.416276666800728,1.3565198963640372,1.3732461178645246,1.3546551793668022,1.3052495980069838,1.381595062454638,1.3049911455573167
Mega Glalie,Frost Breath,Avalanche,45,1.3246791712730088,1.3138529970241322,1.323521245458392,1.307657562040644,1.168534935337107,1.443539488807844,1.3390375564104315,1.326590873409967,1.3454331824048447,1.3061035559448113,1.2882848170095482,1.3058440909956435,1.2646158665169076,1.3151746454470037,1.2744288030322293,1.2798498445858597,1.2797837974889583,1.2853783935217502,1.3114714560678358,1.3232633783529488,1.3376363097736286,1.288406545451856,1.3085934249625095,1.2962881123070693,1.2250913823319407,1.2532882173173163,1.2361773445399704,1.3015768636455727,1.3140002277792164,1.3205391075490018,1.2704744600114357,1.2796103809196309,1.2647652716174156,1.2235071029047027,1.283200442051202,1.2259195849023479
Mega Glalie,Ice Shard,Avalanche,45,1.3506021424050427,1.3482848420572004,1.3496172635304073,1.2811981757970783,1.1714533063790717,1.4361948014023695,1.3572954213272288,1.3454177152447548,1.3652285545590213,1.3180309059013045,1.3217912004767995,1.3232026001763033,1.257125528995299,1.3154903715974904,1.2739959082729688,1.2913393787816658,1.2953084023801995,1.2979720254547389,1.3195697899099201,1.326379410913262,1.3437159184525014,1.2978718220867858,1.3136844655077728,1.3031823356502585,1.2362315114609956,1.2699906739835087,1.2446241379146699,1.3061551883106413,1.3158448259725442,1.3192645212069591,1.285053079548042,1.3064478684180785,1.2853568311341885,1.2408262731406878,1.3117520608680278,1.2383919900798064
Mega Glalie,Ice Fang,Avalanche,45,1.3418249058707574,1.3524963669634207,1.3434955781611164,1.3243197917609197,1.1775370048997058,1.5123218857710783,1.3645716919857223,1.3486261227995953,1.374339248285291,1.3134190057870767,1.3164303711734031,1.31330742038813,1.2474846101522536,1.3002752282756425,1.2587611057885748,1.284731538897358,1.30090994744404,1.2903849825804694,1.2975350874016682,1.3274346361298501,1.3252018227981854,1.2861302236365801,1.3066618374281702,1.2910090797080145,1.232605233968404,1.2636741679143944,1.2353958970443273,1.299333369918334,1.3109659906084299,1.3260021627749372,1.274537014681513,1.287321206564171,1.2808578050480859,1.2124236451560249,1.292051893425722,1.2164387250021655
Shadow Weavile,Snarl or Ice Shard,Avalanche,45,1.205196503692484,1.1472126404195488,1.2046538336841064,1.3079434451266405,1.0455693489308162,1.3146148774135311,1.3750508270549775,1.2424180517672436,1.3710848862779288,1.1841261865662347,1.1826816402239204,1.1876154041980578,1.042590396105913,1.0514042539806527,1.0477326563591494,1.2212065959451466,1.215525763063083,1.2284610400383136,1.2121350899907635,1.1232618774280976,1.2220638204503638,1.1637124177688858,1.1625345396875881,1.1811863716239248,1.1390313213882803,1.1324264970417581,1.1626645159843199,1.2388036930302944,1.1924135989454498,1.2541748246832987,1.1372063732550097,1.143893091636454,1.1509333908204185,1.08074495280881,1.1371402473890015,1.1007889179483352
Calyrex (Ice Rider),Confusion,Glaciate,50,1.2050339974292739,1.21437413607664,1.206713162208027,1.1905679601109647,1.0749518423671875,1.1903235296213757,1.2634664426998043,1.259106938693184,1.2707958202547915,1.201458751030231,1.2299538386764275,1.200751895315789,1.3704663022294803,1.434490952198091,1.360026893734363,1.1996830678406982,1.243725604049219,1.2018792120675243,1.1733131058694228,1.2164326130707666,1.1981898095832926,1.2105474944973802,1.2542752320777315,1.2142317381128929,1.171787251935714,1.2306513137866701,1.1752698572353812,1.0102728802531582,1.0507068109368605,1.0122287369416918,0.9859287001500144,1.0252006265338003,0.9851828878747614,1.1469450305287554,1.2809712579852308,1.1604060378737533
Calyrex (Ice Rider),Confusion,Avalanche,50,1.2555501658782808,1.290399491649636,1.2553313594125997,1.1504865921373941,1.1377305140997014,1.1441997804049833,1.2500954851270292,1.294125483192293,1.2567988450233474,1.236253123413131,1.291950508505777,1.2396120662030925,1.3978806112164697,1.4893540392370672,1.3956787850113304,1.2409635989720442,1.3066020490251011,1.2458569376058397,1.2494843854097346,1.3256543516408015,1.2652111698076958,1.2543875650344642,1.3303595147709364,1.2533280294919469,1.222846685956006,1.2879276850580625,1.22841137865836,1.0946489362221952,1.1435952506153986,1.0974543605248845,1.07263553381716,1.1362054868809852,1.0752785147478983,1.2278559080188467,1.3461801140300385,1.2303228926745824
Samurott,Fury Cutter or Waterfall,Hydro Cannon,35,1.449869690258966,1.4605436491423336,1.4500135630035234,1.3880604884947167,1.276074201861605,1.511448178706428,1.4244433699884167,1.4205282115635707,1.4189260641137926,1.4126971131621404,1.4479777667115095,1.4154186765968129,1.3225879845819741,1.4018676204418594,1.3291589941323951,1.3943840090900839,1.411310393183689,1.4150894139963501,1.4356364962635413,1.446681314442443,1.4575633760828,1.4005530510493964,1.4527922675478255,1.4188472203988023,1.3411326176425835,1.4024732548122185,1.3503661298942247,1.4273468870737551,1.4621791404604674,1.45568998872756,1.3980032101735882,1.4479715825096875,1.4009787359154342,1.3966607801542588,1.4581346239652901,1.4028389310746034
Kyurem,Dragon Breath,Glaciate,35,1.6698095534499733,1.6167568285851166,1.6754116983528071,1.3818281650500754,1.295576768900467,1.462350532717736,1.5253849177129202,1.542909299500366,1.5120771698637494,1.5577082695681312,1.544506943332542,1.5610806203885,1.4418847632315996,1.5073700889773698,1.4358041842561562,1.585848548685475,1.5827119376214904,1.6008334141966827,1.5762176205950904,1.6156796928807569,1.589699565501017,1.5539760627560624,1.5952600423197851,1.561319309742488,1.4989208895055566,1.5741966163699084,1.4850070090048024,1.5582173231732277,1.5983737466035148,1.5664038435299614,1.462926512559342,1.5056107748448229,1.4697238307990186,1.4231331859401188,1.5684345684013088,1.426706802705752
Kyurem,Dragon Breath,Blizzard,35,1.9611184407391662,1.938137717189146,1.9662788263780686,1.5896472614087331,1.5058549649881174,1.685803121727827,1.7885387986111383,1.8136429828981486,1.770393674092453,1.8268329399955427,1.818503423386692,1.823339205600161,1.6771665380083696,1.7589494405657646,1.6732564616390762,1.882513013782245,1.8692976470330456,1.903551831320097,1.8394552618391544,1.8928611698921227,1.8574701123648627,1.8244910808556907,1.8818694916016863,1.8307370397969933,1.7683964676056538,1.8564433755409178,1.746909791841191,1.8140800256796636,1.875255264951206,1.8336088609873966,1.7192028131590524,1.7911106744326848,1.73173091471147,1.6978946899133374,1.8475775790835256,1.6979139559692205
Kyurem,Steel Wing,Glaciate,35,1.6442826320119854,1.622348632634435,1.6482780980222993,1.4813819655134244,1.3919619040264588,1.5867672757416786,1.3607161670624948,1.369471116106696,1.3484791400759661,1.348265480993708,1.3318279647982654,1.3495422669131278,1.548208591578277,1.6166236567877192,1.5421208042432337,1.6371004698421443,1.6027248340214544,1.6506991288669637,1.6579532975975633,1.6848112971611693,1.668326001628128,1.569531018380692,1.6127013903399208,1.5763297047785114,1.5254695753416965,1.591285939864175,1.5111002845973935,1.619812694819827,1.6654152591777922,1.6310095092184804,1.6016165837593983,1.6719473723531553,1.6088581983974133,1.7360154544864268,1.8781186716710188,1.7346538175368629
Kyurem,Steel Wing,Blizzard,35,1.920616314869498,1.9017381126393704,1.925422064184229,1.7046164660538417,1.6259420091257055,1.8158602595536957,1.5636312707711444,1.5717260492367089,1.556425004658029,1.5503055608330163,1.5303365757056873,1.5554066584492392,1.802267487808043,1.8914786704639432,1.8037319643566276,1.9190350237425227,1.8970732684548421,1.936824856245833,1.9519445138101035,1.9666299377847885,1.9563107042020453,1.8459998372790094,1.8975423274895542,1.8487055360269822,1.786016793878804,1.8602522190544297,1.7729797867879307,1.9042848052093033,1.94740686893411,1.9207664733049146,1.8737612879392447,1.9569543996784506,1.8853478510354391,2.059793860638072,2.2333680111072525,2.0595102778155114
Kyurem,Ice Shard,Frenzy Plant,35,1.524081699736583,1.5119140120563361,1.3373294321172924,1.2852240844366385,1.2678178730785548,1.1822561958099769,2.0104292467725493,1.9719368496416803,1.827086537777242,1.9469475534043275,1.9281037580966542,1.7605793094245508,1.436567221885104,1.5052155758234242,1.2621276718440164,1.4754152985109665,1.474234902290989,1.3076069039562523,1.4738178668968585,1.5051634629113024,1.3019515587761232,1.4572066907912864,1.4682232716904309,1.2872637232658353,1.3936116145503543,1.4456625629298197,1.2325127451874416,1.9533704746264855,1.9798842009553947,1.7795035164826078,1.9267868910273147,1.9607097137010037,1.7521480211593619,1.397959954522644,1.4876621361127917,1.2428623910466512
Palkia,Dragon Tail,Aqua Tail or Hydro Pump,45,1.51358633288856,1.5029616304378777,1.5137917012402529,1.2733918264501123,1.2754668468990076,1.2876240950456161,1.3970845565502619,1.4285842774261357,1.4121381265675028,1.3688974878899165,1.437019973839759,1.3864238819712065,1.3963656761506835,1.4680319736619647,1.3984525617854713,1.4374501594833926,1.4787566242734036,1.4416926211932926,1.4301772573487623,1.4861574391370282,1.4524851281799203,1.402768044309419,1.4610380304842985,1.4184145921281255,1.3716757119808156,1.4380225382313112,1.3878884712371256,1.421766296268593,1.4799309971805743,1.4420172969372715,1.4139959835483642,1.467790772235479,1.433693259372233,1.40500264435067,1.4909473366418444,1.3964179264498373
Weavile,Snarl or Ice Shard,Avalanche,30,1.649352347848328,1.5965472539538776,1.6442926231748018,1.7343930523463746,1.4025281663401128,1.7371208948059398,2.016076905938567,1.6931481732479283,2.0105693452688547,1.597179430530718,1.581279871544667,1.6001275078796184,1.3958650228111817,1.4054592183779095,1.4113719081052107,1.6601958249470217,1.6594023207259547,1.6879219893009962,1.6442917857947592,1.508914724391736,1.6366030918676702,1.5721895650233697,1.5753866626726063,1.6145395519871995,1.5507102166032218,1.5314214440440481,1.5842907705054377,1.6948638041910626,1.6236821600385798,1.716512226594464,1.549142235431801,1.5465117202737517,1.5544193560794957,1.4467273443773347,1.5180921953782218,1.4796770319511987
Shadow Gyarados,Waterfall,Hydro Pump,45,1.2460628574026273,1.2289044839839163,1.2452327915958334,1.039853626777421,1.0372530740099797,1.1134655895186185,1.1615606561222953,1.1926680654462927,1.165045773853311,1.1788512824656605,1.1991412423262144,1.1813676354614735,1.1377640717008977,1.1922843684756155,1.1375399572478746,1.1540024227702843,1.1886704187260735,1.1555657982464653,1.1551137353948284,1.198259039742051,1.1552217644609886,1.17241453912053,1.197117527084724,1.1741415080907467,1.1089202329789765,1.161003397072887,1.110741873953173,1.1572911337879648,1.1966384899515912,1.1566491422007608,1.1633124112163025,1.2046721682163888,1.165659584103545,1.1776680352439028,1.223625065246864,1.1775268015342404
Swampert,Water Gun or Mud Shot,Hydro Cannon,50,1.2985168118798922,1.3240675622411977,1.2970602502086903,1.213922641606625,1.1059567155506596,1.2127775756518904,1.21095945744421,1.2610750230576913,1.2119577598116333,1.195086557905371,1.2965873575147813,1.2052861391053635,1.2243050551570571,1.3148488275930763,1.221637267481255,1.2107473651590608,1.2957351887037551,1.2186053576403344,1.2503253723653844,1.3257806919901456,1.2567063667543645,1.2802366727502128,1.385592812909692,1.3017898692623133,1.2110819213309876,1.2862493916462705,1.2011935211106533,1.2640092675319519,1.328526415059589,1.240975752037891,1.2704273746200287,1.348460401702411,1.2373256669734611,1.2553195185797956,1.362950421373992,1.2064238573530406
