Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
Sneasler,Rock Smash,Close Combat,30,1.6677171650160512,1.462620475214002,1.912452009787212,1.5677361908681111,1.730757966104109,1.5641058396434862,1.7834312554673488,1.6040641238933389,1.7404092729898764,1.5634348239898537,1.752727883702621,1.5703092817401987,1.5461035144337945,1.5442542695465713,1.6717621951553203,1.5309055002720184,1.5112388334392712,1.3542819135640118,1.7580756238496602,1.5062129945027727,1.5279127363192566,1.5093363781209514,1.5910915269484514,1.4323151255743365,1.50984630257225,1.505927103252019,1.4340368024613361,1.3945723242548418,1.52488142915243,1.5270558640516603,1.5152337224313897,1.4757247771968323,1.607325316903271,1.520997227448973,1.568791797850209,1.4614125423358966,1.535681037822478,1.501900205155949,1.4831406719313538,1.4529447866912053,1.7143264543718075,1.567381476210786,1.5167972215741345,1.5291870343355503
Falinks,Counter,Superpower,50,1.55579391595896,1.4385385697477184,1.5122683078102015,1.4430617965352328,1.4843982402196345,1.4324881912755203,1.5213991061477632,1.4692687382936789,1.4836469510349184,1.430386294560438,1.4910698159264564,1.4420679562895302,1.4734187241030265,1.421701293651432,1.5516923746819935,1.4682411233425634,1.3968723538173808,1.3321443657354175,1.4783298053396758,1.465301466529289,1.4957701829154315,1.4534558785059675,1.4059213671047852,1.386528146270249,1.4767341999845467,1.4668405972775629,1.4420196934718672,1.3606660807559865,1.4500245546975699,1.454326317978618,1.4901052871757907,1.4337245190821408,1.443279820456037,1.386841716950689,1.4725956180131674,1.3492768428113109,1.4334965102015802,1.3946735652429618,1.5055984393767394,1.4717712876295235,1.4879743590826364,1.4719478848636105,1.4824715606121641,1.4877691055125306
Buzzwole,Counter,Superpower,35,1.248938220148119,1.2508817641886627,1.2926171729998674,1.2877026969415943,1.2896776703385138,1.2789287043252069,1.3237598404315714,1.306489809928867,1.2939470131375803,1.2760581124436041,1.2945194118227554,1.292016159233919,1.2823632411280836,1.291033532501693,1.323930019976996,1.2949882275695184,1.1820751671380825,1.156655097857716,1.292811556330841,1.2973785062945036,1.3155638645969916,1.3096896340239343,1.244006567668112,1.2494220302703503,1.3076378566390523,1.325812629527059,1.2040921373655233,1.2103589036625666,1.2825012850988524,1.3002495041176154,1.2425595382446262,1.2252331151027038,1.296156358631329,1.2962036155261099,1.3256074110664204,1.2111151264771243,1.3221174306804624,1.319302501089304,1.333078803895627,1.3349027576173476,1.3078027721356313,1.3333994907288154,1.3030791878820072,1.3173827205742856
Zapdos (Galarian),Counter,Close Combat,35,1.2832042944333453,1.2285694429711747,1.276358116555725,1.2507262636300411,1.2668771732415105,1.2428432364006046,1.295904217076554,1.2732840061647053,1.2638072176896122,1.2450590153105068,1.2823051438726933,1.2475943932038258,1.2713808720548447,1.2783965810051552,1.4376437491533796,1.284935582381992,1.3055054675224085,1.149409972112515,1.5020829967625757,1.3030629118466888,1.3182223878089259,1.3029257526480362,1.2233391835458651,1.222888691929764,1.312434883040772,1.3141897973133734,1.1698347166704368,1.164106964058228,1.2777993837942496,1.3220371677714418,1.22061404304189,1.2010231590454647,1.266980794358362,1.256712786953756,1.314158385166082,1.1834424003929638,1.291442381419474,1.2758721215463253,1.2749732674066667,1.2687752188447896,1.2934997121449496,1.2897132006525653,1.2889818008907818,1.297729692811824
Sawk,Low Kick,Focus Blast,45,1.69005805627233,1.3313893985914045,1.5509463724366943,1.3840237341848358,1.5547774814345308,1.362838260089271,1.5811751502506988,1.4015981416508831,1.5434631947262971,1.3719317750914537,1.5515077703177964,1.3844243937439324,1.4428030540852093,1.3248164947229102,1.6042484784247142,1.3892313671731729,1.4155118300050624,1.2589358620967335,1.4807437802944188,1.3683127762829022,1.4548197984641307,1.3660522967165203,1.555236907281841,1.3306234529964784,1.4313641221449083,1.4116411814950036,1.504428056175287,1.2968655766683155,1.492752304986553,1.4546357431420156,1.5000619454171777,1.3695059423316107,1.4224351705006784,1.3089908916548132,1.6046528629124888,1.299627798588627,1.4078437778756652,1.3121109336280692,1.435745060854751,1.3843889893020198,1.467837230285448,1.391568845215624,1.4497078761624203,1.4063420783458613
Machamp,Counter or Karate Chop,Dynamic Punch,50,1.057681882727463,1.0727181232111982,1.0694957948417176,1.0974357622807052,1.065146502961751,1.0859496653675438,1.0896102089427728,1.1118793354543413,1.0674251756278392,1.0858843805804044,1.0704317550059355,1.090772234705327,1.0694907150565593,1.1002027459052226,1.0760922199391172,1.1016219172511508,0.9993396867075036,1.0058667948478692,1.086492868441873,1.11092790544554,1.0837111852384345,1.0974584220775374,1.0234125623710613,1.0449006632407813,1.1154449896262084,1.1353074524612505,1.0153942137983243,1.0333485562186693,1.0794379711198645,1.1180496132258377,1.055935973638561,1.071353370821821,1.08508981227803,1.099758095985274,1.090720929044186,1.057036494152732,1.1013845864328662,1.1073518986692452,1.13767252614357,1.1298934650548575,1.1207970980832656,1.124506472867726,1.0983535792334949,1.1191895127663405
Blaziken,Fire Spin or Counter,Focus Blast,50,1.36845396922328,1.1374269657016929,1.210230221022099,1.1465723175025164,1.1753515910843018,1.1366655331240731,1.2020077750063676,1.1670765836807506,1.1704360655985484,1.1399847788465087,1.2087795484343904,1.1436257813841262,1.185213134534373,1.1287326357637255,1.1749290136518218,1.1451757633208042,1.0846763429811839,1.040126543745613,1.2218333592828372,1.1635489232745575,1.2373962294939522,1.1756128046103271,1.2408261559569203,1.1171061686512744,1.1636797116034154,1.170571684754696,1.1047183631308533,1.0730844405781346,1.2238989787365362,1.1915745739922827,1.2482220347282351,1.1603289739224028,1.1688515226464564,1.1135220878726206,1.35907078087718,1.1369875670457428,1.1976636856076794,1.146010665186625,1.2085769198450582,1.1765993010806726,1.4499769856719975,1.240299144035911,1.1894425710449856,1.1726397386910494
Poliwrath,Mud Shot or Bubble or Rock Smash,Dynamic Punch,40,1.5091636079631976,,1.5494176780219944,,1.5530246447590275,,1.5915798538624266,,1.4700737630256666,,1.551828707009773,,1.5559486704388745,,1.5595349634669038,,1.4643782223200692,,1.5383669310262191,,1.6222916067900177,,1.4866310367286864,,1.602433224629344,,1.4895063269407156,,1.5745223647063389,,1.5324046757560714,,1.553741126876923,,1.6719385455648648,,1.5211486734948596,,1.619296936914375,,1.545158109137181,,1.5809806270672089,
Zapdos (Galarian),Counter,Close Combat,45,1.1519852318783421,1.1293121467693195,1.1770610751769817,1.1445331961254286,1.1744472199422784,1.1316465804106035,1.2046673701703312,1.1598150297161205,1.1751816513973545,1.1338672887898251,1.1814086610109318,1.1401300106319212,1.1678260695736842,1.1785683128907016,1.3336308434575632,1.195497833075043,1.1947444982431494,1.0705897111606764,1.2162340013988329,1.1860481191653274,1.216826684730112,1.2103186355799012,1.1335419939580935,1.1331242751369621,1.1920505966634538,1.1991433972024321,1.1157785987532853,1.1129508981005332,1.1893851175101002,1.2123819456712612,1.115057576024688,1.106702430875241,1.1507217996128891,1.152989251364332,1.1916112200886562,1.0906340129941337,1.1781397225637842,1.1658028907335063,1.1705969482829355,1.1734549467242894,1.1834171843130963,1.1951426395674714,1.1780332723278761,1.1998400725929956
Buzzwole,Counter,Superpower,40,1.1818765739161115,1.2114249778130453,1.2100913988017676,1.1975483451838367,1.2113721177008907,1.1899548838178189,1.2419172657665223,1.2188503608205645,1.2156787660907908,1.189898204090596,1.2189497212733629,1.1992084961377476,1.2420111485502643,1.246371257805785,1.2675020156687036,1.247349108629014,1.1292821904412054,1.1182322545266314,1.2565319537633532,1.2490807042581427,1.2510319142634763,1.2424314571304704,1.1802353290837226,1.1744066069095045,1.248247807466995,1.277890035589784,1.1581648556119266,1.176475984407335,1.2495231741217308,1.2641012071616295,1.201968208873831,1.1981785727691532,1.2049786494082044,1.2151473807005184,1.2147114621922088,1.1694583997595078,1.2385910149508257,1.2406450348771079,1.2522938954125389,1.2550887901050685,1.238287508779931,1.2580135608584697,1.234750384883348,1.2541336108314691
Pheromosa,Low Kick or Bug Bite,Focus Blast or Close Combat,30,1.6194379994995116,1.3943984947057033,1.7032052726222247,1.2744581295594382,1.6569447584931125,1.2338630419416694,1.7622314005245923,1.2919714802059616,1.7260743604915045,1.2647716093480288,1.6896528786444285,1.2761355112295008,1.7060497328631286,1.2697622915129592,1.8246233107156056,1.352345321016715,1.6202855964964633,1.1907832395211297,1.7421060023398482,1.3738212295574446,1.6097980054766534,1.28195165877236,1.4264995662439997,1.2375483929269002,1.3047881160076233,1.2664812430919343,1.3513409984537126,1.2211723354163977,1.3974684597802223,1.314508097605482,1.638575957628702,1.1920534099186053,1.5021212118103846,1.1751837267475929,1.4726276590994154,1.1842644660210264,1.5203828429502733,1.2499711457507907,1.4630333543679164,1.238986377498818,1.8946881241844695,1.4258567312334698,1.631598014671987,1.3556238178006228
Zapdos (Galarian),Counter,Close Combat,40,1.2298102617328115,1.2025419422820751,1.2533356129966495,1.2175946662299988,1.2482710656427989,1.2092019919488803,1.2795358568664168,1.2396661844925543,1.2479303187684736,1.2088171554491418,1.25434183697926,1.220688917592312,1.236883354971661,1.2533801254282257,1.4025810150439886,1.2626678522689594,1.266640086456068,1.1258190001514286,1.2810100636893558,1.2190999979988784,1.241358690378703,1.2311876308115113,1.1593968279910187,1.1496777064244188,1.237563684742858,1.240578315229449,1.1346008018427642,1.1304849426209407,1.2126564177015111,1.2279483891466973,1.179217423247783,1.1701091799839647,1.2404215402934264,1.230262187113565,1.292193622074467,1.160555673458978,1.2616277032405334,1.2434948206995462,1.2435867314070488,1.2469563562610289,1.208130715752639,1.216375278529673,1.2031087352979404,1.2303812423961824
Meloetta (Pirouette),Low Kick,Close Combat,45,,,,,,,,,,,,,,,,,,,,,,,1.1924233166294158,1.175462589344146,,,,,,,,,,,,,,,,,,,,
Heracross,Counter,Close Combat,50,1.2118668122420029,1.198013908578611,1.2593287372609543,1.224481193758717,1.255767313379423,1.2200068190598958,1.2867536788662162,1.2489085552783639,1.2557687238191937,1.2171045934187181,1.2695833813762993,1.2291132823876116,1.228779001529061,1.230737368021809,1.2815403562234273,1.2462252650750325,1.142441361291823,1.109896025627132,1.257674118322904,1.2383898341070192,1.2235512693542263,1.209595333343628,1.1616682513118923,1.1587450254523735,1.236248582449314,1.2612681869018052,1.1377272800211415,1.133638330657258,1.2166279492252996,1.2341535182443204,1.1859671013424915,1.1759467579402954,1.223916941574799,1.220396193013863,1.2803219392591236,1.1512147760967972,1.2446466793456363,1.2462696749445805,1.2541624171866272,1.2536288774617466,1.246083214742683,1.2756490392397812,1.2479336184201495,1.2736254194966121
Emboar,Low Kick or Ember,Focus Blast,45,1.3411087304373377,1.2658196455986805,1.4057410502255494,1.301554951569641,1.3874485232195222,1.2908935283026595,1.4124714735392259,1.3238139934369286,1.3887726211279747,1.2963781745373752,1.4016876516703964,1.2978055283578884,1.2896156309106526,1.2720971736388207,1.3623328600063853,1.3379969079633625,1.2696492499008676,1.1908981306183428,1.318217381351792,1.2908946892673017,1.384722748163597,1.3149218639982059,1.298523252486072,1.2498206226734339,1.3229100395830782,1.372065607982191,1.262488978673618,1.2095396795440632,1.3108907643127248,1.3016594425330144,1.2944760714606551,1.2579966525223751,1.3407830592018257,1.254592600874421,1.5613429358381852,1.2525086651342805,1.3528674115188548,1.2929168186423203,1.3782044923937742,1.3399008463810909,1.7200243797040373,1.3528939637710842,1.4013068676752076,1.3639049654997588
Breloom,Counter,Dynamic Punch,30,1.4012661459789306,1.2991390992653058,1.5090289294269394,1.3181955127021663,1.4964088658461243,1.3082056614221036,1.5590105981982159,1.3327821861914113,1.5280940084045307,1.304758033003764,1.5120006601003007,1.329354534394527,1.7148798978206439,1.3637126945059868,1.602124572077667,1.407274754417334,1.4670676055442924,1.234386636281594,1.6092179836405869,1.3814091410258724,1.4180868428252082,1.3174497629633761,1.4672063325206217,1.332815415721024,1.297114924318199,1.3048021739247622,1.3570162803930514,1.253966008944297,1.3559948901338925,1.3677987430678311,1.446578272225805,1.2997508687119865,1.4564649336989428,1.344224936371705,1.350167824396433,1.2878366788493383,1.3217828108601728,1.310670346092926,1.3595953945796682,1.3349769004031722,1.5174997571882827,1.3834527122420743,1.3485077343994083,1.3197419122021945
Falinks,Counter,Superpower,45,1.609185995152568,1.4650001396757455,1.6164144945203351,1.4954189559177689,1.5818854255502877,1.4843010285563714,1.6262604396414015,1.5172860261173118,1.586435969577253,1.482878958489016,1.6015201963396328,1.4930370720745452,1.5946095479512552,1.5094633516858826,1.6733461826865241,1.517970410756356,1.477367023129234,1.3628555840644183,1.5454980620845538,1.5094958711004365,1.565941793328587,1.5343618403417918,1.494070890993977,1.4182381356169418,1.5269538364425816,1.5216255687510893,1.4904386931664155,1.3902499194479319,1.5546784161048484,1.5444974288786384,1.5175370902798306,1.4684456371236407,1.5662036125954497,1.5029834120240002,1.557937649703459,1.4431351282172864,1.5563674095803266,1.4989195313890986,1.5345712569838386,1.5000280094968672,1.5678669307332072,1.5446967527979654,1.5261091381438572,1.5262785110362826
Zamazenta (Hero),Snarl or Metal Claw or Quick Attack,Close Combat,45,1.4692474544339627,1.4976895385211055,1.5390060560914907,1.4842875365383832,1.5289180662356832,1.4762548049446198,1.3317070442547916,1.2995123089553644,1.302401288107896,1.2707554253143252,1.548022006500308,1.5294110735756745,1.3468035035750061,1.3292267251960863,1.3279113147519641,1.3173388919207212,1.225778964226742,1.1860872470571575,1.365529569988252,1.2901336529596346,1.523163591340517,1.5457129548599018,1.4659324915882714,,1.5101684719815671,1.5885579547146924,,,,,1.5973941170938142,1.545360862895971,1.3117013859531406,1.2907659587999003,1.4643600920905013,1.4510594504861638,1.3178266099701796,1.313867240331888,1.5285173749499537,1.5480011928750432,1.3808940820098337,1.3684420214884851,1.6907992091626054,1.7379645544031703
Machamp,Counter or Karate Chop,Dynamic Punch,45,1.1012068961138692,1.0992450379458953,1.1167744155419526,1.129423113181716,1.1052084798481647,1.1237839194816803,1.1324768178492675,1.1539604982495153,1.1095461615709439,1.1252115913707084,1.1119017880113973,1.1301128009378998,1.1048420395618948,1.1211194508461266,1.113292062172244,1.1220548824937502,1.028617560969652,1.0241561637055299,1.116721518548689,1.1383554733848387,1.147737578826864,1.150859020079603,1.0743365429719305,1.0970990220329353,1.1573599908084478,1.1743391008492778,1.0520020579296108,1.0549947323420565,1.1415825028601774,1.1802866079136423,1.1052218563254337,1.1313156384184317,1.128665797921312,1.1290583232140081,1.1085970930079998,1.072371330409431,1.1329590382990578,1.1333697453578957,1.1530243254242205,1.1477251345691564,1.1498795513120983,1.1585892991116613,1.134603616571418,1.148548463009622
Blaziken,Counter,Focus Blast,45,1.4024786877278157,1.1652698115393265,1.4077006598715576,1.222968241150563,1.3843192779986506,1.2097001572122688,1.4153091820334163,1.2408466289958946,1.365813751583129,1.2153638962596593,1.391497643657254,1.219963280803925,1.2189683432836647,1.1950848795300386,1.2518074727359332,1.2157512203039713,1.1503250124232467,1.0941821839514112,1.2871421591906878,1.2207010173018926,1.253476667755298,1.2036018872581953,1.2893188787040715,1.1334340049123734,1.2019177747141618,1.2123377565741638,1.1272344589890215,1.0906127339151825,1.2474167495608497,1.2131336081813084,1.258405703153765,1.182550666606496,1.2657809088299472,1.2004007384677424,1.4286625010185476,1.1583091145381366,1.2996351615047634,1.2249313239045303,1.2378003400682445,1.1944155653716944,1.5082103016917996,1.311224939367451,1.2479197731145963,1.2367190420178784
Blaziken,Fire Spin or Counter,Blaze Kick or Focus Blast,35,1.5287422892639753,1.2527876543832106,1.7611353436824342,1.3471153072613342,1.5947465642086598,1.3250937843289814,1.6473750604841286,1.3647550306890541,1.61773042110228,1.3360592860372145,1.6283489670095932,1.3493587542831578,1.31617390830117,1.3009396296968747,1.4039886403789203,1.330627608514514,1.3916510192237646,1.1798820409999748,1.6125702893963496,1.3036310961607263,1.3987878738290778,1.35216533169109,1.3610490174098222,1.2292839536498121,1.3025921213724627,1.302248812238125,1.2405605330509148,1.215566919704534,1.3771247154042008,1.3421737212525064,1.557225809022964,1.2826083839194546,1.3668781333336069,1.2521091594705527,1.6136067352573025,1.2742877188265782,1.367814881873537,1.3011663379618432,1.3857874458139807,1.3118264333860024,1.688943522698321,1.4565287073830246,1.3759390790409523,1.3411518002530098
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,50,0.9517295275892808,0.9029210593711778,0.9556925672451626,0.9302671861730394,0.9383692743487619,0.9239692625979016,0.958760165577137,0.9476598461335641,0.9349048077773693,0.9240934767310617,0.9452613969939971,0.9328653512878589,0.9287227764883842,0.9242220075910598,0.9217061863356307,0.9176471477646091,0.8519059449725467,0.8360508700516481,0.9144660226634342,0.9275361531902515,0.9442311100744656,0.9357373073220334,0.887486804249009,0.8928427922872613,0.9236343816910533,0.9434265020910888,0.9284619177228609,0.8826229272841677,0.9216605003635807,0.9399621358882535,0.9147140768245482,0.9192688310905051,0.9439070549928118,0.9391553925392133,0.9147461733689776,0.8840977695076584,0.944512756858737,0.943489959466863,0.9299525321408977,0.9313971631322527,0.9176440084625163,0.9457238534008422,0.9195501769212077,0.9398425510237857
Cobalion,Zen Headbutt or Metal Claw,Sacred Sword,50,1.4223751557677586,1.473530762557289,1.3556121368704148,1.3925357258738755,1.3481868511433055,1.3900929564274538,1.1948326838234005,1.2192977829623086,1.1665255538895072,1.191032811276812,1.433480353371669,1.4801706557629197,1.1616271957629958,1.2086940273849134,1.1579924881890642,1.189615256785558,1.0693209408276692,1.1018584100748934,1.1538193846209412,1.1932084739202609,1.5400954208105915,1.6281351835918891,1.278786884370434,1.3181899381179787,1.5809679478432248,1.7069358697902866,1.404673283793634,1.4686664525238393,1.4789503870658436,1.5760464963202956,1.3345881278207572,1.392292946256894,1.1590434823510518,1.17905131893627,1.2189710852214635,1.2569738851336265,1.1735662867846943,1.2015120744967505,1.5788957503002785,1.6601691361706403,1.2160054727649712,1.2370488734240113,1.5345477106000143,1.6617333515246386
Poliwrath,Mud Shot or Bubble or Rock Smash,Dynamic Punch,30,1.6706024459078819,1.7203895722581701,1.7388169403600477,1.7861228973985617,1.7171673393737503,1.7684785395460965,1.7619995437495533,1.815579846945404,1.6525890408583948,1.6734106808576659,1.7280096381076937,1.7505270281722463,1.695623306589402,1.7514754221172073,1.6912079608744472,1.7332249283168912,1.5511525698913078,1.5695031104953223,1.6906573489238603,1.7531216276830284,1.8068920740641208,1.811755421626489,1.6669175665888125,1.6816668823761287,1.731308492958516,1.806909223166898,1.6973865060765867,1.6602714927757327,1.7208599034671272,1.768439236141326,1.7330878994398657,1.7274315711382224,1.7320992714232353,1.7229222755227895,1.868501264379934,1.7395105724075608,1.7005740131623095,1.7015373126449609,1.7380796112281836,1.7571843123750903,1.695723276283137,1.742044545041222,1.7256857462781154,1.7685299030344226
Bewear,Low Kick,Superpower,45,1.242011084588999,1.2816023699164623,1.2956824996240697,1.3018765660421852,1.3010167164891278,1.2915388463859874,1.3317505941927137,1.3246259699702017,1.3031614566963963,1.2964300082551643,1.3018628936472358,1.3056713364355128,1.306286394287365,1.3582806316573761,1.2994675791163013,1.302082320750479,1.3319824831443892,1.2081629503536937,1.3261259603553408,1.3423535923305305,1.333395197867788,1.3427966864425744,1.2379238294699313,1.2679228102897337,1.365614292398969,1.4065972431050409,1.2277746939127914,1.242106003823614,1.3639018819369695,1.375799315929752,1.3814717935892238,1.3165029128580341,1.296249553623827,1.2962720830736645,1.434833770752473,1.2370465852534585,1.3221492672810111,1.3111329833444625,1.4027861623199773,1.3861535464142078,1.3734297260661548,1.3971840597274598,1.3253037288677445,1.3480224221292383
Heracross,Counter,Close Combat,45,1.2813809887440886,1.2153240311240538,1.2881270568030379,1.250558722646493,1.2789638233738858,1.24360009863601,1.3103329895603473,1.2743115935714102,1.2761072344488844,1.2452834650884796,1.2944414113405462,1.2556704362581264,1.242831913814407,1.2496595105083281,1.3178047341007024,1.2719112962469095,1.179304583854613,1.1274563535449544,1.2913087018040845,1.267356069328614,1.2901743600333826,1.2831780400992814,1.2227371849103952,1.2280837709173038,1.2920110548078023,1.3076037159831437,1.1574236629812231,1.1577690889940953,1.2778452749732359,1.3062121975059118,1.2658929798286742,1.24532483438695,1.2573228771287033,1.2381818565468234,1.3036813642873553,1.1680323872772949,1.2682974710555346,1.2657535253629597,1.2759382357641733,1.2684526153455797,1.281062797444354,1.3062223141856941,1.28921055117233,1.2991620966394253
Heracross,Counter,Close Combat,35,1.4303223149682196,1.3232161698019478,1.4795208461653584,1.3814225901791461,1.4516138738491724,1.3663899576434897,1.4871880132732203,1.403247851525019,1.4475509457430782,1.3726053022425861,1.463318530962327,1.3660612218011614,1.3822502185100713,1.3467019510981884,1.440507632009163,1.3778201237615786,1.2996108296969264,1.237286756689534,1.410732771685203,1.3607217533144187,1.4519166212814152,1.3967486489868928,1.341441376534754,1.3277043640307509,1.3984230399326234,1.4062572106280815,1.3600645495779695,1.2675860891796953,1.3539846231493193,1.3774100768667525,1.4050223868101706,1.3581018173889168,1.399399009524792,1.3560360462405416,1.4166119681743625,1.2728490003963706,1.4188983850269261,1.393953886585354,1.3894377423027433,1.3765083937871643,1.4475002780018216,1.3880461187426718,1.4264907115356824,1.3998166203407316
Gallade,Low Kick or Confusion,Close Combat,45,1.4660991338345644,1.3887856786063058,1.4887901391540024,1.4189248800991636,1.4595007486722418,1.4183155853797933,1.4909170165261776,1.4532433622863816,1.4588592759016332,1.419373896699757,1.4783272801057625,1.4285712371122183,1.3997063275101826,1.3858810713267138,1.486703808041202,1.4461410670770425,1.354193002345538,1.2811640807371825,1.4490832300640701,1.4055221072689035,1.414960964842429,1.4062314968190373,1.2282819120121375,1.2438978801857778,1.436015707238485,1.4538058428297382,1.3724716271404165,1.341792543029857,1.3561035900027623,1.3628286894927966,1.4337367500070646,1.3797469168579681,1.4030828493225997,1.350493068915499,1.4957533591350012,1.3095017472980297,1.3882420500205932,1.3638513369433702,1.463643673066562,1.4560183346871258,1.319658965664312,1.3365156448164275,1.4666131960697093,1.453477432151948
Terrakion,Zen Headbutt or Smack Down,Sacred Sword,40,1.2502433581252899,1.3141552674653776,1.1619250829142802,1.2051094960820294,1.1569879340028952,1.20282532524067,1.0,1.0255282272995494,1.1551753922314327,1.2035406074502746,1.2721696825885187,1.3493687612178742,1.0074268679032747,1.0349548186092268,0.9999999999999999,1.01719458070452,1.0,0.9365235485864617,1.0,1.019330834697106,1.3769214210166403,1.4334232356968466,1.0246700706318204,1.0602807210165326,1.4040926084845768,1.4817905051136468,1.1238521241534223,1.1726502049338339,1.2734008309609117,1.28972977776516,1.2402004985999808,1.2316722753189635,1.062894567596482,1.0704672468689926,1.2138739284535436,1.109502391802638,1.2609642791850666,1.2822916328045524,1.4431929508334473,1.494304021669465,1.1002175311467612,1.1422527578484492,1.4593941810965965,1.5160046081051952
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,45,1.0027898032408291,0.9263016070134025,1.0024269138692183,0.9507699750146761,0.9801758534062361,0.9470670475607172,1.0033678163592405,0.9709547397827499,0.9810820266361296,0.9474705723624929,0.9855448041068817,0.954666039327164,0.9583338872706372,0.9443490001035417,1.0227161391776431,0.9732196318092182,0.9399668140688392,0.8811000832908702,0.9470951035482815,0.9548870318046554,0.9763887598844007,0.9843747587167917,0.9539023775803137,0.917305051163437,0.9676356834753201,0.9748519717180075,0.9479125973494287,0.9007017011716367,0.9705744690842698,0.9861260854309022,0.9433558979839639,0.9427285358865881,0.9802211578715846,0.9631294013936168,0.9505629057214057,0.9134414198252381,0.9823444055115046,0.9651051472700004,0.9822292923318238,0.9795335430201159,0.9873115182840744,0.9882802877705945,0.9562843155696313,0.9837886810792394
Cobalion,Zen Headbutt or Metal Claw,Sacred Sword,35,1.5424733917705395,1.6000540340015694,1.4588857012845493,1.503744855372487,1.4631405776794189,1.5051012977579004,1.3460056219920906,1.3733378724776815,1.316736645149302,1.3424787097227342,1.6469773673961645,1.7122344203083233,1.2996853862540936,1.3556784040239818,1.2983766835861914,1.321688708085981,1.1979658997013143,1.2291933516765767,1.294834458435484,1.3184987585724877,1.679026724326487,1.7638440382217953,1.426223791233213,1.4670705671880175,1.7247186064777824,1.848674872191865,1.5229262759355295,1.5878062274381433,1.7397950219932505,1.7790411679849525,1.4659545351215226,1.5178842482135468,1.3605146444354603,1.3482134915577204,1.454053680788837,1.4531636199245839,1.3608739810423855,1.3667045151904573,1.711781700571888,1.7806871223866727,1.3516576368859856,1.3891865033282802,1.7030656251337102,1.8100925819032572
Chesnaught,Vine Whip or Low Kick,Superpower,30,1.6707494961417262,1.6662964771042152,1.6739885242676225,1.6486749412380213,1.6645233512741673,1.625121024959896,1.7031919283079737,1.6702283113459238,1.5785215032133793,1.5361609974834418,1.672651007213615,1.6410101964857164,1.76732527466961,1.7400447277282511,1.8792435743031817,1.736045369428871,1.7612473985188155,1.5683957052258786,1.9569246982821105,1.7021900323644814,1.7180280590331707,1.7104233885047435,1.67713193344071,1.6535855398692065,1.735587279001351,1.7757198842684616,1.5992528573795992,1.5654673177290237,1.7022896295366519,1.7280853820941373,1.6471838400802348,1.6172521835364158,1.6923084165189002,1.6527743607094598,1.718677421300233,1.6250856845858896,1.6564562761943646,1.636267807992642,1.743002239112132,1.71932292807985,1.6577274230849899,1.641425227363262,1.7546286511443165,1.7488421207294498
Shadow Gallade,Low Kick or Confusion,Close Combat,30,1.5017698772748345,1.310511000295175,1.4974038951561792,1.3241399399331906,1.4385262195523636,1.327983205171803,1.4697517011893593,1.3564122823930878,1.4394271440643946,1.3275195698957236,1.4349722354469125,1.337388628735887,1.4488088665938155,1.3900510304835014,1.5817142868104037,1.4036706693814183,1.3999924233979135,1.2361402263437418,1.7218216454002757,1.3513537587652786,1.3811539462351292,1.3471189257996659,1.3393983419866944,1.2088936876856868,1.3691448378746922,1.364209769068587,1.380386426980065,1.2410017056163785,1.3576699181668888,1.3906360702138927,1.8105169294979966,1.4337627934420312,1.4250706398993844,1.3478959178981422,1.4111719349547536,1.2488803804050346,1.3904845172721387,1.3535800443714232,1.37037682658991,1.308553029391848,1.4019205914189639,1.3119691678384973,1.415494632623092,1.4097219475137786
