Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
Breloom,Counter,Dynamic Punch,35,1.3319783320918799,1.211612367964909,1.4766940547343952,1.2908287164799859,1.4640866999845104,1.2770215485853569,1.5246491510970328,1.302931547916331,1.494756526002878,1.2803339940724632,1.4728943633572498,1.2878158824081527,1.6553077496136104,1.303005953313808,1.506539026172635,1.3152798096822844,1.3338204301833196,1.163836257208252,1.5301954607728918,1.3039296781464345,1.2948214026013296,1.2770367414257597,1.3391530295574616,1.2381017159029557,1.2271074482544453,1.2506712655433794,1.2714650848498352,1.2044923416248356,1.2779858653224183,1.2769836486423551,1.3362389863684234,1.218671223881176,1.3603149932133238,1.2485437549757112,1.2693067109963074,1.198672366542661,1.2320129171601215,1.2181358127011783,1.3083770226563878,1.2886421078299726,1.326199933279563,1.3079539488223282,1.308079724740794,1.2828444958250147
Sirfetch'd,Counter,Close Combat,35,1.4879665926873593,1.313638906747198,1.627131543173309,1.3303762817977802,1.5131419575152987,1.3255988487717683,1.5579699048540796,1.3609262766900938,1.5274358179880783,1.3303241029899522,1.5217372288841056,1.3357461512279245,1.364012985131417,1.3114346633295217,1.5705320434482881,1.3894905507719173,1.4763040217162804,1.2325953184672533,1.5347137859219633,1.3274639053791615,1.3854379259981087,1.358957389183736,1.413568012333746,1.2894040879709927,1.3412062601913293,1.3351850323136554,1.4143793997440226,1.2858429367445094,1.4040885540302033,1.38221265680661,1.4106867811959227,1.3273134161859,1.3614912869276,1.3071282739686605,1.49653758313534,1.291927349599095,1.3454503037375722,1.3010401099413997,1.3569753944808112,1.3064516992702704,1.4418238608611442,1.3618757169983688,1.3650485554462102,1.333368034055415
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,40,1.0411409535340796,0.9688026897446161,1.1556454399331013,1.019845691052821,1.1054199953352646,1.0102385602703412,1.1309559375198097,1.0393482107869783,1.1085230457777082,1.0137918142734768,1.1226674628136275,1.0154789857274753,1.0,1.0003489077213557,1.0530544990216297,0.9913556007437451,1.0001294336189774,0.8949793418561827,1.0396722968141656,0.999130183210004,0.9999999999999999,1.0101935313167454,1.0,0.9626199410422792,1.0,1.0076716801990855,1.0,0.9507965672961586,1.0,1.0116694365039633,1.0,0.9814648767903016,0.9999999999999999,0.9909807468816677,1.0,0.9515739953439145,1.0,0.9911087905103966,1.0,0.9988102142396988,1.0,1.0129391478645942,1.0,1.0124474948070012
Sawk,Low Kick,Focus Blast,50,1.5604172808004066,1.3171893079096129,1.467533884127104,1.3426325045383674,1.4358653173355458,1.3279705195838774,1.4682910717667026,1.365394172672455,1.4293205470902213,1.3353601532073114,1.4518547831159958,1.349665171985032,1.359824200192974,1.3005493343679104,1.4417558769204002,1.3625530588714048,1.3029251790877914,1.2242262265737311,1.410746559901135,1.3359297479416514,1.4392157036734512,1.330390091133892,1.3427902188142813,1.287962407347682,1.335088106674435,1.3517410307581943,1.4501224008023823,1.2536863665287377,1.3640246797315871,1.3405712732303434,1.3798233601387409,1.2794659851651533,1.3705207607231755,1.2826899386480952,1.58483319530193,1.2635224202437056,1.350872926781187,1.2943445820667039,1.3940606685702142,1.3491920907771318,1.4285604573024393,1.3765392362621354,1.3818302363712542,1.3687555451861526
Lucario,Bullet Punch or Counter,Aura Sphere,45,0.9577520917663787,0.9695651434977816,0.9735109098300402,0.982587555214498,0.9756850662588288,0.9736816335832469,1.0000916960552901,0.9985600306314882,0.9764147693199514,0.9758316177676738,0.9749735050767546,0.9783316804766088,1.0171095787614906,1.010158983726082,0.9853698362082647,0.9921881589428467,0.9835118854840067,0.9022282455518773,1.0064526410168433,0.9912995747372553,1.0452398957218627,1.041128141752257,1.1299990936441784,1.0300153672172871,1.0177318533693709,1.0312915494689119,1.0129747406606817,0.9641303664043417,1.003448352637931,1.020728131613568,1.1001921520481106,0.9942484602741667,1.067634287610004,1.0312277224037685,1.0367048597028559,0.9547240116176561,1.057235348378898,1.0329463334823517,1.0488462970621333,1.0445762080743142,1.3083491477660618,1.0902570425955096,0.9994182549748241,1.009870532265213
Primeape,Counter,Cross Chop or Close Combat,50,1.5331517939347128,1.3913433563866686,1.6557773054343927,1.422375858686561,1.5704780107573786,1.4137870530444523,1.6200986922595286,1.4428421171859203,1.5926868225441997,1.4133229991895981,1.5745949302277644,1.4194251668243132,1.4334576061349533,1.396020744070582,1.5959440531271087,1.4648087178214448,1.4740707354468947,1.3130234337471172,1.6198687703498205,1.4557098100349906,1.4602561756401162,1.4332436921799003,1.4484934426741225,1.368284713280219,1.4360723617015407,1.421539329242867,1.397798667117105,1.3159480030542334,1.4917411920292079,1.4707214764203442,1.4504114546407714,1.4038664062463755,1.4686374672297247,1.411445524669491,1.5099256011501645,1.3742510280999407,1.4545262997161696,1.4200290689785058,1.4673768859041385,1.4121111416835685,1.5302284400789947,1.4526720408993468,1.496129449974045,1.472383862912907
Mega Lopunny,Low Kick,Focus Blast,35,1.3364525955172095,1.1994937877503005,1.3167691177328373,1.205845035337457,1.3117737834743735,1.192997644486621,1.339180887101769,1.2234600557648536,1.3136980156932583,1.1984867755115467,1.3258399112920976,1.205150605037589,1.3248911185687515,1.2447231770699652,1.3103658714439195,1.2281357844481602,1.3651168685696566,1.127638885481833,1.299655514237004,1.2386326531309502,1.349675000881584,1.2260198198526269,1.4216516102536727,1.2276708874265776,1.27800281602277,1.264986770231589,1.2639017107143409,1.1365868416616858,1.3192436394777314,1.2965442775498506,1.5388977153054,1.2218792584179339,1.3707226099404182,1.250531292050394,1.6043861300766824,1.1930136621166176,1.3266777441136588,1.2612466705775234,1.298641910115877,1.231802724170713,1.379309401247419,1.2823438298375487,1.2670731992827888,1.2422598687158257
Hitmonlee,Low Kick or Rock Smash,Close Combat,50,,1.4416132919736848,,1.503530713290241,,1.4894430982389735,,1.5235279108457684,,1.4891120297345946,,1.5018769480296545,,1.4297752250190368,,1.4991217151342064,,1.3522653160441898,,1.4456806522289811,,1.4584959462116203,,1.4156725630297406,,1.5164444335457419,,1.385711987269578,,1.5149280991202798,,1.497754887203458,,1.3923178019580034,,1.3986663818570113,,1.4009866065583696,,1.4549566099941182,,1.5027504866791381,,1.5126106514397906
Hariyama,Counter,Dynamic Punch,35,1.3206352941268402,1.2905669155239141,1.3439156624464357,1.310993257155476,1.324114634984448,1.3057106510866876,1.3529996419075638,1.3399541374102022,1.3189556706131715,1.3099906601508513,1.319922819729047,1.3175222722425008,1.2644458034372965,1.2942422123127015,1.3075250070705666,1.3014814706576125,1.2076764745366653,1.1978779717850234,1.2907464964509376,1.3282345202262145,1.356402466499231,1.3610413846654164,1.2314834379994326,1.2506107693875663,1.314404576919585,1.3550220217800473,1.270197942950817,1.2377424177037613,1.3104333109289745,1.3636850655616746,1.2928543667986903,1.3019902878020986,1.3416985607967642,1.3359604747728042,1.329316443015895,1.250238996119622,1.3436420295616631,1.3404566919341414,1.340979623914838,1.3589332171213817,1.3311358943283407,1.3630180159256338,1.3026938605152067,1.3556764541809188
Sirfetch'd,Counter,Close Combat,45,1.380583440239,1.2196744910479569,1.32666567488826,1.212340514986289,1.3047002551361053,1.2107576456260984,1.3333880627572352,1.2383786626601332,1.2960071144667196,1.2107372257225046,1.3132388127719041,1.2179313816445207,1.2615750658150295,1.2012224239901788,1.3388701434316619,1.22463550825458,1.1832452449835287,1.1052518376623988,1.2798164068543785,1.2332318211524411,1.2904503592137975,1.242338919618206,1.246770066446573,1.1959471442511764,1.2414205218742775,1.24350637854208,1.2901493305409564,1.165063471053584,1.2815834129055914,1.273396212674891,1.2812265002811003,1.2274476505869367,1.2542301514814267,1.1823365156883365,1.3179117958614517,1.1851065573279944,1.2389600063703023,1.1832864781084975,1.290118826171415,1.260459652319763,1.2984365740603891,1.2725252840897097,1.2540687033931897,1.2426763177461295
