Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Pinsir,Bug Bite,X-Scissor,35,1.2691646101099627,1.1823244781817464,1.0814635016523073,1.2630898526201426,1.206894533820101,1.0447645123440754,1.3619469230017816,1.2240344689903375,1.1477062451088642,1.33466557163813,1.2642718808891813,1.203559148554415,1.2910927812373596,1.228756354508383,1.096779207646945,1.314457436504998,1.2644379110974187,1.0884908125610258,1.2985411642622207,1.2645508571491806,1.0890291928521492,1.2868805008901327,1.2852069969264122,1.0492861979555839,1.3048451291106633,1.2711622583490094,1.1138152798947392,1.297444235823602,1.295259231826065,1.1112396660573696
Escavalier,Bug Bite,Megahorn,35,1.3213386466141854,1.292129740569422,1.1195058691535011,1.6437540383531788,1.5121397325028596,1.294957836640495,1.5723924576050712,1.506897364342651,1.5046076310082752,1.5949743414487612,1.5311066954043357,1.3472317141528172,1.5521688094879893,1.5077395832392597,1.386621370385063,1.491157358928238,1.4852236636379417,1.2671412604162728,1.5802406146840753,1.562702476259973,1.3085157255825484,1.4717173914363146,1.5438247063541706,1.215499778489766,1.51629762014446,1.5264097632767637,1.2548908760314668,1.5642609563297627,1.61544616398131,1.3040058656350526
Toxicroak,Counter,Dynamic Punch,35,1.5322276915375022,1.3952162402167423,1.5394327909198409,1.3559932746130774,1.351018139481134,1.361862804806041,1.4697678929965965,1.3958114583380454,1.4717747556040754,1.4083091313889624,1.42387886459645,1.4545175783357365,1.4324112031863345,1.3892041806326896,1.4288719080452883,1.3825817861886702,1.3739548625019535,1.3873293182283104,1.4061430177263887,1.4058561755576278,1.4122962634864424,1.360193416566264,1.3992340384747621,1.3560941668046336,1.3929771131184054,1.405899031280084,1.4205437590124514,1.376253218226572,1.4454340234053524,1.376641297112471
Genesect,Fury Cutter,X-Scissor,45,1.2229214594140567,1.2272111203964258,1.0203483393430721,1.2755100556048546,1.2753382410747123,1.0626801442925733,1.2734070997069167,1.2932606505182782,1.0911461263770326,1.3170453699109457,1.3143598920055735,1.1085881648453484,1.2700599522998404,1.2858394933618391,1.0619239348174672,1.324896359650367,1.3542116004064049,1.0948574042863588,1.3256182120167639,1.3789877804582928,1.1345546240778825,1.2814203870589627,1.355649882517635,1.0829563128945643,1.315197977099818,1.3397427991674506,1.0913459666656269,1.3396068591070116,1.417556024518894,1.1085266100622562
Scizor,Fury Cutter,X-Scissor,50,1.2538857082631745,1.2582842353045063,1.0432098556630112,1.2994347149070273,1.3029689592984612,1.1344675658030143,1.3056626616730398,1.3286310633647145,1.1198508424994846,1.3546199312308471,1.3487454730993098,1.1409666900853588,1.3068251845622294,1.3229873342662493,1.0833964956983877,1.3604519574317986,1.3796282706995506,1.1553491389365018,1.3609660965658552,1.4124952913391224,1.1589052592072666,1.3699097009382903,1.443872965605696,1.1126409425291008,1.3896771320531691,1.4189353318577276,1.135629372920773,1.3764087994015495,1.4550374774572743,1.133115890119734
Scyther,Fury Cutter,Bug Buzz,40,1.4138905524912437,1.3632493643397163,1.2188914568895748,1.4903147005334423,1.4155477019134415,1.219508219261279,1.5130461791020322,1.463373728792688,1.3892767938805288,1.6258630349424636,1.4632039451696444,1.409312223074054,1.5175030421094913,1.4849199256868435,1.3113978387567795,1.4740545502659599,1.4792259651401323,1.2732089416600132,1.5140527880267305,1.5148894926664769,1.2746947458337476,1.4324857463452882,1.4648082362400687,1.208649877773133,1.4689003763012207,1.4923402473030052,1.242531892259986,1.5265789709941002,1.585508400197236,1.2406739137193752
Pheromosa,Bug Bite,Bug Buzz,35,1.4363210998623108,1.1384697936298311,1.1723904280474575,1.3238807751613655,1.0623969850899362,1.1343546922500733,1.2330094194666281,1.1141109045180733,1.0563437226257553,1.346362403277598,1.1565122317037095,1.1733822297786936,1.3255998075135642,1.1514526683153126,1.0894763827087912,1.1683382466314656,1.1378904370061493,0.9690741152049319,1.152107113255455,1.1401082696149636,1.0296791063941426,1.1725817174695445,1.1359112747455562,0.9702779323078896,1.1386222988640833,1.1290501169094693,0.9494565747036878,1.1319710074605296,1.1313128841066338,0.932331990748539
Zacian (Hero),Quick Attack,Play Rough,30,1.383116262897913,1.3828077793923228,1.382720143550091,1.3470299757572282,1.3672661846229635,1.3466022582724033,1.3616732864845642,1.417440899626163,1.4026161357621458,1.420238757500946,1.4598789897053024,1.4120430965625392,1.3630359081624717,1.4107660976290084,1.3822556229556666,1.3993351240500642,1.4682668664452596,1.3984040877719168,1.41074428809274,1.474807146621437,1.4182918814925152,1.405285039634099,1.4944391431943131,1.4093769136633019,1.4091466273752185,1.4438479671487896,1.409424573018663,1.4621300311499486,1.559144133721895,1.4663017543088557
Tapu Bulu,Bullet Seed or Rock Smash,Dazzling Gleam,40,1.3679277563764536,1.3667247997772476,1.368576323919876,1.3014573710173194,1.3815479313509484,1.3581633886064033,1.2635726663980331,1.288709354033486,1.296990219230307,1.3367624404189582,1.409059731624591,1.3808477118841485,1.255314871640344,1.2769217970990614,1.2669459247186843,1.3259587243093285,1.359154619059442,1.3882323614080854,1.2748504332582766,1.3348601164628002,1.2730232576725238,1.3923044342675452,1.4362936546760392,1.3976784012014323,1.2690017183962956,1.3110679980489695,1.2821869821203113,1.3718723470194405,1.4483045335430391,1.4309471185080291
Heracross,Counter,Megahorn,45,1.2408368693290397,1.1887059163673668,1.1493835937869972,1.2307174962125942,1.1910845920061275,1.13749780684736,1.1980209989902333,1.2094009350888009,1.12991519594052,1.226415745335062,1.244075288138351,1.1412473389582436,1.2620203983050677,1.260213011175535,1.182651682740121,1.228251516305747,1.2480798207254653,1.1497068907779946,1.2365623540430397,1.2589016359782113,1.1539390916368806,1.2623437595595761,1.2838779976784263,1.1571641576779934,1.2324959839197185,1.249646937997234,1.1691302716570287,1.2160335016465258,1.2806454645902365,1.1267061704667725
Mega Lopunny,Low Kick,Focus Blast,40,1.230773078981391,1.1650443279804108,1.2320551259267858,1.370031349429949,1.1353014382863718,1.3874015400992656,1.1745107011457097,1.1740279506903024,1.285402338080851,1.2570682601776593,1.22064743936788,1.2694655374685018,1.2109808019450703,1.1980460453457686,1.2996462246747549,1.1590938802369766,1.1807183937046357,1.1762573701409798,1.2188813420532636,1.2187048873402455,1.2427237645557367,1.19509344731851,1.2392311975746768,1.2004802181923973,1.2429014889301762,1.2664390263130338,1.2477662480463698,1.2017308468148502,1.2616871617186403,1.2017308468148502
Scyther,Fury Cutter,Bug Buzz,50,1.2893497838879657,1.2675052261049238,1.121772829025632,1.3510195102015339,1.3224224340957633,1.1158755360571166,1.3202708307201398,1.3076761869381355,1.1736999609135776,1.4185950513843895,1.3844882155630813,1.315424797827717,1.3369957592923933,1.315311886250326,1.2021070127956928,1.354998175465657,1.3560973032126709,1.1515491644181939,1.3362605156250698,1.3664695817049295,1.1495099534674418,1.3274396742263295,1.3789706639151593,1.1298276836224328,1.3401288095934198,1.3657507730486007,1.1466759212439581,1.3468127897714992,1.4140974025560513,1.1603159121957787
Sneasler,Rock Smash,Close Combat,30,1.7371819339668158,1.5608173606736986,1.7430306138835117,1.5121953521190918,1.4786553000907627,1.518138901213657,1.6427136527568025,1.514935217869547,1.7244374604207455,1.5481892621969828,1.5599749285244298,1.5867747146760696,1.6216745776565213,1.5334335414075282,1.6296483444044605,1.5427680838017692,1.5065691541258581,1.5498987940976285,1.5111926079364932,1.5357252305995104,1.5243686552187488,1.4737536529816928,1.5070006370685292,1.4718251268537925,1.5043291205298057,1.5228817428494665,1.6047648619152741,1.4832624748070253,1.5563462947269344,1.4832624748070253
Tapu Bulu,Bullet Seed or Rock Smash,Dazzling Gleam,50,1.2004827671170737,1.248951796993196,1.2217577141795062,1.1889087842511397,1.2145826936638133,1.2275052656751368,1.1716858512048312,1.197152749502881,1.1926909897853628,1.2541594000464742,1.2708527863013104,1.3042476226740283,1.1497352246873105,1.1721086156256018,1.1554532084168614,1.2436022537721863,1.273396521994835,1.2792084118729092,1.1800351203473014,1.2535992150771822,1.1786476310998002,1.2558713471711052,1.303004970767134,1.2669468795814098,1.2070301173979523,1.2343757368053354,1.2080211092385926,1.331769613498153,1.3967791949760515,1.331769613498153
Shadow Scyther,Fury Cutter,Bug Buzz,35,1.359848880023728,1.2410948809986269,1.124493367804915,1.3061064328541014,1.2392448532612181,1.0904922720892647,1.4573312827777187,1.2943454948225481,1.230058212808487,1.492428574597462,1.3141154644191562,1.2472026657386261,1.391618851599904,1.289099339550375,1.1397493667426817,1.3907695459982303,1.307882358206818,1.165782547618663,1.3341287467377492,1.3225323965858193,1.1335777354380387,1.2693791516594164,1.2735864890504662,1.0708114650290939,1.351030143031221,1.2981032469371265,1.1508971885866177,1.349577165078744,1.3429690856709113,1.1147575986607532
Shadow Gallade,Low Kick,Close Combat,45,1.2203014192288617,1.1440918398702224,1.2265837385619427,1.285457268107849,1.2170631703877157,1.285384830806709,1.2254630830498985,1.200369293578401,1.401264434487005,1.281202252181427,1.2587686248466974,1.286871584144309,1.3046650720601634,1.2768817814187885,1.3810800430348449,1.2611060237050604,1.2227612370088161,1.2646914878192261,1.236808449293313,1.230245909286025,1.2445830228165837,1.2623384556621,1.2867669643347908,1.2636336218453283,1.2687867677197828,1.2648822586585433,1.2900071241141104,1.1964447079363008,1.2468757339691767,1.1964447079363008
Mega Lopunny,Low Kick,Focus Blast,50,1.1080321609743575,1.04343800260424,1.1083169218268705,1.20305598949986,1.0803557947310354,1.2136910927636086,1.0938485119953612,1.0746149039419521,1.0811927003408839,1.13359798491201,1.128311223763131,1.129691823213789,1.1642022514363608,1.1375134814295302,1.1617814129147561,1.0995157969106912,1.1210418694588364,1.1148664236449375,1.1201555544831447,1.1525274539327366,1.1374958561478936,1.1125498025095846,1.1282220736900725,1.1130362486378462,1.1079302078640447,1.1117345113996706,1.1083005602320148,1.1020190965278802,1.1535206608928488,1.1020190965278802
Terrakion,Smack Down,Sacred Sword,35,1.2506781652250296,1.2895838948733078,1.2503331853300894,1.4296685998744842,1.3073816245862533,1.4324717230925477,1.4178292039876312,1.328758238303088,1.411341645688354,1.2650534146322312,1.3017447317791264,1.2637428385955944,1.3578458377194556,1.3170707406006654,1.3639278540045894,1.2829358789512872,1.339944355301338,1.3034741317527507,1.3256715614710972,1.371780263414516,1.323777665447858,1.3444901507349016,1.4042474646903904,1.338606843896539,1.3190184827958447,1.3623623753431169,1.3870738136572605,1.3664767019687762,1.4576994638692689,1.366884884040206
Breloom,Counter,Dynamic Punch,35,1.4634834041125913,1.2769354480350168,1.4679754865324763,1.332395373966266,1.2186132442800892,1.3304845897286226,1.2413968871853214,1.2575811838693973,1.3199811804468953,1.3686893893284104,1.2854347623829407,1.3765003643411957,1.253773864121875,1.2628707865783149,1.2883079835834386,1.289424563992544,1.2718870207408262,1.3087472430729097,1.239598162765439,1.252028989059923,1.2651501884155953,1.2903895677474801,1.3070172863341993,1.2933293772335546,1.2773728849832813,1.2733099514394652,1.281551530971155,1.2475734143987007,1.3074033039897581,1.2475734143987007
Shadow Yanmega,Bug Bite,Bug Buzz,40,1.1231939183128914,1.0949032525226128,0.9471883003613677,1.1308886148385335,1.1069336942475294,0.9365641670068866,1.2593345148212398,1.1326563535506302,1.0685106237887478,1.31950233644483,1.1574403691208193,1.1140942630690698,1.1875270610626798,1.1345572404482018,1.006919261793667,1.1855356205865055,1.155052376659452,1.0016971480281462,1.168868216973249,1.1436311394521308,0.9730593516425637,1.1465936557554652,1.1611758516945734,0.9474816152099867,1.156430891377573,1.1461155864541233,0.9823158255689919,1.1310446376875294,1.1837223882434573,0.9553931540037617
Scyther,Fury Cutter,Bug Buzz,45,1.3447786752131123,1.318145346069446,1.1689393828798822,1.4494730318142095,1.3683458905380648,1.1984057678227393,1.3842715015679397,1.359787637490223,1.2677585687124613,1.476769610118567,1.426772866068515,1.3711404071108677,1.376347105849404,1.3457309987377806,1.2629298188846254,1.4416935098112154,1.42735358009471,1.232233822452932,1.4056812769504077,1.4019312540891002,1.1933950186479108,1.3908190736357695,1.4247214412728129,1.1452827021899068,1.3939973958049945,1.385013086267315,1.197414165427927,1.3953603595898,1.4560907095687792,1.1857957134264683
Shadow Hitmonlee,Rock Smash or Low Kick,Close Combat,50,1.515104564825955,1.282247542012685,1.5197788176380462,1.4361898548976473,1.2433600722222036,1.43323995915675,1.5043994521799264,1.3083813766469665,1.484365308280525,1.3001793376702464,1.31495907668821,1.3426969148426717,1.3958933339089716,1.3095661485260168,1.3912925586033307,1.3283046301094075,1.279933264807823,1.333387459229237,1.323747311779206,1.319068236122956,1.3264331503865214,1.2736577601727976,1.306253317914185,1.2746108871238835,1.3389553016249798,1.3117541111772901,1.3905854807846003,1.260271198216036,1.3159410394795348,1.2643010752956698
Genesect,Fury Cutter,X-Scissor,35,1.303474420659876,1.3002138243337986,1.0764507670828918,1.3988307122347552,1.3426418779966058,1.221727837349052,1.380554556838764,1.381932558078182,1.2601548399292415,1.4617453113197099,1.4549699478331515,1.2062489492191577,1.3686790001601359,1.3754299758268578,1.2549289589513277,1.4238463593480681,1.4313465386788544,1.2218540081521483,1.4341277554407224,1.4613434503007472,1.2287975782229412,1.4227332048616106,1.5010641047902626,1.1879468598368228,1.4376362220818033,1.4610391848040178,1.1945285485693613,1.4226868319514787,1.5042862863435316,1.2381201723479809
Shadow Granbull,Charm,Play Rough,35,1.3019659625771365,1.2377034762721841,1.304424706524522,1.2052263143732478,1.2112600146941228,1.205919160815448,1.3991397480395626,1.3241364579140316,1.3607475277419914,1.2585060205198082,1.2893565759071388,1.3894026774087544,1.2634459844485115,1.245979029874532,1.2690984746242948,1.2512080051757113,1.2404109519719708,1.2611514239041615,1.2546596723617323,1.289326520484423,1.2614170137615082,1.2361166080920942,1.2541175388846644,1.2363806427383128,1.2883825854827191,1.291004010397434,1.297266356987762,1.2151675662946246,1.2951845628512362,1.2151675662946246
Shadow Venomoth,Bug Bite,Bug Buzz,40,1.6411336739900382,1.4089634064056327,1.3776689987562742,1.503363695141661,1.4105287564487123,1.253776123822024,1.5758550524574997,1.4566029491003234,1.3668272612618697,1.7050760801683356,1.5722341154654766,1.5233940730818127,1.633041233551995,1.5063700924714645,1.3643760296236447,1.5422120753146338,1.503740300939538,1.3070283250956332,1.5204554717828456,1.501851420098309,1.2929049874842988,1.4681140560886743,1.462866450368479,1.219839651162663,1.563905673440379,1.519228820693109,1.2870414637466987,1.6069616207712607,1.571051962239475,1.3386847347272293
Genesect (Douse),Fury Cutter,X-Scissor,45,1.2229214594140567,1.2272111203964258,1.0203483393430721,1.276467714684338,1.2753382410747123,1.0626801442925733,1.2723941419716722,1.2932606505182782,1.0911461263770326,1.3170453699109457,1.3057418697158398,1.1085881648453484,1.270982809337178,1.2858394933618391,1.0619239348174672,1.324896359650367,1.3542116004064049,1.0948574042863588,1.3256182120167639,1.3789877804582928,1.1345546240778825,1.2788633905168758,1.355649882517635,1.0829563128945643,1.315197977099818,1.3397427991674506,1.0913459666656269,1.3396068591070116,1.417556024518894,1.1085266100622562
Terrakion,Smack Down,Sacred Sword,30,1.289036983126562,1.3246648029177173,1.2886272889022137,1.485798756735509,1.3520725925088655,1.4867923708654855,1.492037650748327,1.4044802772301443,1.4901593657439833,1.3405885451424173,1.3754455846159261,1.3507359253268303,1.4428293039011761,1.4002278764500817,1.4455781241544852,1.34504202253502,1.411230419143275,1.361924806329948,1.3985874708969794,1.4546015931142202,1.3875144717839212,1.4146439324769928,1.4797414010199603,1.405657762741873,1.4091257701164934,1.4331229833449044,1.453591632043617,1.4621566272898123,1.55237023424956,1.4625161122037451
Lucario,Counter,Aura Sphere,40,1.0,1.005446418493593,0.9993208556035489,1.1457916142278248,1.0487639054312583,1.1505009877622083,1.1686956037108291,1.1035957813781923,1.1655917871266397,1.0574921576287992,1.0794214365980883,1.0788834843968085,1.1057618835006244,1.0815852171357274,1.1038649934091602,1.054563730994563,1.0659685489124138,1.0569692328608766,1.1010617521182635,1.1058096998644613,1.0943041993954779,1.0548866786047177,1.0847138297655678,1.0565319434580496,1.0702458871299467,1.0967243886767695,1.1087829674667873,1.091138478358671,1.1445680006482966,1.091138478358671
Blaziken,Counter,Focus Blast,30,1.7702449032347196,1.3675591873518114,1.7701681718015012,1.6264873370740645,1.349763983035121,1.626500095317788,1.6817993738901929,1.5048218880505904,1.6878403003516702,1.4621683336434175,1.4412979985253969,1.5439180586722974,1.6488023453740879,1.4989925226479572,1.728479512081835,1.4573415189227916,1.3875634946699167,1.4765039463735503,1.6588834545149125,1.5445858891250412,1.8295326057571766,1.36969829089984,1.3656342623323852,1.3597427924643135,1.614534885548664,1.5024201674819737,1.577991880057583,1.3638932553313086,1.4044864566337454,1.3638932553313086
Shadow Yanmega,Bug Bite,Bug Buzz,45,1.0871088254678571,1.058439353860802,0.9151977018312643,1.0936870523016293,1.0680313312942638,0.9044348498702666,1.1497764614080697,1.0944352232873398,1.040607413688748,1.264497986321203,1.1177023130041055,1.0749990951288106,1.1250811602432687,1.094787601541624,0.9718652321816232,1.106431863923777,1.0934653455961707,0.9554381543317537,1.1124652219959743,1.1108507718361604,0.9360951150265722,1.0731226590725353,1.096243819172483,0.9081174555554627,1.1203901226310082,1.095154350969264,0.9276615252617071,1.1000174310850939,1.1508674149963023,0.9369942066614965
Shadow Gallade,Low Kick,Close Combat,35,1.3480853371037962,1.2891334760193798,1.3592856339173587,1.6391153623594275,1.2729333121328579,1.6417408191256408,1.525780388027803,1.33667791732383,1.5300275400368157,1.4063309732477245,1.3582002864231275,1.491341936003438,1.4329726709056854,1.3487503103050802,1.442948469862796,1.3672591968456738,1.3145528655088639,1.3725931665790665,1.3553615413946427,1.3404875521525976,1.3845719717758527,1.3652163732226688,1.3836953799302965,1.369372474135368,1.3781405892895013,1.3741128410343166,1.4404232354940485,1.3365446819519968,1.38046552235006,1.3332707345941237
Genesect (Chill),Fury Cutter,X-Scissor,40,1.2587573531322982,1.2613007954076505,1.0461843559028192,1.3239068715689815,1.3060755389250855,1.1578442005452516,1.3195738232224175,1.3361426838285975,1.1761064660893463,1.3586558285879702,1.349783860709536,1.1535805548059395,1.314209656172793,1.3328955838181287,1.1100661756559138,1.3741293764380096,1.3810131539436374,1.1686580412046448,1.3683721227603796,1.4172029916575823,1.1757732539455543,1.370388709179076,1.445667589040681,1.1098580745406021,1.3988402396855715,1.4268147205574702,1.1401737766341147,1.380350771868676,1.4567873286499988,1.1376228370189798
Emboar,Low Kick,Focus Blast,45,1.3846190684910828,1.294127828870745,1.3869549264250596,1.2943842955931129,1.2596364807323106,1.2979760048013174,1.718666897592042,1.3831056533736945,1.767416043822146,1.4018403268926156,1.3686538290143238,1.4025145187210246,1.5874920087952262,1.3755746196619723,1.562665179404979,1.3122079341520827,1.3454481882186837,1.3296927024406504,1.4321631238428145,1.4394855621814497,1.421913573653446,1.3060583375269,1.3853415563910068,1.310074133776684,1.502744845476127,1.4110159214035616,1.5115052871034913,1.3556069969574265,1.4398412172990784,1.3556069969574265
Toxicroak,Counter,Dynamic Punch,50,1.364516056096909,1.2469310097180095,1.3681662736331923,1.2123980816662563,1.2067678476231287,1.221986798064627,1.1666004199788695,1.2034094525601655,1.293288937590968,1.2291428645004239,1.2509556669167698,1.252144095257436,1.193132633771134,1.2253754333532971,1.2708725275908115,1.2192956515667153,1.2352960105161919,1.2269724044523465,1.2151281301356296,1.2506341611406342,1.2398252389448483,1.2063205137371669,1.2604857379750751,1.2087445606304161,1.214785148471036,1.2467245639986544,1.2398345046044363,1.244679991624089,1.3127095460538385,1.245753077192112
Scyther,Fury Cutter,Bug Buzz,35,1.5312853725676048,1.4856258525467538,1.2624409960202914,1.5429655472590653,1.4646442706417842,1.2648782209820602,1.6271756338615757,1.5148301349011666,1.4480911117727793,1.6948426413799431,1.543429467888415,1.4535943321142446,1.6535614946656891,1.5612136748484413,1.3649645905283545,1.5582723625269237,1.5155576405689268,1.3637694939319531,1.575154838290254,1.5548315202331409,1.3109516267030523,1.5136811652778777,1.5038519659009943,1.2584986410730963,1.5407047540765964,1.5390652828570743,1.3168817019813306,1.5628991840229374,1.629668730718579,1.282475229067059
Heracross,Counter,Megahorn,30,1.5141864580948459,1.3473054715742976,1.4149308776188831,1.413725170981554,1.3361561562638127,1.3142140331402237,1.4529404745193848,1.386809974120017,1.5729059497965008,1.4424027477626549,1.4034381615259452,1.3488119669208176,1.4950985197061806,1.4324847732994235,1.4790832899585382,1.4001807415145864,1.3930335764148576,1.296274147396995,1.4224380389409137,1.4210294750260004,1.3294762017247954,1.4173361784047132,1.4337871487517204,1.3232537181719795,1.4336142473576572,1.438948506390543,1.3753181185374235,1.4232316157929128,1.4762510830435125,1.3146670469207102
Tapu Bulu,Bullet Seed or Rock Smash,Dazzling Gleam,35,1.432485062294886,1.4290335275415997,1.4345655345189974,1.3858040181930449,1.4448853360753364,1.4538050354784615,1.3548646348436397,1.3519830938686521,1.3533781608626678,1.4222030352221868,1.4244018259441336,1.4682073738977723,1.310267487568156,1.3240258329484116,1.3086537175925304,1.4002394960161544,1.4530247351136456,1.4417608349845163,1.316473189565039,1.3624038614784588,1.3411758888284206,1.483831617581202,1.5310585359050966,1.4834845023534284,1.3699821365135996,1.3873909346736146,1.3924084656529918,1.4836473072157577,1.5552958096345706,1.4836473072157577
Golisopod,Fury Cutter,X-Scissor,40,1.408199385650047,1.3902505948911466,1.2361880749739096,1.4864312387600929,1.488280235139704,1.2284132625001267,1.4989015907585994,1.5179765457386127,1.2706948136131468,1.5681861884110233,1.567185872809931,1.3207259813939447,1.539942293717883,1.5518221782465802,1.2703923394275378,1.5891242560706764,1.5994443635730329,1.3444464162156933,1.546716409285487,1.6428426548809392,1.2891727541781632,1.5129619277744661,1.6078001519608063,1.2695226676665066,1.5395640433918036,1.6109844360112602,1.2805713002669001,1.6480592746795633,1.7450849896506055,1.3371864855149058
Golisopod,Waterfall,X-Scissor,40,1.7124699171834616,1.7330377244483437,1.4402129502007657,1.7370588178232456,1.7678050253562188,1.4771459787702825,2.0338392406150656,2.0946814610862163,1.7254434048321825,1.8891326966300956,1.9020880196825942,1.5643103785645283,2.043641688291654,2.126124137744691,1.7572378637030683,1.8831992178232233,1.8982239597136792,1.5675355533942106,2.1249815764757995,2.266623129003707,1.7680045667286601,1.81923579829137,1.9182979967034206,1.5271147359198771,2.122703978549307,2.246261170120024,1.7960236875585058,1.947825490864226,2.058209335594713,1.6237180629369556
Golisopod,Metal Claw,X-Scissor,40,1.6959758636024893,1.6990759648310112,1.4890638124235134,1.704116610769392,1.7264468059262361,1.491255647368048,1.9047663799304295,1.9531340013454126,1.6688932216424113,1.8546448763284984,1.874560238550749,1.6222829441391355,1.9379417740280023,1.9968870737678417,1.6957561572200657,1.8747421794668984,1.9059982455148423,1.654599094427697,1.9846980624523276,2.124706280227836,1.7037988730566545,1.8064566581554997,1.9164757142718332,1.573374335223268,1.9983294242598575,2.1224990333113998,1.7351525336672429,1.8548877149682952,1.9577470996784616,1.6300359572319087
Shadow Venomoth,Bug Bite,Bug Buzz,45,1.609878433197543,1.3677080659156837,1.348651654247806,1.4447868550865959,1.3564837289162115,1.217401685606508,1.5360089701346606,1.4121208259633529,1.2853182950838926,1.6150705457143966,1.470368753582966,1.4737617892025296,1.489679515518044,1.4001584914631868,1.2550539253510054,1.477805403983484,1.4381965871585158,1.2368009496038521,1.4803125528787804,1.4401871545733298,1.2238858551443013,1.414344241551259,1.4173192929498586,1.1850560285290017,1.4562331585192771,1.4305738333658584,1.226229858840491,1.4795969523570738,1.4515372756137996,1.237861103470097
Gardevoir,Charm,Dazzling Gleam,40,1.231177343255129,1.2237456992120697,1.23193348613155,1.293581633358864,1.2816918464489486,1.2957248601443432,1.29514653329008,1.30261747647588,1.4424850113873584,1.3570412052561687,1.341868055477157,1.3592767460424873,1.2589506449536445,1.2770253973281713,1.3197816744484314,1.3284160266954943,1.3128365608113408,1.3587521296845833,1.2925546907791088,1.3312085509127847,1.3176034794986713,1.263753436060573,1.3091044528643356,1.2668806637363599,1.3078517482977454,1.3062867888793208,1.3235005263283897,1.3155734383726858,1.3825326542535532,1.3178799355349526
Lucario,Counter,Aura Sphere,50,0.9549874452420637,0.9532294319701963,0.9546813206494434,1.079338983794289,0.9781338991385972,1.0788563847734474,0.978318765315565,0.9826149404579914,1.0736915531072198,0.9763834568342601,0.9865883151769067,0.9752382693067454,0.9754015169687409,0.9884123400721941,1.017218857356288,0.9785547840991315,1.0070140650038277,0.9779097690753199,0.9885031445632276,1.0152547164606178,1.0112468795275955,0.9841460496126155,1.0297017637095855,0.984960073565058,0.9765751824979909,1.0171654937028005,0.9975736660241421,1.0074252301970825,1.0645850796154823,1.0074252301970825
