Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Tapu Bulu,Bullet Seed or Rock Smash,Dazzling Gleam,30,1.4418035968315408,1.4497511844333149,1.4444098397431904,1.4989769780252455,1.4678137938684264,1.5028808572950507,1.4533687442006689,1.4525487730345619,1.446686389769012,1.496896143860355,1.4986996012110383,1.5168073324664448,1.3570292508096649,1.374420210117918,1.362434560888822,1.4640084219194425,1.4848412875058628,1.454517365623457,1.3777934830411962,1.450668615314296,1.401573641788121,1.49799539940259,1.5385913855831888,1.49799539940259,1.4222134222100946,1.462208206740722,1.4417271129684583,1.4937900563246467,1.5609152021613484,1.4937900563246467
Togekiss,Charm,Dazzling Gleam,30,1.403774741347539,1.4008884362631553,1.40557337967208,1.371876000352588,1.3865249053263147,1.3721012180735954,1.4240397011504229,1.45109734195613,1.458706885528975,1.4226278236877132,1.4658503195105244,1.5192033147591004,1.412435791689706,1.437896542919129,1.4268229355152187,1.4181235767603182,1.4416585978482641,1.4180152951914673,1.4558205733402727,1.4962702346635222,1.448044547467558,1.441640739092436,1.4989422147755027,1.4373321435637567,1.4483219287798013,1.458755287696363,1.4547688721184457,1.4370384334719344,1.5101960532172092,1.4353592436279738
Bewear,Low Kick,Superpower,35,1.3799730620427626,1.3685326647212466,1.3783046179100917,1.5281054529259113,1.383422678834047,1.529519759059214,1.4106180987226515,1.4506798487686943,1.4734658972936259,1.44422348926278,1.4741401224428299,1.4623402001696362,1.4591733059495444,1.4856347166677994,1.5037043432575075,1.427329631547433,1.4617249404186192,1.4328237057612336,1.4626466526983712,1.5205885120692602,1.4731002125972001,1.4663158324906769,1.5202443978083122,1.465523075001167,1.4468329183243582,1.5002486726116162,1.4603852126317218,1.5358513274026928,1.6316175841764136,1.5358513274026928
Pinsir,Bug Bite or Fury Cutter,X-Scissor,45,1.343494652468304,1.3131875811209965,1.1222537260019836,1.380799461754952,1.3367218970248906,1.115807141932292,1.3236554056511147,1.3309827102217207,1.228315985683937,1.4287223659479997,1.4008606203592204,1.1862703902464085,1.3592524813496927,1.3612352097229596,1.1997705199307078,1.4080643516037783,1.3778712515351674,1.1817606459344736,1.3669629328043047,1.384671876290323,1.2018139899328406,1.3675705227527233,1.42453913041167,1.1399392539736095,1.380981355302036,1.3897725371655134,1.1636233112119585,1.3838504384932735,1.460289781973741,1.1514164809049898
Genesect (Burn),Fury Cutter,X-Scissor,50,1.2032745730965833,1.2091599737208032,0.9954959486238141,1.2346162378602799,1.2362711030902487,1.0318221779565835,1.2417475591487783,1.2680103323405307,1.0359527443226675,1.2707931422401881,1.2716600351500533,1.0787316427202693,1.2398565657716112,1.262426882160919,1.0252773435275488,1.2873357059224626,1.3129120334677558,1.066085677857648,1.29552495376443,1.3577905255011014,1.0606837294964693,1.260140451617394,1.3439674180554926,1.0662741897248893,1.2744731513747634,1.3099479632896303,1.067785552242274,1.3203638286277524,1.3956233695784483,1.0813871481426225
Golisopod,Metal Claw,X-Scissor,45,1.6469480700992236,1.6470771515202232,1.451651886102115,1.6468269817577863,1.6785051827489974,1.4398021816596016,1.8341687498313721,1.8903079173553525,1.614971922732674,1.7891160549961393,1.8241043424934142,1.5692758320472406,1.8947735050821055,1.9503166464901047,1.6443496870642829,1.7491639778953565,1.777900050012826,1.5323753493516985,1.9135386199042448,2.0568229873843626,1.6469193955095323,1.7548159752729933,1.8717954755863835,1.5420920026453353,1.9593413322015,2.058992888023812,1.6642333759182661,1.7925658707473269,1.8990112755413204,1.5803085339673888
Golisopod,Waterfall,X-Scissor,45,1.675098279923299,1.684190953261843,1.4151982690626554,1.6821041324077755,1.7238986262984286,1.4285394504265851,1.973279849472532,2.041861346277695,1.6818118899338275,1.7894731281949567,1.801274503058826,1.5190428695162885,2.0020268902437905,2.0787364267462216,1.7065851521325004,1.7710951058675528,1.7994719483557908,1.4800888315472915,2.0610332569622223,2.204641609516365,1.7174379060616127,1.7768832148630493,1.8795931841918463,1.480487122762724,2.066531116900027,2.1814063676524733,1.702456867251481,1.8155728940056668,1.9220239169069449,1.5286728844548847
Golisopod,Fury Cutter,X-Scissor,45,1.3687310050012376,1.3477543838721222,1.2063772453490629,1.4346647187161408,1.4396899418356255,1.1888786941083636,1.3839724377074123,1.405761382525347,1.188122969867526,1.5154181275657208,1.5152221598782043,1.2807981246262055,1.3985104737481193,1.401307955566251,1.231497921416119,1.5161010715190482,1.5457559900921922,1.287516602437281,1.4300959472098296,1.5177396711753148,1.211494652421822,1.472996990025837,1.5674952526333328,1.2378806137164384,1.4416929280473967,1.5328931243232975,1.2255138099518055,1.4740709991429266,1.559333143149998,1.2989810626088119
Terrakion,Smack Down,Sacred Sword,40,1.1569879340028952,1.20282532524067,1.1568240451090606,1.2402004985999808,1.2316722753189635,1.2349521138201438,1.3508148683412535,1.272748686462499,1.3489018368996408,1.2229638739378426,1.2579992517837484,1.2181272223812003,1.3141867253532125,1.2915696017899887,1.3134078304654448,1.217888238924475,1.288863138991636,1.2243827906378961,1.2669223338448212,1.3074192005807532,1.259461535654682,1.2971316619080866,1.3500894486775235,1.2953677520946805,1.2642249355704995,1.3068436396836716,1.3336387186281502,1.33569776580358,1.4322405698508645,1.335518236064129
Blaziken,Counter,Focus Blast,30,1.7703659324752832,1.3665930160719724,1.770289195796041,1.6264715595146262,1.3492379290260514,1.6264843176345898,1.687807650483478,1.5101979074898912,1.693870158328338,1.4688250931605826,1.4431991487290425,1.5422738880847553,1.6500909506742767,1.4949954166444694,1.7298303882901238,1.4554053849794284,1.3890691126338692,1.4732931686793485,1.6583328116027753,1.5440731856739829,1.828925318271644,1.3703334519448214,1.3687582157974887,1.370067344413374,1.6158291310586343,1.5037428555783894,1.5792568319169786,1.3666781317670882,1.405038318612852,1.3666781317670882
Blaziken,Counter,Focus Blast,45,1.3916149599135423,1.2097001572122688,1.3903337600438699,1.258405703153765,1.182550666606496,1.2682317224642867,1.5181945619136885,1.3138121151619588,1.4949344785558185,1.2554495193707589,1.2331233063287923,1.2533794456042429,1.3852980650707893,1.27235940855425,1.382571712521654,1.1896986572555104,1.2080736859169787,1.1995467554510708,1.3166207991887888,1.3329404670224676,1.4008651765017677,1.2032840597290242,1.231211126289173,1.202825146233512,1.431784353047344,1.305202975237714,1.4327944720864996,1.2204816216104868,1.272008904075812,1.2204816216104868
Shadow Pinsir,Bug Bite or Fury Cutter,X-Scissor,45,1.1382551040574298,1.1095705416612514,0.9454386186685565,1.1266809613844393,1.0944271161292582,0.9691868733496158,1.2498231607249062,1.1661764122800946,1.0486512706033886,1.2084517007657927,1.1778828015508915,1.0169126981119094,1.2242783006130122,1.1625627846227045,1.0404799021237745,1.2012813598892187,1.1643483067149245,0.9927271026910578,1.211209192188253,1.1993885189829903,0.99656147554364,1.1650436910566107,1.1933464644889,0.9799236766637546,1.1762507975221075,1.1732846657032368,1.022926041679587,1.1642111209809465,1.2167385389050809,0.9647943179711392
Shadow Granbull,Charm,Play Rough,45,1.1349446552279758,1.1183745622359396,1.1340866643758425,1.0988933543480306,1.1066192922174625,1.099230653734502,1.2785141747089923,1.199886447483721,1.264739597568944,1.1425750761586688,1.1601094302582826,1.161436477483458,1.1890181699276767,1.1669241551103038,1.1964701365454173,1.129011412258605,1.13279315709985,1.141286564475973,1.1516903109834205,1.1804255016775398,1.1627538923340175,1.1248034978095913,1.1576387791787999,1.1261506684853761,1.1459470145824404,1.171178481287991,1.2093098245950524,1.1238073163986935,1.1930291773280657,1.1238073163986935
Accelgor,Infestation,Bug Buzz,50,1.3818204397314395,1.356183534195894,1.1407588385164718,1.3892496601700774,1.3731450115329185,1.1419184796201158,1.556635490557428,1.4374288097279784,1.3094345952756055,1.432646341577754,1.4481854963574967,1.2612464522123419,1.509572801872287,1.4228208854050897,1.257509263154414,1.400738330031261,1.3870895487690464,1.161149890153873,1.3978568589003713,1.4043487362277536,1.1657644376928882,1.361757480040793,1.3562908028087333,1.1272420312267168,1.3928342052505016,1.3846662175231905,1.1904499431410982,1.3895789103743346,1.4544032540077394,1.147418760608079
Genesect (Burn),Fury Cutter,X-Scissor,40,1.2594460893670738,1.2615232764959647,1.0463712096798603,1.3224687046480466,1.3054307099124056,1.1560201034230142,1.3245194839929664,1.3418951304974138,1.1776807133162612,1.3598994120573213,1.3508586197456989,1.1551142350320764,1.3145833739007753,1.3311524521411342,1.1129698857927002,1.3711412205569156,1.3780100287295312,1.1686155728519279,1.367917910978043,1.4167325711586065,1.175911796167873,1.3734952828676337,1.4489448145931336,1.112162029937606,1.399961579778984,1.4279584855898457,1.1429107582971796,1.3801553469087615,1.4565810820849172,1.1373401258331186
Scyther,Fury Cutter,Bug Buzz,50,1.2894379349821334,1.2675918837163342,1.1265118105049132,1.3510064047870995,1.3224096060840838,1.1167612595153433,1.3249875362036625,1.3123478976948135,1.1791473942160948,1.4170843415082937,1.3830138272106418,1.31402395744596,1.3380406752136909,1.316339855353341,1.203046507740268,1.352051621934151,1.3531483595386515,1.1496766844943798,1.3358169628367802,1.3660160014442013,1.1462507417856242,1.330448885508849,1.3820966922844224,1.133914820339312,1.3412030853555126,1.3668455879216508,1.1465664877050756,1.3466221129951192,1.413897199872906,1.1604349538659757
Emboar,Low Kick,Focus Blast,35,1.6554932601693906,1.3882319584233196,1.6544729383026417,1.5056502655586854,1.4002588633084483,1.5003711453080273,1.8258675682048262,1.4776627654495356,1.8158064398822715,1.4839150012604525,1.457151942437265,1.4922516832554724,1.6495968667850929,1.471478081640676,1.6351125815405585,1.4451150781156499,1.4584447381256664,1.4425150166647545,1.4998930292316348,1.5218460427537386,1.551673506778336,1.4472221239330572,1.501215393977028,1.4504142514526999,1.6736969419016678,1.5643892349565929,1.6800999288772132,1.4254631349163496,1.4861505540390134,1.4254631349163496
Lucario,Counter,Aura Sphere,35,1.0601190041679946,1.0706820929350622,1.0600252198390134,1.189251579160022,1.0939406732660237,1.1918988363329326,1.1973085238290189,1.1338900769412144,1.189605839039308,1.0990075240235389,1.1155866412894675,1.1226032749052943,1.1509460817362007,1.1160924460055002,1.1485600915568897,1.1130844530826127,1.1129179646459353,1.110073142652879,1.125207767191662,1.135314853188862,1.1239385983948624,1.097593166915103,1.1359343304339968,1.0977729945563308,1.1222846055014732,1.1448836215202853,1.1610409278211107,1.1052171616947457,1.1731113639952984,1.1052171616947457
Sneasler,Rock Smash,Close Combat or X-Scissor,35,1.6477661347325165,1.4531978364173408,1.653959639355412,1.4299172746631328,1.3900906944170888,1.3570839092060485,1.479244054622514,1.4428408540369209,1.6344035970809496,1.4384383488164092,1.4521006243894992,1.3956641752975865,1.5281032990974739,1.4969563947453985,1.5802193029992966,1.4184257928288078,1.4127128130596942,1.422079014077311,1.4440531358567168,1.4675986886958592,1.4621454840859376,1.411090888461511,1.4558704629652242,1.4155389438560662,1.4372514597415076,1.4521080449220116,1.4690001152606633,1.4567715983452802,1.5214457512439425,1.4567715983452802
Escavalier,Bug Bite,Megahorn,40,1.3172287198149775,1.2685226497834106,1.1143112126353798,1.4652063926405259,1.3882641217626535,1.251444145372556,1.4427692971826542,1.407081313220774,1.374987477550503,1.468658309340277,1.414138751725447,1.3030064533321573,1.36617884087949,1.3440541846311547,1.216524402005287,1.4466111095298566,1.448402108776924,1.2335733766294608,1.4417904256361112,1.4485869103884557,1.28422498045911,1.4426166674391365,1.5037770864865467,1.1847243312862052,1.419073643093088,1.441064893568425,1.2265767492318227,1.398393595857083,1.4523491491376517,1.1770730035587589
Machamp,Counter or Karate Chop,Dynamic Punch,50,1.065146502961751,1.0855191120622583,1.0654378708865313,1.055935973638561,1.071353370821821,1.0579690485900906,1.0459790326686367,1.0826323303252083,1.0625984405298023,1.0723321884717916,1.1016936282902337,1.07794258225988,1.080514291067876,1.1038463078729006,1.089382670690957,1.0769374136067769,1.1132647529438886,1.0935682692751358,1.0891802044543626,1.1267386590820487,1.089325968930465,1.1057123226205896,1.1567934231424968,1.107367256052799,1.08652324529254,1.108483487321781,1.085300362934954,1.1320423755105455,1.1955834185933134,1.1320423755105455
Scyther,Fury Cutter,Bug Buzz,30,1.639516719159778,1.5638398874053923,1.3388296054025473,1.6108958456609108,1.5425964102657104,1.31640738511682,1.7986879288279105,1.5903252786904862,1.5141148827699307,1.860096766308665,1.6745671312799955,1.5711879695912028,1.7482150264254788,1.6365869707785825,1.4189445606867501,1.6234458943076424,1.5894795130387804,1.4389986279620313,1.6564149812849165,1.6344050255135845,1.3934078735862863,1.6439020031553313,1.631364590284523,1.3644469207776595,1.6806362993643118,1.6084879646388759,1.433894318980406,1.6401814523806106,1.6921897696763284,1.3484212806413134
Shadow Hariyama,Counter,Dynamic Punch,30,1.2844010889130633,1.162311652402428,1.2879534986406391,1.1990364245379346,1.145500717196132,1.1974341206534351,1.2881885440995506,1.2303045623946443,1.2975134579673866,1.1709692622569272,1.1906939910417413,1.1896223752841961,1.2253685330139374,1.214899303954545,1.2282983534823397,1.160735768398718,1.1616699952568252,1.1664925248592384,1.1780525558715813,1.2157171170513708,1.1873732242756425,1.1598462569187957,1.2026093945946719,1.1615618458406156,1.1664147974119898,1.1993757167867023,1.2147036303478604,1.1938282469694994,1.2795436598722945,1.1938282469694994
Shadow Machamp,Counter or Karate Chop,Dynamic Punch,35,1.1386067396525663,1.0354386364728903,1.1374056147747487,1.0859499780475985,1.0335172154485859,1.084041953759512,1.124895638433773,1.0583834720089529,1.1267764106378062,1.0342070578211642,1.0510137960459691,1.0468192423894485,1.0984614988950347,1.0760379968440061,1.096393900371261,1.0505066339918563,1.0464399318382993,1.0597084017127758,1.0489084180425308,1.0593640712651933,1.0563052258197092,1.0513295990649294,1.0779487621628687,1.0500615650104748,1.038180019004396,1.0640461454081331,1.0719893597164287,1.0590169061332877,1.1142833760829682,1.0590169061332877
Genesect (Burn),Fury Cutter,X-Scissor,45,1.2230747283503751,1.227510010486753,1.0209737724356862,1.2741918732673734,1.2753258697980083,1.061248623493751,1.277701828453586,1.2930796310481671,1.096160212277514,1.3119001906459236,1.3068902186109352,1.1099805260411872,1.2706055724050769,1.29198079950621,1.0618790104360891,1.3220152649610213,1.3512667573462196,1.0932127742551156,1.3251781917907135,1.3785300449584503,1.1366804685204424,1.2828864471091606,1.3587230443349476,1.0849298539301184,1.3162522677762347,1.3408167654953744,1.0915872724396025,1.339417202519659,1.4173553321768357,1.1074455027987538
Hariyama,Counter,Dynamic Punch,50,1.1281361889111048,1.1513912306533658,1.1284500793183077,1.1235715650396303,1.1501529498249503,1.1227017459434452,1.1290175947747074,1.178631598333781,1.1241946627971222,1.1395595507374738,1.1933589667167899,1.139085636426854,1.133278247339541,1.1658301751962392,1.1373504714702192,1.1329862960614325,1.1974106031787226,1.1422572976915784,1.1824879825927639,1.2453398578460273,1.1731148082496161,1.1811700358808057,1.2497996146953985,1.1795921833035892,1.156309492729049,1.227454273130259,1.15471683843329,1.2209878755002457,1.301486988151412,1.2203976496336058
Pheromosa,Bug Bite,Bug Buzz,35,1.436419299185808,1.138883285469349,1.1904451261526081,1.3225378199177658,1.0610253036748867,1.1349252901365183,1.2389086289354805,1.1185370963636214,1.0584605070682922,1.3532139294994359,1.1628460186536413,1.1766220848981148,1.3341581781207692,1.1498706924265332,1.0980641155409736,1.164858644378401,1.1364924753590926,0.966934300401181,1.1522749052722954,1.1450056174056995,1.0339850164105064,1.166059800290814,1.1374292463369564,0.9698024329641591,1.1426331646373027,1.1345409585270354,0.949942203281692,1.1334653796623269,1.1318192742279318,0.9332297936968583
Granbull,Charm,Play Rough,50,1.2332655284949463,1.254066732424007,1.2362580364312283,1.277226829672561,1.2656022317642182,1.2785730222067204,1.271591928856064,1.3362286487837094,1.4165169642532456,1.28425535646113,1.3111780285888333,1.2992122864873281,1.2448677991259476,1.2941755930347691,1.3390676407751474,1.2481509043765022,1.2944349991487745,1.2703009379040118,1.294093062647997,1.3447488107424,1.310745972272101,1.277790846083653,1.334413711222225,1.2792338279299487,1.286844613802661,1.336433351051005,1.3120671863783073,1.3357179909898045,1.4041907334938448,1.3357179909898045
Mega Beedrill,Bug Bite,X-Scissor,50,1.11121628526816,1.0229480060036216,0.9551040129188249,1.0615096904774657,1.0411182608130864,0.8781034390408592,1.1018569238294882,1.0624334726541376,0.9611845592039123,1.1130221848891746,1.0916753745075882,0.9154565816025165,1.085193538846464,1.0506973129963388,0.9542084756255499,1.1019746757254292,1.080909181552215,0.9176936326371432,1.0995318828583664,1.0993092031349925,0.9188761347639632,1.053516020773955,1.1084006835609959,0.8723737273560452,1.0819020187557233,1.0864464048505076,0.9146681748368124,1.0583669785132366,1.1124829100297573,0.9067238132216539
Mega Beedrill,Infestation,X-Scissor,50,1.1773341926891845,1.0851118379235876,0.9854638296054026,1.095605713360261,1.0691019844043055,0.907422758545937,1.1473217794430062,1.0980697245295723,1.0072697071682373,1.1455913146698322,1.13171550826742,0.9529007377443935,1.144756439201192,1.1020516164824445,0.9888182290795997,1.1272699131572979,1.1073626781983148,0.9452080455769056,1.1197254480961316,1.1254615394956433,0.9446605838645061,1.0681251892758603,1.1127772855013403,0.8980696229500272,1.1015314844635584,1.1122666085018806,0.9352695511277848,1.098411636223808,1.1471636485986256,0.9193778632839835
Mega Beedrill,Poison Jab,X-Scissor,50,1.297527200571163,1.1920035395015856,1.1522347999950149,1.2220142730676298,1.2138589348382713,1.0739494373563658,1.2731504606032593,1.2351874379009677,1.204662222321281,1.2424022178682652,1.2513567527044929,1.0957538133476445,1.2871485650147605,1.267996494973005,1.1806407145258386,1.2609574318192949,1.237751675093772,1.1176774920539008,1.2662227027691408,1.2701240438407306,1.1308128818155454,1.2294524285702182,1.2887856658847279,1.0867401742259895,1.2400603106713528,1.2604027588743905,1.117329304554672,1.221959982846046,1.2957643840712927,1.0869786630527671
Mega Beedrill,Bug Bite,Fell Stinger,50,1.2333441346292515,1.101243365660069,1.0508422785274392,1.149286083020988,1.1156207257662147,0.9509458722526284,1.2109501929102409,1.142515411117589,1.0516003045272029,1.205952531713686,1.180857839308345,1.008695603945606,1.1816773795330673,1.129239236462568,1.0352385273742974,1.190585461206117,1.1489949525762087,0.9999274734471495,1.1920738885698756,1.1791574851690887,0.9888118562789151,1.134277652715198,1.1690322930574237,0.9402658674843882,1.1669148955801925,1.1756453916457499,0.9914549193160234,1.1472223765467742,1.1901402217154828,0.9839538116673107
