Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Kubfu, Tier 5","Kubfu, Tier 5","Marshadow, Tier 5","Marshadow, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Virizion, Tier 5","Virizion, Tier 5","Zamazenta (Hero), Tier 5","Zamazenta (Hero), Tier 5","Buzzwole, Ultra Beast Tier","Buzzwole, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Heracross, Mega Tier","Mega Heracross, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
Ho-Oh,Extrasensory or Incinerate or Hidden Power Flying,Brave Bird,50,1.2411580477084128,2.401704,1.6799627993919888,2.481875,1.2454843949322072,2.3986824,1.6633260075927463,2.0714688,1.6238840679182382,1.2442645,1.6740910204409898,2.0097768,1.6732946038960794,1.9834522,1.2405231458247548,2.0967498,1.6609073548847157,1.9010086,1.3352292968674382,1.524692,1.623012887130134,2.4662828000000006,1.2963137422831246,1.9763907,1.2779977833121068,0.933964,1.4911362596438977,0.93817556,1.546060869555417,1.093793,1.280554233550706,1.4642181,1.3068251435202798,0.8631718,1.618267858618975,1.3401537,1.2769358466254932,1.1526375,1.4616119130637018,1.4478801,1.286155597662505,3.7590234
Hoopa,Astonish or Confusion,Shadow Ball or Psychic,30,1.9040033645752474,4.2686286,1.461064917211445,2.6980188000000003,1.9078031891940535,4.27144,1.4553329255278062,2.2034483,1.4018533651378446,1.2638655,1.36949253270017,2.0630436000000003,1.3310180759623138,2.1109574000000006,2.0941989275030055,3.719256,1.4249062482276207,1.9579937,1.6283723289101775,2.4982061,1.5665891272574546,2.7948837000000006,1.824918554204234,3.2906098,1.8377084461248967,1.6067505,1.4352923885514142,1.0657408,1.468502407473377,1.2430133,1.7426336756638339,2.4012144,2.0497485113703844,1.5625579,1.2897011899413666,1.4213724,1.6865627548638435,1.8179233,1.4591782243049114,1.6794226,1.613942157499219,6.0740247
Azelf,Extrasensory or Confusion,Fire Blast or Future Sight,40,1.9060563632861147,3.6931498,1.6599653773716472,2.6197462000000002,1.9023994031126934,3.6793778,1.6007858341132328,2.1646867,1.5654591485544969,1.2389263,1.5644887708114894,2.136949,1.7892275544719252,2.072493,2.148473772051868,3.2821295,1.6239001380130627,1.9824687,1.802226810118912,2.4430246,1.6020762183752832,2.6003923,2.1278257473573836,3.2722821,2.550717785321687,1.6724504,1.6748020501412852,1.0988488,1.7211082148653214,1.2040337000000003,1.9980623300542733,2.4267638,2.4648769762555145,1.6149286,1.7871233654389371,1.4127499000000001,1.8986533537898103,1.8329979,1.6211332958051885,1.6285129,1.9247430089630875,6.162609
Delphox,Fire Spin or Zen Headbutt,Flamethrower or Psychic,50,1.7501327229477153,3.278656,1.7601206748161882,2.6704671,1.7514955234759304,3.2730274,1.8959895738893562,2.3198183,1.7466657548113274,1.3062181,1.7640739061090929,2.1921003,1.7285103198456837,2.1110377,1.4938732189934425,2.8252785,1.8153400217596098,2.0736709,2.1160982615643076,2.3877454,1.7584817085348885,2.6545424000000004,2.1233495874887085,3.1011295,2.181700632309171,1.536104,1.6382803821111693,1.0128306,1.6607167813646089,1.1965808,1.9979084375364424,2.3269382,2.3563307042735295,1.494964,1.7021804382026546,1.4297876,2.0617000238703134,1.8485047,1.6539358689051453,1.5421938,1.954304051604795,5.786713
Shadow Dragonite,Dragon Tail or Dragon Breath,Hurricane,50,1.4384482250836648,2.6200042,1.815323734277389,2.6265066,1.4370339254998283,2.6150444,1.609796654915892,2.1021938,1.68897505221354,1.2702628,1.6947642199815407,2.1331868,1.765668780206476,2.0920966,1.347923745451383,2.1949885,1.6676455016661158,1.9228241,1.6078465105193216,1.8473294,1.7533679517688912,2.5877373000000006,1.6153786140656168,2.412542,1.6717009613816,1.1852686,1.656249333100097,1.0161636,1.6183463547243306,1.1390152,1.3822345653220058,1.5752399,1.6139150386210472,1.117976,1.660468726803483,1.3640518,1.3776374905807,1.221019,1.6253088661250104,1.5255324,1.5218818586552068,3.9259305
Yveltal,Gust,Hurricane or Psychic,45,1.3082944080171137,2.6049492000000005,1.6410874605522323,2.6025598,1.311645331828805,2.6024842,1.6703417240410596,2.1747909000000005,1.6983188975353132,1.3156108,1.69071534612491,2.1136155,1.6732990598675364,2.1546366,1.348645134708238,2.2873855,1.679277776972443,2.0319066,1.2685786998883444,1.5821036,1.6385008997818726,2.6030183,1.3585306710815128,2.084485,1.3940402126759674,1.0277656,1.5936084157743882,1.0469464,1.5780725153456678,1.1903851,1.3063147361942424,1.5557545,1.3514201541481714,0.9368096,1.6567212366499982,1.4601146,1.2837283074892594,1.2270727,1.5993373679833816,1.6271712,1.283877626486062,3.9133081
Mega Gallade,Charm,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4239348670713874,1.6985338,,,,,,,,,,
Deoxys,Zen Headbutt,Thunderbolt or Psycho Boost or Hyper Beam,30,,4.556189,,,,,,3.017373,,1.5911276,,,,2.8137370000000006,,4.0320926,,2.609968,,3.1647205,,3.605396500000001,,4.4109707,,2.2266798,,,,1.6880426,,2.8148582,,,,1.8086094,,1.9212288,,2.3412244,,7.078515
Victini,Quick Attack or Confusion,V-Create or Psychic,35,2.149858978039066,4.8048058000000005,1.71822286151395,3.0297568,2.1471688166693847,4.8008432,1.746436467242045,2.5185163,1.7660618507251962,1.4850796,1.7682150766623392,2.4373715,1.680759394028752,2.40897,2.3119875548479625,4.167947,1.7690904694254328,2.3266654,1.7036844335892518,2.4977207,1.7037095573265217,2.9384034,1.9373343569921906,3.293042,1.9725169791207677,1.5952857000000005,1.6532737914764475,1.2017366,1.5973289137178153,1.3287292,1.7990693569456384,2.3826492,2.121216617540127,1.5231235,1.5577347592734092,1.6453313,1.898639768045515,1.8954543,1.599477829554172,1.8471962,1.6128746144300772,5.984283
Shadow Articuno,Ice Shard or Frost Breath,Ice Beam or Hurricane,50,1.9012870751390976,,2.3857113239251184,,1.5559898834904569,,2.728584734744044,,2.41689381960806,,2.363939466341114,,2.4503827632705955,,1.5215573519566852,,2.7877687737737396,,1.932125650053087,,2.3495814306170044,,2.21648743714022,,2.320236063957677,,2.274860726094569,,3.227716740790165,,1.9270014021257604,,2.2085188820558574,,2.529059131028343,,1.844654517069816,,1.7394453819524645,,1.8807977905544746,
