Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Kubfu, Tier 5","Kubfu, Tier 5","Marshadow, Tier 5","Marshadow, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Virizion, Tier 5","Virizion, Tier 5","Zamazenta (Hero), Tier 5","Zamazenta (Hero), Tier 5","Buzzwole, Ultra Beast Tier","Buzzwole, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Pheromosa, Ultra Beast Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Heracross, Mega Tier","Mega Heracross, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
Moltres,Fire Spin or Wing Attack,Sky Attack,45,1.1672154431389097,2.2976649000000005,1.5210126632638503,2.338233,1.170039495912241,2.2909536,1.5572403152099914,1.9889337000000005,1.5146138510241662,1.1617322,1.5287109591236765,1.9097878,1.5295723994440158,1.9109758,1.1827591902066992,2.0022612,1.525001846517468,1.8079463,1.183718423462626,1.4403033,1.4935650995183258,2.3068614,1.2037537417974973,1.8463439,1.2005625019849546,0.8835116,1.38466100713634,0.891925,1.3828236114686328,1.032311,1.2122338072294572,1.4114605,1.1558411231128207,0.82458115,1.485416092511866,1.2828321,1.1749962393981013,1.0877014,1.3963294977120952,1.3901877,1.1572094756817186,3.435157
Unfezant,Air Slash,Sky Attack,40,1.4440549581809514,2.8548694,1.8214443603398105,2.8568711000000007,1.4502065221459022,2.8537002,1.734368433677394,2.3629549,1.8414144749268124,1.439074,1.7432158897603103,2.3116312,1.941867022726575,2.3287425,1.4236677468103287,2.5033875,1.8406565690696894,2.2171392,1.3107988723749369,1.721125,1.7674835090349132,2.866604,1.4451481155838415,2.2279902,1.6125221499518707,1.101149,1.6930958035231167,1.1357815,2.076546250574356,1.3598441000000001,1.4318946981823064,1.7390645,1.426251693305298,1.0292581,2.1258529756245435,1.5806587000000005,1.4353339832414247,1.3373861,1.6277479816013085,1.7555715,1.7819969959724873,4.6185155
Yanmega,Bug Bite or Wing Attack,Aerial Ace,50,1.6394305183810256,3.0342917,2.065838294888595,3.0357623,1.6369852452399825,3.0259082,1.9930978329120557,2.457646,1.9618056873733207,1.4913074,2.030183549656496,2.4663563,2.081149488361332,2.471305,1.6192888407664017,2.5985415,2.0039231275467526,2.2555509,1.566098406095978,1.8294998,1.9946945780624281,2.9754455000000006,1.6092800521700312,2.3671741,1.5842559147268311,1.1286483,2.006244787678395,1.2060887,2.347767503927832,1.4575561,1.6217432669627467,1.8103461,1.6037144915374264,1.0694878,1.9909477882253777,1.6429965,1.6076941669780436,1.4298644,2.013337566296258,1.8852464,1.7674072891569634,4.7536273
Shadow Exeggutor,Extrasensory or Confusion,Psychic,45,1.783491319682474,3.475387300000001,1.4330030731525,2.2040434,1.7832346233046386,3.4726837,1.4139539694959031,1.8569287000000005,1.3772931360266658,1.063336,1.3700977288359855,1.8018024,1.5127257635470248,1.805585,1.7791879347666038,3.000961,1.3779894600092635,1.6428273,1.6678128359584308,2.0735815,1.4020135324482044,2.185765,1.8765100472563425,2.858184,2.551184105164535,1.4541034,1.7332871806709356,1.0159562,1.5685272854063483,1.0906409,1.691692346585373,2.0536435,1.8882690854170479,1.3699144,1.5446803077180848,1.226912,1.694950757847939,1.5889792,1.3453558526472558,1.403288,2.008261688746264,5.445419
Shadow Staraptor,Gust or Wing Attack,Brave Bird,45,1.1976411619709457,2.1898093000000003,1.5023030075534203,2.1923134,1.1921400798690809,2.1904342,1.4683623064994722,1.8533142000000005,1.4538669628358019,1.0897056,1.4799436306370493,1.7955589,1.6136526113457341,1.8194691,1.1720063640743656,1.8997324,1.4995727124064573,1.7120535,1.109712207949339,1.3173242,1.4663148235348105,2.2064393,1.1426453516355648,1.7163736,1.3257727780681685,0.8417941,1.3503501650299667,0.85827327,1.7247714005078032,1.0484746,1.2396523677768734,1.3569517,1.3226604728907345,0.81830984,1.7647059027446768,1.2224758,1.1464213870244215,1.0282611,1.4061053414093718,1.3666561,1.7375068788067083,3.6221478
Exeggutor,Extrasensory or Confusion,Psychic,50,2.036329525756861,,1.6051661644133393,,2.0361647066199993,,1.6113472158574318,,1.6273399813800602,,1.6244259613316505,,1.6737372737633327,,2.1447673351009353,,1.6279438282895773,,2.0294036982413473,,1.6208868322438905,,2.2292003837184162,,2.5989063592896797,,1.770340930152916,,1.8550220172711884,,2.001737384028887,,2.2879742041819706,,1.6308155854993784,,2.0234498680662574,,1.663960055563238,,1.9763340076433096,
Mega Latias,Zen Headbutt or Dragon Breath or Charm,Mist Ball or Psychic,50,1.6812993871521211,3.2109177,1.4053538158699899,2.129761,1.6863640928953063,3.2079916,1.3644594741657892,1.7252806,1.377470558059579,1.0569695,1.401938303446356,1.7244639,1.3636730072860954,1.6751782,1.8038809333287982,2.9883616,1.3771193065678868,1.5828024,1.6842130158565258,1.9967269,1.4001974198658815,2.0752096000000004,1.7764641509460366,2.6501637,1.8097135179452997,1.2862767,1.3575679086842423,0.8384712,1.27028088222366,0.9251262,1.4329276136551612,1.6415809,1.814357952792734,1.2362024,1.3586326722040634,1.1513927,1.441399881826927,1.2991017,1.346765257798588,1.2873065,1.3579536632622402,4.020969
Mega Gallade,Charm,Psychic,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3814387061757936,1.8868763,,,,,,,,,,
Metagross,Zen Headbutt or Bullet Punch,Meteor Mash or Psychic,30,1.6870787543849868,3.7577176,1.472444099083209,2.6920915000000005,1.694826895281784,3.7539535,1.5709527523737723,2.3002934,1.605370466199589,1.408973,1.5202325891790887,2.1886840000000003,1.4909281223159785,2.2500680000000006,1.8896393714526922,3.4357917,1.6133184611021834,2.183711,1.727823129807132,2.6228356,1.5178493077892468,2.7692385000000006,1.9908759154915219,3.5386496,2.0463913235608286,1.7413448,1.4579712394975453,1.0877439,1.5619944283808713,1.3326726,1.687232440119626,2.3010902,2.1584555632185354,1.6482549,1.430220954606243,1.5426527,1.7097749546209178,1.7815566,1.4061968061391124,1.6828334,1.6383678882341761,5.71044
Mewtwo,Psycho Cut or Confusion,Ice Beam or Flamethrower or Psystrike,50,1.4853977123506048,2.7546167,1.181637014377141,1.798913,1.4869647772824888,2.8542962,1.1983897172089064,1.5075641,1.1824146961842827,0.89102745,1.1826565815293157,1.4624443,1.1883004024537276,1.4607991,1.5780635441059,2.3804214,1.1904201286814589,1.3660903,1.476595373427353,1.70142,1.1909945804320081,1.8142929000000005,1.5502094567977422,2.2883744,1.5289038317333645,1.1288841,1.1739545488076626,0.7257089,1.1331336967375893,0.8132219,1.4583687828577638,1.7211076,1.6679607755758759,1.0638669,1.146036448341323,0.98259103,1.4733210538708845,1.329005,1.18604506676276,1.1401213,1.3890383194141451,4.190792
Mega Slowbro,Confusion,Ice Beam or Psychic,40,2.0124736591699355,4.186521,1.631930938468807,2.6923816000000005,1.7686445971451528,3.713868,1.61017743101499,2.2124643,1.6478332243700164,1.3403531,1.6961654256909808,2.2150033,1.6166108087606617,2.135172,1.97529403023252,3.5272825,1.6379207033109622,2.0293086,1.8930944524324582,2.58505,1.5810549176708908,2.649791,2.1238435975029586,3.3977518,2.1648407405805266,1.6752053,1.5739920639692178,1.0899719,1.5195873763541425,1.1908394000000002,2.046707230792861,2.560719,2.1152222651301855,1.5837036,1.578352830942637,1.4574887000000003,2.0117471695855946,1.9568429,1.606582873734978,1.7296829,1.8504169237904613,6.2804527
Shadow Gallade,Confusion or Charm,Synchronoise or Psychic,30,1.882627124301777,4.054872,1.4703669420323273,2.5674700000000006,1.8779904171072035,4.036388,1.578395995705294,2.1649673,1.3752186987408894,1.2128832,1.4101796928783175,2.0433378000000006,1.4047594133343821,2.0221324000000003,2.014301221692243,3.5337424,1.4030461102183571,1.9019651,1.5272476024489696,2.361514,1.4597954860593827,2.5279474000000004,1.759913085648792,3.1403773,1.8458400910721762,1.5443958,1.4187884791006626,1.0447308,1.4544752397528793,1.2186475,1.711147219378173,2.239906,2.0040997149297293,1.5319873,1.3570206837917447,1.364612,1.5560678177552805,1.6223865,1.4031766924548066,1.6123672,1.6805570347216752,5.7025175
Metagross,Zen Headbutt or Bullet Punch,Meteor Mash or Psychic,40,1.7149814813166115,3.5061514,1.514227892607252,2.4701293000000004,1.7166825926743758,3.5073025,1.5633457536627378,2.104333,1.6205000417073159,1.2815253,1.5270673308691025,2.051947,1.5741721095433132,2.074653,1.8192114410991729,3.106748,1.6179909896876494,1.9862313,1.7925188530642324,2.4133837,1.5153352358603598,2.522958,2.0154970956933127,3.1584017,2.1017373240872748,1.5713822,1.4388043347562074,0.98485583,1.602187565885068,1.1917688000000002,1.755060126692287,2.1254642,2.149999628030788,1.484443,1.545300318300194,1.4025453000000003,1.738990767101717,1.6677147,1.4290501839467524,1.5494065,1.586047022619179,5.0691423
Mega Slowbro,Water Gun or Confusion,Ice Beam or Psychic,30,2.0119730136649716,4.5204816,1.5995095479112582,2.9217270000000006,1.7828159943931576,4.0923696,1.611840252417702,2.4320552,1.6295092140991194,1.4484336,1.6513232504882192,2.4008677000000005,1.4915602237039656,2.3472342000000004,2.03814012413434,3.8646173,1.6152927875980716,2.2182846,1.8384503887734285,2.7933729,1.576291498133032,2.9231615000000004,2.053799284354689,3.721298,2.0934566748705765,1.8449188,1.6049072464998142,1.2093785,1.4388785956302168,1.3028119,1.9837356843463942,2.7524717,2.163819361035933,1.7530682,1.4426956818687684,1.5854458,2.0099556960676632,2.1605163,1.639961158084003,1.9075638,1.7457477196260272,6.695094
Mega Pidgeot,Gust or Wing Attack,Brave Bird,30,1.146145166375203,2.4478385,1.421774487796207,2.4478070000000005,1.1429829310421291,2.4408276,1.3792361247063516,2.0352976,1.4495731827889755,1.2417003,1.3324087837363192,1.9845427000000004,1.4498026527146723,2.0291457000000004,1.1216350090463476,2.143284,1.4348066925040173,1.9120427,1.0,1.4563876,1.3679614329432956,2.4276273000000006,1.09196656826665,1.9158577,1.2876490092389095,0.9411597,1.309848269218893,0.96859306,1.550722131517791,1.1476355,1.1378553984548414,1.5025046,1.1140493554387867,0.8842907,1.5868366800550395,1.3787084,1.129180154472915,1.1695191,1.274004447156495,1.5205925,1.3593302146755797,3.8796885
Alakazam,Psycho Cut or Confusion,Shadow Ball or Fire Punch or Psychic,40,1.8953074359726685,3.6003022,1.5985843875171108,2.4660910000000005,1.8933574832610376,3.598637,1.5720531051087434,2.1016433,1.4895188290803258,1.1874673,1.577576607254567,2.0186944,1.6371699501729078,1.9809872,2.0132627675879755,3.158077,1.5270236784761195,1.8765994,1.7536275221651274,2.3426607,1.5241567080307077,2.4680898,2.0363765361440977,3.1251523,2.3519594317147736,1.5686377,1.5302232008657488,1.0367371,1.6534004782571259,1.1516113000000001,1.563346842016291,1.7884501,2.2079759667310737,1.5255628,1.598328524382346,1.3387355000000003,1.4661620448285693,1.7422571,1.5228453282830052,1.5351604,1.8154941270570781,4.4269643
Shadow Lugia,Extrasensory,Aeroblast+,35,1.2573286043591725,2.6934814000000005,1.3687264222867643,2.318424,1.2573623831522744,2.6885133,1.3481450540268607,1.9042618,1.3180062382389082,1.1104397,1.3948034556406612,1.8591324,1.386344163456017,1.8886025,1.2842387301967533,2.3057597,1.3243699510392017,1.7369701,1.0803060060693563,1.563617,1.3641579020713965,2.3274376,1.2134675404746957,2.0706027,1.2437531939220925,1.0060405000000001,1.359946839690336,0.94929695,1.3183944706043953,1.0515952,1.188001646854814,1.5505213,1.2566550580264388,0.947221,1.2847745887579671,1.2698774,1.2165965889772257,1.2081255,1.2504396540146159,1.4130886,1.1488177524480339,3.9663174
Shadow Honchkrow,Peck,Sky Attack,40,1.1818579517143566,2.203521,1.4793059077321338,2.1989960000000006,1.177120391017614,2.2007494,1.652946466955069,1.9337007,1.4790669886531604,1.1329968,1.4055776213417628,1.814863,1.596768666397275,1.875343,1.1342931176322515,1.9393817,1.5215082453251851,1.790654,1.0234383711031336,1.3648561,1.5139106151639297,2.2717364,1.1501708869920932,1.7619019,1.8140881911583742,0.904605,1.376544970841099,0.9206352,1.5873165329686219,1.0627589000000002,1.1940702434529675,1.3620157,1.3023056004360831,0.8502642,1.643239441665633,1.2279587000000003,1.1102737751307226,1.032776,1.3677444380029535,1.3749042,1.336938717417919,3.4057124
Togekiss,Air Slash or Charm,Aerial Ace or Dazzling Gleam,45,1.591012870469922,3.152079800000001,1.743443854143867,2.755317,1.5898508796993012,3.1516995,1.7354570114066472,2.2507432000000005,1.7035442181275002,1.3376992,1.8000927890072684,2.2349448,1.786747835646069,2.241723,1.6623402709990822,2.7600667,1.7236866946508977,2.0443666,1.5494596893380994,1.9008099,1.7650687390590856,2.7419238,1.5877529744171086,2.4614751,1.575922866795044,1.1773839,2.013812355377692,1.2699821,1.934401368959445,1.439693,1.520924400722954,1.8108581,1.5611443587227718,1.0989476,1.7186527656206216,1.5106361,1.4870842719249144,1.4043901,2.0320829725251803,1.9895302,1.5688284671452235,4.6498036
Yveltal,Gust,Hurricane or Psychic,35,1.2903521294443918,2.8243837000000003,1.602199276876403,2.8169222,1.2872418706234208,2.818741,1.6699753982966676,2.3473437,1.7044139810595047,1.4289403,1.661319507467113,2.3298247,1.647853240204069,2.3563156,1.3624222283929466,2.4508665,1.7089460575696704,2.215518,1.155556333998078,1.698143,1.6305704461467447,2.8190835,1.3406936425974298,2.2827234,1.40868497162137,1.1171427000000003,1.5656095243870394,1.1366788,1.6282722629461512,1.2960467,1.2910900925860405,1.6935064,1.3533543736944198,1.027322,1.4958605554614024,1.5919139,1.3184477464958282,1.3254647,1.4990137229712102,1.7272213,1.195436696666749,4.2857113
Shadow Exeggutor,Extrasensory or Confusion,Psychic,35,1.80454274957582,3.7863727000000007,1.4278632778422793,2.377212,1.798060634964576,3.7826185,1.4133530283244222,2.0256984,1.385482815265039,1.1598455,1.4470073760883482,1.964246,1.526130689639638,1.9905827,1.8150479673379731,3.2790072,1.3890227593548157,1.7938435,1.55603031132765,2.2729208,1.41222312944613,2.4143293,1.9822523595614827,3.141038,2.532785274817726,1.6085936000000005,2.015660923274167,1.1579272,1.5686976738146952,1.2230157,1.7434060075247564,2.2372222,2.0008594477669317,1.549201,1.4187202623723483,1.3399659,1.7607133209106367,1.7435462,1.2944037370415449,1.52294,1.9974404921232818,5.9505186
Tapu Lele,Astonish or Confusion,Future Sight or Moonblast or Psyshock,30,2.100594758141877,4.595659,1.6089756804665016,2.8519258000000005,2.104186791902515,4.590607,1.6069536148431842,2.3715346,1.508223072657446,1.3532237,1.610273192182868,2.3508174000000004,1.541848114710568,2.3235242000000005,2.2579014268776185,4.030398,1.5443594290575668,2.1032572,1.7999707136643643,2.7333992,1.5673076312721514,2.8656898000000006,2.0104131781263606,3.5395346,1.9660301954598534,1.7081336,1.6540906658607293,1.2250582,1.6138560987704957,1.3479304,1.632524835427271,2.2079914,2.165611287779655,1.6597455,1.6195760459968465,1.557632,1.5402879077579346,1.6329787,1.6834209167410854,1.8811431,1.5535171957769645,5.661641
Shadow Staraptor,Gust or Wing Attack,Brave Bird,35,1.1968480231361471,2.3889472000000005,1.5179516598079847,2.38236,1.1933390800738395,2.3840253,1.6720229729148042,2.0669992,1.4737586159682303,1.1904255,1.474610184389367,1.946718,1.5903196973195266,1.9882332,1.205362748667872,2.066872,1.5254966692165677,1.8784082,1.0179480281795878,1.433222,1.4974628356948627,2.3925922,1.118525165465062,1.8696218,1.5181175113683028,0.9430790000000002,1.3639724842699192,0.9539362,1.6936290687479278,1.1977534,1.3171818341334456,1.5149387,1.3361037679992591,0.8982942,1.5433978532709458,1.3255265,1.1827823389371432,1.1250262,1.3499667051298005,1.4726114,1.567239801073399,4.0921383
Shadow Moltres,Fire Spin or Wing Attack,Sky Attack,50,1.0,1.8729783,1.3069125880864243,1.9242122,1.0,1.8696861,1.4752622738912973,1.6492891,1.268052577140289,0.9463484,1.2642941945761688,1.568295,1.2810151004714434,1.5520141,1.0,1.599611,1.2904668899177238,1.4642189,1.0,1.1684045,1.25723436161822,1.8926312000000005,1.0,1.4920751,1.0,0.71359235,1.1929994456433939,0.73151886,1.1818070392152003,0.8484974,1.0,1.1256609,1.0,0.67030233,1.2622751257494214,1.0334643,1.0,0.88718164,1.1896458939504129,1.1248724,1.0,2.8494873
Ho-Oh,Extrasensory or Incinerate or Hidden Power Flying,Brave Bird,40,1.220678506714264,2.5684009,1.6226802724792577,2.6201692000000003,1.2226714018211096,2.5750685,1.6722143786106407,2.2370522,1.6384490138701644,1.3115034,1.6556165080731218,2.1725006,1.66698634941733,2.1582503,1.2087168923884002,2.2251825,1.6771321149271197,2.0669932,1.2404002279142157,1.6446414,1.5722663960784877,2.579666,1.3083536477311963,2.1180766,1.2757476878388891,1.0045118,1.45104351289605,1.0196193,1.5698615504990259,1.1745114000000003,1.2931520896683106,1.5802612,1.2666106638838859,0.9268953,1.6129294365673181,1.4404478000000003,1.2952020508210882,1.2475525,1.394210559792338,1.5578978,1.261921200937699,4.0666876
Lugia,Extrasensory,Aeroblast++,50,1.3443997611996645,2.5561223,1.5089979422936257,2.2778883,1.3422361718601592,2.5648258,1.4461666813138516,1.8510194,1.4546417525494146,1.1195917,1.4735468306920265,1.858973,1.5134171983925235,1.836843,1.3579899427971172,2.2458632,1.4604324821302708,1.7105337,1.3067834494243828,1.5177423,1.5082178388753293,2.2625043000000002,1.3473745305851705,2.0656774,1.2957904074686837,0.97199476,1.4799538501066114,0.92663604,1.424281606928312,1.0046172,1.2773572559676547,1.5005472,1.3297683901238408,0.9079371,1.4752418359325794,1.2557912,1.3136057784183248,1.2026775,1.4484580145523123,1.3844872,1.290411630737079,3.8490212
Alakazam,Psycho Cut or Confusion,Shadow Ball or Fire Punch or Psychic,30,1.910821721915691,3.9638019,1.5778232226202313,2.6805453000000004,1.9090520158196866,3.9623258,1.6913899628985178,2.285641,1.4829164166766973,1.2943264,1.5291307585315481,2.2124925000000006,1.5127978731076623,2.1945076000000006,2.035405779171781,3.4317176,1.531549598260705,2.0561297,1.717304275791618,2.5851946,1.5430489994126446,2.7766502000000006,2.006335310557152,3.4957519,2.338686886718739,1.7461848,1.6063779438183137,1.1822754,1.629413075051115,1.3177375,1.6209069416492332,2.06109,2.1892943433001077,1.6594855,1.4967836133446741,1.483987,1.4806773251815648,1.532573,1.5186864751343863,1.7398293,1.5856934931133722,5.2221794
Shadow Honchkrow,Peck,Sky Attack,30,1.198875638870284,2.4108248,1.4752703072314715,2.4162300000000005,1.193947512272863,2.4052973,1.7655326324012175,2.1270027,1.4730618499556805,1.2655609,1.433683282521039,1.9880921000000005,1.6156330520642785,2.1120832000000003,1.2070632134699029,2.1028168,1.6443843841572925,2.034386,1.1901423372128805,1.571022,1.6154133986840618,2.5138940000000005,1.1659162925087345,1.941221,1.7332618881088186,1.0025429,1.4600146490119505,1.0173844,1.455949911117515,1.1741449,1.2060463217996942,1.5082746,1.288129368562618,0.92668897,1.5269233384649856,1.3812959,1.1139584507765297,1.1437966,1.3465025639524129,1.5137665,1.2995236886471433,3.7864728
Shadow Dragonite,Dragon Tail,Hurricane,40,1.4224314835130056,2.8246777,1.7946587116483022,2.8256226000000004,1.4243609824109866,2.8168738,1.6356993189895155,2.2539852,1.6864933920011942,1.3384292,1.707068359447759,2.326121,1.76036136503966,2.253087,1.3362730111469223,2.3412652,1.6974795721144535,2.1071546,1.497878407295923,1.9851779,1.8109175346623483,2.8313723,1.6384317476803896,2.5847354,1.6551067267088087,1.2736645,1.5638259784765225,1.0903274,1.6260951316932306,1.2560940000000003,1.3383027250568962,1.6498723,1.682342621517269,1.1917295,1.7032891020076337,1.4834327000000003,1.384186000893489,1.3117857,1.5283957203717957,1.6489056,1.4869751631189345,4.3749485
Zapdos,Thunder Shock or Charge Beam,Drill Peck,50,1.398871969200411,2.646669,1.7575157745427117,2.648516,1.4460078913543464,2.7528446,1.5939381436622222,2.0050385,1.7514776647750236,1.3291594,1.7457320368774984,2.1633637,1.7440618134179917,2.1510057,1.534817470363087,2.4722261,1.6092318757078432,1.8280085,1.4621507030852607,1.7407144,1.742033979777327,2.6206250000000004,1.4703264055506227,2.2108297,1.4175263975601031,1.0506531,1.6694731663004283,1.0294209,1.6347953470129322,1.1680242,1.3282838003682007,1.5301231,1.4198328781765155,0.97286624,1.6594755794246947,1.4086019,1.3371008221509115,1.2097182,1.7779473546479336,1.6999769,1.2849055059383847,3.7813244
Mewtwo,Psycho Cut or Confusion,Ice Beam or Flamethrower or Psystrike,40,1.4700391799515895,2.945848,1.1771884403315283,1.9736966000000005,1.4687506551476923,3.0591383,1.195816586324004,1.6140857,1.1959574716883392,0.95308375,1.20764545823061,1.5994889,1.172326007558882,1.5689905,1.5008390821805575,2.6235785,1.1838955225599046,1.4697165,1.3712357827441166,1.8391354,1.1746566900185447,1.9685937,1.5704806430596483,2.4698124,1.5841574577081703,1.2131177,1.1402510070342091,0.7836734,1.153353915550696,0.8689440000000003,1.4825453149568346,1.8400618,1.6499278717882992,1.135636,1.14840891240544,1.0689673000000002,1.4790442363229646,1.4113959,1.1330411032191172,1.2338939,1.3389627538461863,4.4744773
Tapu Lele,Astonish or Confusion,Future Sight or Moonblast or Psyshock,40,2.0490379940944887,4.2061386,1.6196045987434184,2.6343594000000006,2.043746574863371,4.207655,1.5944073604119284,2.1648061,1.525307960501947,1.2520416,1.591155578192337,2.1823368,1.6304246699773086,2.1269743,2.2097640385998134,3.705497,1.572058386984222,1.9269487,1.8265571908307052,2.4748173,1.5787250782053688,2.5946426,2.0526959363264363,3.2479172,2.0604173506520964,1.5591595,1.5955812240726268,1.0727881,1.6695350334719208,1.1817436000000001,1.623861594252505,1.9845651,2.0479819993953807,1.5145614,1.5788811817066952,1.4129663000000001,1.5510613818253147,1.4851727,1.593782582027904,1.6792457,1.5559895841943787,4.9410276
Mega Slowbro,Confusion,Ice Beam or Psychic,50,2.0867911890456248,4.01948,1.6380146845774948,2.4959357,1.8434187679167815,3.5464954,1.6039166223693369,2.0333014,1.6395882178239667,1.2553214,1.6606103568824278,2.043737,1.6281433632302538,2.0198536,2.0036696774680665,3.247003,1.6431567752215048,1.8931934,2.0253012762672076,2.386804,1.6301762629015166,2.4826202000000004,2.1358818001739466,3.2138228,2.1237126091452727,1.5420675,1.612070186688283,1.0111188,1.5100138572996809,1.103161,2.0514930884368345,2.3641777,2.1234440807799757,1.4605322,1.6050107407537226,1.372496,1.9992996038637094,1.8351796,1.6845066357453453,1.6154097,1.9220615616707228,5.7861238
Mega Pidgeot,Gust or Wing Attack,Brave Bird,50,1.0972863723850392,2.0596745,1.3793911204756661,2.053843,1.0971605505947097,2.0565584,1.3880331719672694,1.7017015,1.3694519644338043,1.0354546,1.3127480868735777,1.6523535,1.451975957179625,1.7097598,1.1211322939154804,1.777282,1.4095615765689185,1.5865728,1.0850602167116628,1.2435696,1.3855207829092349,2.0606935000000006,1.0997892487473524,1.6271377,1.1184579525953662,0.78872305,1.2994799399029717,0.80332434,1.521291862119023,0.9449312,1.1069588812629618,1.2382355,1.1029471149017382,0.7287438,1.3882586580691192,1.1437497,1.1008072001924414,0.96979743,1.3627288894439928,1.2622349,1.155343190562304,3.198966
Staraptor,Gust or Wing Attack,Brave Bird,50,1.3790897400564606,2.4773028,1.7254894524120892,2.4755123,1.3680700821161362,2.474536,1.6345130748076981,2.03784,1.6815713442058833,1.247441,1.5928551987826374,2.047867,1.720310988110138,2.022807,1.348941006522189,2.1599517,1.696935701323296,1.9091659,1.299322636996972,1.47843,1.6809228498600255,2.4657880000000003,1.3221486831895088,1.9485795,1.3707068125694464,0.9534741,1.6180901398292702,0.98191994,2.0056044859556073,1.17118,1.3636502764687155,1.5381829,1.3383061062549277,0.8951229,1.8051834110652791,1.3820472,1.3083279665566043,1.1717513,1.5889046739131536,1.5203952,1.5971737616650628,3.9748285
Shadow Gallade,Confusion or Charm,Synchronoise or Psychic,35,1.810566951011348,3.889837000000001,1.4267500105093407,2.419033,1.8061825426083349,3.8768644,1.4113290635099398,1.9986925,1.3826189289844195,1.1488703,1.4389642021842577,1.9556472,1.4912425754219123,1.9451218,2.0392383304807074,3.42972,1.409728860522794,1.8110802,1.539096243769213,2.252187,1.4991113359322894,2.4000344,1.7782838733968311,3.000682,1.8151930208667495,1.4667234000000002,1.3946236619685775,0.98883164,1.5067570471934721,1.1450934,1.7085809733654704,2.1557767,2.0012516850988606,1.4189954,1.3704991982654462,1.3043954,1.6151248163081835,1.5381665,1.4058676319717947,1.5220292,1.5573610563197422,5.3928347
Deoxys,Zen Headbutt,Thunderbolt or Psycho Boost or Hyper Beam,35,,4.175167600000001,,3.2877123,,,,2.8188937,,1.4984007,,,,2.6096315,,3.8706667,,2.519906,,3.0159473,,3.3991675,,4.093851,,,,,,1.5770898,,2.641932,,,,1.6696384,,1.856351,,2.1959183,,6.593451
Ho-Oh,Extrasensory or Incinerate or Hidden Power Flying,Brave Bird,30,1.2608582497013612,2.8772333,1.6013333340671034,2.8930678000000003,1.2623896612190246,2.8731701,1.6701455551505984,2.4915228,1.6161223750470604,1.4369426,1.6199995785155314,2.3454483000000006,1.540826826118028,2.3382120000000004,1.2323240942593843,2.4279456,1.6396583419982984,2.2576506,1.20352363606722,1.7849349,1.5646065485373277,2.8257012000000006,1.272742243899029,2.2840946,1.2618218532251317,1.0916601,1.4514027136207863,1.1108092,1.4914507513243975,1.303269,1.2967647626993886,1.7782087,1.276287161387178,1.0134741,1.4997102530116406,1.5733936,1.260190195018665,1.3393575,1.3821598354492208,1.7167237,1.184681448596754,4.4800487
Unfezant,Air Slash,Sky Attack,50,1.4375799326941872,2.6587968,1.8123032453972323,2.660455,1.4381206886154352,2.6583364,1.7325341582155365,2.1721418,1.785134720459005,1.3324355,1.7276229648712091,2.1753924,1.83761591373116,2.1729357,1.4432563730360957,2.3177195,1.8272090550743847,2.0691755,1.400069445277813,1.6013474,1.78228745713599,2.6662598000000006,1.4086265273693246,2.0664992,1.4567729757319585,1.0120535,1.7353316048968224,1.0486374,2.0403410000247955,1.224612,1.4170704810664396,1.6033506,1.415646102055317,0.95749336,1.885463023563145,1.4725188,1.4109272195752285,1.245359,1.7062987864220445,1.6200644,1.7011597487614911,4.1824203
Tornadus,Air Slash,Hurricane or Grass Knot,40,1.4474018419772283,2.8163679,1.8220576430152786,2.8224778000000006,1.4442394124704068,2.8155143,1.672480792451854,2.279006,1.734023358417458,1.355925,1.765980241366299,2.3457124,1.8057169044620478,2.3145628,1.4094309153928517,2.4193487,1.692064841276635,2.074141,1.268560610453537,1.6835892,1.707742943197261,2.79119,1.3919359976714243,2.1694193,1.4444870303214221,1.0630912,1.675249503998076,1.1382365,1.8803991238804512,1.3250438000000002,1.4426970971850204,1.722146,1.3610453552204527,0.98904365,1.8672104501674176,1.5726500000000005,1.4101765044752583,1.3109055,1.6335798814771891,1.7487578,1.515267968331767,4.6323605
