Attacker,Fast Move,Charged Move,Level,"Marshadow, Tier 5","Marshadow, Tier 5","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
(Boss weights),,,,50.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Honchkrow,Peck,Sky Attack,40,1.5833335264060293,2.1684904,1.318368096968637,1.5840905,1.489576421145764,1.2287999,1.6638260557217999,3.9498594
Tornadus (Therian),Gust,Hurricane,50,1.6565981453913021,,1.5055163390504178,,1.5614247153376122,,1.4219167858444728,
Banette,Shadow Claw,Shadow Ball,30,1.6083775934102729,2.3697295,1.8035405555196728,1.9951991,1.5797823635284198,1.4037023,1.7863004670131641,4.9082227
Gardevoir,Charm or Confusion,Dazzling Gleam,45,1.601019950004583,2.186935,1.3696793784095673,1.5958655,1.4919887654484454,1.2065996,1.3174732684618138,3.9232905
Mega Pidgeot,Gust or Wing Attack,Brave Bird,30,1.2945550038241416,1.9845427,1.1378553984548414,1.5025046,1.301457570890826,1.1695191,1.40514611975727,3.8796885
Shadow Gardevoir,Charm or Confusion,Dazzling Gleam,35,1.4532627919289183,2.0285053,1.1695028516069748,1.4969451,1.253083026611682,1.0989956,1.1046292968587927,3.7856574
Shadow Moltres,Wing Attack,Sky Attack,45,1.2163936183600321,1.6208028,1.02017608890229,1.1775203,1.1467340958146046,0.9285294,1.0,2.9504821
Granbull,Charm,Play Rough,50,1.72980746821656,,1.6024086250845633,,1.6256088030753928,,1.4532060566898277,
Mega Pidgeot,Gust,Brave Bird,50,1.2395502676959125,1.6523535,1.1741314419885078,1.2382355,1.2329210784683544,0.96979743,1.155343190562304,3.198966
Gengar,Lick or Shadow Claw,Shadow Ball,30,1.3635246232268383,2.0061839,1.520597724561241,1.6889566,1.5931451232072857,1.2061499,1.5041539032560518,4.4921227
Tornadus (Therian),Gust,Hurricane,30,1.7276783904397415,,1.4464197569371544,,1.6330902820494901,,1.5900260462462832,
Shadow Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,30,1.3487338699098408,2.0480883,1.1149056260384416,1.4895936,1.2630815988289599,1.1425835,1.0337047647341708,3.8177273
Tapu Lele,Astonish or Confusion,Moonblast,40,1.6500716324615339,2.2949429,1.623861594252505,1.9845651,1.752846968673844,1.4851727,1.6057171624992208,4.9410276
Shadow Granbull,Charm,Play Rough,35,1.553189488881507,2.1980107,1.3795839624053974,1.7414235,1.4097483502719965,1.2584568,1.4764475190521855,4.48412
Haunter,Lick or Shadow Claw,Shadow Ball,35,1.6207934439343994,2.3020349,1.9168666004689494,2.1162539,1.9371855357326493,1.4204487,2.1562079357371142,5.759073
Shadow Granbull,Charm,Play Rough,50,1.5013050274830242,1.9670542,1.3825766434843636,1.4857734,1.405748801416418,1.1136338,1.3493429672045385,3.8481576
Shadow Dragonite,Dragon Breath or Dragon Tail,Hurricane,50,1.6002654763433546,2.1331868,1.4661114254725,1.5752399,1.5429752824366174,1.221019,1.5218818586552068,3.9259305
Granbull,Charm,Play Rough,40,1.7783037908441237,,1.5268595093959076,,1.6593526587135705,,1.4871134613815773,
Shadow Banette,Shadow Claw,Shadow Ball,35,1.372138449025009,1.8993821,1.609020454532865,1.6390369,1.3576522479393252,1.1670948,1.7020988230041592,4.2210293
Shadow Dragonite,Dragon Breath or Dragon Tail,Hurricane,30,1.6120137016612597,2.5491228,1.3100902875055374,1.8198961,1.5919361929537086,1.4274081,1.4767345458502605,4.9139156
Mega Altaria,Peck,Dazzling Gleam,35,1.8598937012221926,,1.5858998082180302,,1.7456072447632716,,1.5425158410281314,
Yveltal,Gust,Hurricane,45,1.600284156673021,2.1136155,1.3326710584460688,1.5557545,1.4720950199603087,1.2270727,1.283877626486062,3.9133081
Rayquaza,Air Slash,Hurricane or Aerial Ace,50,1.5221362403349645,1.9887729,1.3542807424963854,1.4358873,1.4358989257166106,1.1347406,1.4167504088819791,3.7975457
Tapu Lele,Astonish or Confusion,Moonblast,45,1.621845185105778,2.1845777,1.6486304436892676,1.8959172,1.754551529947946,1.4372537,1.6180445098229836,4.831917
Giratina (Origin),Shadow Claw,Shadow Ball,35,1.461610642606104,2.1625636,1.17314983765123,1.5633786,1.3878337947455914,1.2474103,1.1373896182900982,3.865365
Braviary,Air Slash,Brave Bird,40,1.5906946783011524,2.3130746,1.3855889228854532,1.7165314,1.5672621013829735,1.318211,1.4392109464591416,4.342
Zapdos,Thunder Shock,Drill Peck,45,1.6678134695545312,2.222061,1.3881520791081103,1.6305562,1.5598792918783602,1.2782286,1.3177474152614912,3.9408588
Shadow Staraptor,Gust or Wing Attack,Brave Bird,35,1.4053824105226949,1.946718,1.3171818341334456,1.5149387,1.3062992057134473,1.1250262,1.6464685157557089,4.0921383
Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,50,1.5807449984383743,2.0097768,1.3582609202863498,1.4642181,1.4301878847460092,1.1526375,1.286155597662505,3.7590234
Rayquaza,Air Slash,Hurricane or Aerial Ace,40,1.5208047289905826,2.1708322,1.3084466811628945,1.6002432,1.4676246532335153,1.2318144,1.409862657448252,4.0856447
Mega Gengar,Lick or Shadow Claw,Shadow Ball,35,1.0,1.449307,1.111380610945062,1.1586229,1.0,0.8726732,1.0,2.9452384
Giratina (Origin),Shadow Claw,Shadow Ball,30,1.4577645636458518,2.2864213,1.1489064849666235,1.6067432,1.380640660469555,1.2860794,1.0949416470260334,3.9975061
Shadow Granbull,Charm,Play Rough,45,1.562469024747576,2.0575607,1.3485751757435858,1.5624175,1.4389112268453688,1.1566453,1.450766336896022,4.0079813
Shadow Banette,Shadow Claw,Shadow Ball,45,1.392398071028293,1.8067006,1.5738324711383793,1.4809806,1.353460136160116,1.0696043,1.593427010705736,3.608792
Shadow Dusknoir,Hex,Shadow Ball,35,1.641272797773292,2.3326957,1.5853260461230139,1.9963465,1.67933663271426,1.4234103,1.6356609695650066,5.191176
Mega Gengar,Shadow Claw,Shadow Ball,30,1.0,1.5197734,1.1131523120366322,1.2337594,1.0,0.9043026,1.0,3.2021575
Rayquaza,Air Slash,Hurricane,45,1.5420849393856062,2.0587852,1.3326459602558904,1.5207042,1.458401933887991,1.1770539,1.4087883829007954,3.859871
Tapu Koko,Volt Switch,Dazzling Gleam,30,1.7976915097776671,,1.5061641117795421,,1.673563266382406,,1.526409628012082,
Shadow Mismagius,Hex,Shadow Ball,35,1.4362960377622283,2.01044,1.460691405950414,1.7843052,1.4237963792146786,1.2326722,1.6264911720929092,4.5557075
Shadow Zapdos,Thunder Shock,Drill Peck,35,1.388776196192417,2.0387979,1.1415169305459971,1.4879234,1.2961724272768183,1.1521797,1.3388474077866037,3.7882605
Lugia,Extrasensory,Aeroblast++,45,1.4466747144062306,1.9352388,1.2888471085759823,1.5371286,1.474788462546252,1.2381356,1.3082103966580463,3.9454763
Zacian (Hero),Snarl or Quick Attack,Play Rough,35,1.6632030940768519,2.4025917,1.3436541592407492,1.7612424,1.4998926415022138,1.3448704,1.2720777737066107,4.329256
Shadow Staraptor,Wing Attack or Gust,Brave Bird,45,1.4007859751825114,1.7955589,1.2646637041570736,1.3569517,1.314640492671975,1.0282611,1.7375068788067083,3.6221478
Zacian (Hero),Snarl,Play Rough,50,1.6340901271971755,2.142423,1.3944171167807027,1.5495621,1.4856930225865181,1.2021354,1.2960358741719622,3.8587964
Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,45,1.563368957786654,2.0702736,1.3282872700767778,1.5431591,1.4539837795070294,1.196562,1.3035662852577887,3.8736246
Moltres,Wing Attack,Sky Attack,35,1.4190938672087434,2.0576022,1.1760574242700743,1.4888146,1.345222479854125,1.1816001,1.1520154322556817,3.7965467
Hoopa,Astonish or Confusion,Shadow Ball,40,1.306939174701667,1.8481697,1.2421570511980262,1.5119085,1.3489345365289929,1.1288832,1.2091207775082922,3.7377436
Shadow Mismagius,Hex,Shadow Ball,50,1.3892392901817352,1.824411,1.4187123965897428,1.5203291,1.37571358895956,1.0771252,1.3626276024441915,3.8680832
Shadow Lugia,Extrasensory,Aeroblast+,50,1.2759356673690017,1.6867309,1.285043110230941,1.4006016,1.331520797426078,1.0962762,1.1881187904041572,3.490016
Banette,Shadow Claw,Shadow Ball,50,1.5720974771423994,2.0308506,1.5779778374908122,1.6042737,1.5884500915736102,1.2090853,1.6752439098997145,4.122633
Shadow Moltres,Wing Attack,Sky Attack,40,1.2283676057299093,1.6959735,1.0,1.2195344,1.1300951652932425,0.94600224,1.0319588118133765,3.151461
Yveltal,Gust,Hurricane,50,1.563802312474138,2.0565724,1.3675711959776413,1.497777,1.44591993724364,1.1691555,1.2753989384913726,3.7528353
Shadow Lugia,Extrasensory,Aeroblast+,40,1.3212700765397467,1.8018814,1.2013600506828317,1.4792229,1.3571867749815594,1.1776628,1.2225945046229074,3.801968
